"","date","QUOT"
"1","2014-03-07",30
"2","2014-03-10",30
"3","2014-03-11",27.799999
"4","2014-03-12",29.52
"5","2014-03-13",26.950001
"6","2014-03-14",26.549999
"7","2014-03-17",30
"8","2014-03-18",29.43
"9","2014-03-19",27.1
"10","2014-03-20",27.42
"11","2014-03-21",26.17
"12","2014-03-24",23.01
"13","2014-03-25",25.76
"14","2014-03-26",24.85
"15","2014-03-27",25.530001
"16","2014-03-28",25.370001
"17","2014-03-31",24.65
"18","2014-04-01",24.09
"19","2014-04-02",24.059999
"20","2014-04-03",22.65
"21","2014-04-04",20.6
"22","2014-04-07",20.41
"23","2014-04-08",20.6
"24","2014-04-09",21.18
"25","2014-04-10",21.01
"26","2014-04-11",19.860001
"27","2014-04-14",20.27
"28","2014-04-15",20.299999
"29","2014-04-16",19.549999
"30","2014-04-17",19.32
"31","2014-04-21",18.879999
"32","2014-04-22",20.040001
"33","2014-04-23",20.809999
"34","2014-04-24",18.65
"35","2014-04-25",17.51
"36","2014-04-28",17.41
"37","2014-04-29",17.32
"38","2014-04-30",16.82
"39","2014-05-01",17.93
"40","2014-05-02",18
"41","2014-05-05",17.92
"42","2014-05-06",17.76
"43","2014-05-07",16.459999
"44","2014-05-08",17.129999
"45","2014-05-09",17.809999
"46","2014-05-12",17.030001
"47","2014-05-13",17.58
"48","2014-05-14",20
"49","2014-05-15",19.84
"50","2014-05-16",19.25
"51","2014-05-19",18.24
"52","2014-05-20",19.73
"53","2014-05-21",20.129999
"54","2014-05-22",20.85
"55","2014-05-23",22.030001
"56","2014-05-27",22.26
"57","2014-05-28",22.65
"58","2014-05-29",24.459999
"59","2014-05-30",25.82
"60","2014-06-02",30.17
"61","2014-06-03",29.48
"62","2014-06-04",27.9
"63","2014-06-05",27.709999
"64","2014-06-06",27.309999
"65","2014-06-09",27.83
"66","2014-06-10",24.879999
"67","2014-06-11",25.92
"68","2014-06-12",25.799999
"69","2014-06-13",27
"70","2014-06-16",27
"71","2014-06-17",27
"72","2014-06-18",26.98
"73","2014-06-19",26.950001
"74","2014-06-20",27
"75","2014-06-23",27
"76","2014-06-24",25.93
"77","2014-06-25",26.9
"78","2014-06-26",27
"79","2014-06-27",26.459999
"80","2014-06-30",26.309999
"81","2014-07-01",24.440001
"82","2014-07-02",22.370001
"83","2014-07-03",23.360001
"84","2014-07-07",23.99
"85","2014-07-08",25.120001
"86","2014-07-09",25.07
"87","2014-07-10",24.84
"88","2014-07-11",25.280001
"89","2014-07-14",25.18
"90","2014-07-15",24.610001
"91","2014-07-16",24.639999
"92","2014-07-17",24.299999
"93","2014-07-18",24.799999
"94","2014-07-21",24.4
"95","2014-07-22",24.540001
"96","2014-07-23",24.440001
"97","2014-07-24",24.15
"98","2014-07-25",23.59
"99","2014-07-28",23.059999
"100","2014-07-29",21.969999
"101","2014-07-30",21.35
"102","2014-07-31",20.530001
"103","2014-08-01",19.85
"104","2014-08-04",19.450001
"105","2014-08-05",19.66
"106","2014-08-06",19.49
"107","2014-08-07",14.91
"108","2014-08-08",14.98
"109","2014-08-11",14.96
"110","2014-08-12",14.5
"111","2014-08-13",14.48
"112","2014-08-14",14.93
"113","2014-08-15",14.5
"114","2014-08-18",14.29
"115","2014-08-19",13.23
"116","2014-08-20",13.05
"117","2014-08-21",12.24
"118","2014-08-22",12.67
"119","2014-08-25",12.72
"120","2014-08-26",13
"121","2014-08-27",13.14
"122","2014-08-28",13.96
"123","2014-08-29",15.28
"124","2014-09-02",16.280001
"125","2014-09-03",14.96
"126","2014-09-04",15.62
"127","2014-09-05",16.33
"128","2014-09-08",15.22
"129","2014-09-09",14.89
"130","2014-09-10",15.05
"131","2014-09-11",14.09
"132","2014-09-12",13.8
"133","2014-09-15",13.28
"134","2014-09-16",13.65
"135","2014-09-17",13.36
"136","2014-09-18",13.23
"137","2014-09-19",13.1
"138","2014-09-22",12.66
"139","2014-09-23",12.67
"140","2014-09-24",12.73
"141","2014-09-25",12.45
"142","2014-09-26",12.11
"143","2014-09-29",12.14
"144","2014-09-30",11.96
"145","2014-10-01",12
"146","2014-10-02",12.3
"147","2014-10-03",13.3
"148","2014-10-06",13.2
"149","2014-10-07",12.79
"150","2014-10-08",12.69
"151","2014-10-09",12.35
"152","2014-10-10",12.42
"153","2014-10-13",12.38
"154","2014-10-14",12.73
"155","2014-10-15",13.56
"156","2014-10-16",14.05
"157","2014-10-17",14.25
"158","2014-10-20",14.62
"159","2014-10-21",14.56
"160","2014-10-22",13.59
"161","2014-10-23",13.53
"162","2014-10-24",13.33
"163","2014-10-27",13.4
"164","2014-10-28",13.72
"165","2014-10-29",13.24
"166","2014-10-30",13.23
"167","2014-10-31",13.92
"168","2014-11-03",13.48
"169","2014-11-04",12.44
"170","2014-11-05",16.57
"171","2014-11-06",15.55
"172","2014-11-07",15.51
"173","2014-11-10",16.200001
"174","2014-11-11",16.32
"175","2014-11-12",16.01
"176","2014-11-13",16
"177","2014-11-14",16.51
"178","2014-11-17",16.33
"179","2014-11-18",16.26
"180","2014-11-19",15.88
"181","2014-11-20",16
"182","2014-11-21",15.98
"183","2014-11-24",16
"184","2014-11-25",15.96
"185","2014-11-26",15.35
"186","2014-11-28",15.27
"187","2014-12-01",14.65
"188","2014-12-02",14.71
"189","2014-12-03",14.84
"190","2014-12-04",14.88
"191","2014-12-05",15.59
"192","2014-12-08",15.07
"193","2014-12-09",15.12
"194","2014-12-10",15.16
"195","2014-12-11",15.27
"196","2014-12-12",15
"197","2014-12-15",15.31
"198","2014-12-16",15.39
"199","2014-12-17",15.7
"200","2014-12-18",15.95
"201","2014-12-19",15.94
"202","2014-12-22",15.97
"203","2014-12-23",16.75
"204","2014-12-24",17.440001
"205","2014-12-26",17.719999
"206","2014-12-29",17.75
"207","2014-12-30",17.76
"208","2014-12-31",17.75
"209","2015-01-02",17.25
"210","2015-01-05",16.93
"211","2015-01-06",16.73
"212","2015-01-07",17.360001
"213","2015-01-08",19.65
"214","2015-01-09",19.559999
"215","2015-01-12",18.92
"216","2015-01-13",19.620001
"217","2015-01-14",19.040001
"218","2015-01-15",17.57
"219","2015-01-16",17.48
"220","2015-01-20",16.450001
"221","2015-01-21",16.02
"222","2015-01-22",16.370001
"223","2015-01-23",15.87
"224","2015-01-26",14.91
"225","2015-01-27",15.05
"226","2015-01-28",14.78
"227","2015-01-29",14.35
"228","2015-01-30",14.32
"229","2015-02-02",14.17
"230","2015-02-03",14.8
"231","2015-02-04",14.38
"232","2015-02-05",14.49
"233","2015-02-06",14.7
"234","2015-02-09",14.51
"235","2015-02-10",10.75
"236","2015-02-11",11.09
"237","2015-02-12",11.13
"238","2015-02-13",11.06
"239","2015-02-17",10.93
"240","2015-02-18",10.78
"241","2015-02-19",10.32
"242","2015-02-20",10.01
"243","2015-02-23",10.06
"244","2015-02-24",10.09
"245","2015-02-25",9.96
"246","2015-02-26",9.89
"247","2015-02-27",9.75
"248","2015-03-02",10.06
"249","2015-03-03",9.49
"250","2015-03-04",9.52
"251","2015-03-05",9.67
"252","2015-03-06",9.77
"253","2015-03-09",9.7
"254","2015-03-10",9.7
"255","2015-03-11",9.78
"256","2015-03-12",10
"257","2015-03-13",10.15
"258","2015-03-16",10.1
"259","2015-03-17",10.41
"260","2015-03-18",10.68
"261","2015-03-19",10.78
"262","2015-03-20",11.42
"263","2015-03-23",12.02
"264","2015-03-24",12.12
"265","2015-03-25",11.84
"266","2015-03-26",11.37
"267","2015-03-27",11.68
"268","2015-03-30",11.57
"269","2015-03-31",11.74
"270","2015-04-01",12.01
"271","2015-04-02",12.56
"272","2015-04-06",12.77
"273","2015-04-07",13.03
"274","2015-04-08",13.75
"275","2015-04-09",13.39
"276","2015-04-10",14
"277","2015-04-13",13.45
"278","2015-04-14",12.84
"279","2015-04-15",12.64
"280","2015-04-16",12.98
"281","2015-04-17",12.41
"282","2015-04-20",12.5
"283","2015-04-21",12.78
"284","2015-04-22",13.11
"285","2015-04-23",13.13
"286","2015-04-24",13.03
"287","2015-04-27",13
"288","2015-04-28",12.71
"289","2015-04-29",12.43
"290","2015-04-30",12.53
"291","2015-05-01",12.42
"292","2015-05-04",11.84
"293","2015-05-05",10.99
"294","2015-05-06",11.18
"295","2015-05-07",12.15
"296","2015-05-08",11.9
"297","2015-05-11",12
"298","2015-05-12",11.99
"299","2015-05-13",12.37
"300","2015-05-14",12.57
"301","2015-05-15",12.59
"302","2015-05-18",12.79
"303","2015-05-19",12.94
"304","2015-05-20",12.83
"305","2015-05-21",12.92
"306","2015-05-22",13.24
