"","date","URBN"
"1","2007-01-03",23.719999
"2","2007-01-04",23.780001
"3","2007-01-05",23.530001
"4","2007-01-08",23.440001
"5","2007-01-09",24.719999
"6","2007-01-10",25.469999
"7","2007-01-11",25.65
"8","2007-01-12",25.889999
"9","2007-01-16",25.389999
"10","2007-01-17",24.860001
"11","2007-01-18",25.120001
"12","2007-01-19",24.719999
"13","2007-01-22",24.790001
"14","2007-01-23",24.42
"15","2007-01-24",24.440001
"16","2007-01-25",23.879999
"17","2007-01-26",24.370001
"18","2007-01-29",23.93
"19","2007-01-30",23.889999
"20","2007-01-31",24.4
"21","2007-02-01",24.530001
"22","2007-02-02",25.16
"23","2007-02-05",25.030001
"24","2007-02-06",25.379999
"25","2007-02-07",25.129999
"26","2007-02-08",25.58
"27","2007-02-09",24.9
"28","2007-02-12",25.35
"29","2007-02-13",26
"30","2007-02-14",26.23
"31","2007-02-15",26.27
"32","2007-02-16",26.16
"33","2007-02-20",26.73
"34","2007-02-21",26.940001
"35","2007-02-22",26.290001
"36","2007-02-23",26.139999
"37","2007-02-26",25.809999
"38","2007-02-27",24.68
"39","2007-02-28",24.82
"40","2007-03-01",24.950001
"41","2007-03-02",24.75
"42","2007-03-05",24.5
"43","2007-03-06",24.99
"44","2007-03-07",25.49
"45","2007-03-08",24.639999
"46","2007-03-09",25.629999
"47","2007-03-12",25.799999
"48","2007-03-13",24.4
"49","2007-03-14",24.07
"50","2007-03-15",24.25
"51","2007-03-16",24.040001
"52","2007-03-19",24.42
"53","2007-03-20",25.440001
"54","2007-03-21",25.290001
"55","2007-03-22",25.030001
"56","2007-03-23",26.33
"57","2007-03-26",25.67
"58","2007-03-27",26.52
"59","2007-03-28",26.27
"60","2007-03-29",25.950001
"61","2007-03-30",26.51
"62","2007-04-02",26.85
"63","2007-04-03",27.57
"64","2007-04-04",27.23
"65","2007-04-05",27.299999
"66","2007-04-09",27.52
"67","2007-04-10",27.469999
"68","2007-04-11",26.700001
"69","2007-04-12",26.74
"70","2007-04-13",26.200001
"71","2007-04-16",26
"72","2007-04-17",25.610001
"73","2007-04-18",25.24
"74","2007-04-19",25.24
"75","2007-04-20",25.91
"76","2007-04-23",25.110001
"77","2007-04-24",24.93
"78","2007-04-25",25.139999
"79","2007-04-26",26.280001
"80","2007-04-27",26.209999
"81","2007-04-30",25.76
"82","2007-05-01",24.950001
"83","2007-05-02",25.6
"84","2007-05-03",25.76
"85","2007-05-04",25.43
"86","2007-05-07",25.73
"87","2007-05-08",25.9
"88","2007-05-09",26.290001
"89","2007-05-10",25.67
"90","2007-05-11",25.120001
"91","2007-05-14",24.370001
"92","2007-05-15",24.17
"93","2007-05-16",24.23
"94","2007-05-17",25.24
"95","2007-05-18",25.309999
"96","2007-05-21",25.370001
"97","2007-05-22",25.440001
"98","2007-05-23",25.32
"99","2007-05-24",24.77
"100","2007-05-25",25.219999
"101","2007-05-29",25.34
"102","2007-05-30",26.43
"103","2007-05-31",26.58
"104","2007-06-01",27.110001
"105","2007-06-04",26.549999
"106","2007-06-05",26.299999
"107","2007-06-06",26.049999
"108","2007-06-07",24.889999
"109","2007-06-08",25.360001
"110","2007-06-11",25.780001
"111","2007-06-12",24.93
"112","2007-06-13",25.559999
"113","2007-06-14",25.559999
"114","2007-06-15",25.360001
"115","2007-06-18",25.35
"116","2007-06-19",25.08
"117","2007-06-20",24.299999
"118","2007-06-21",23.84
"119","2007-06-22",23.26
"120","2007-06-25",23.25
"121","2007-06-26",23.629999
"122","2007-06-27",23.9
"123","2007-06-28",24.389999
"124","2007-06-29",24.030001
"125","2007-07-02",23.959999
"126","2007-07-03",23.450001
"127","2007-07-05",23.35
"128","2007-07-06",23.780001
"129","2007-07-09",23.15
"130","2007-07-10",21.809999
"131","2007-07-11",21.969999
"132","2007-07-12",22.27
"133","2007-07-13",21.68
"134","2007-07-16",22.299999
"135","2007-07-17",22.139999
"136","2007-07-18",21.450001
"137","2007-07-19",22.110001
"138","2007-07-20",21.620001
"139","2007-07-23",20.73
"140","2007-07-24",20.01
"141","2007-07-25",20.26
"142","2007-07-26",19.57
"143","2007-07-27",19.41
"144","2007-07-30",20.129999
"145","2007-07-31",20.059999
"146","2007-08-01",20.27
"147","2007-08-02",21.389999
"148","2007-08-03",20.200001
"149","2007-08-06",21.200001
"150","2007-08-07",23.23
"151","2007-08-08",24.120001
"152","2007-08-09",23
"153","2007-08-10",21.719999
"154","2007-08-13",21.360001
"155","2007-08-14",20.76
"156","2007-08-15",21
"157","2007-08-16",21.18
"158","2007-08-17",22.1
"159","2007-08-20",22.67
"160","2007-08-21",21.9
"161","2007-08-22",23.08
"162","2007-08-23",22.01
"163","2007-08-24",22.790001
"164","2007-08-27",22.73
"165","2007-08-28",21.41
