"","date","AMD"
"1","2007-01-03",19.52
"2","2007-01-04",19.790001
"3","2007-01-05",19.709999
"4","2007-01-08",19.469999
"5","2007-01-09",19.65
"6","2007-01-10",20.01
"7","2007-01-11",20.18
"8","2007-01-12",18.26
"9","2007-01-16",18.129999
"10","2007-01-17",18.200001
"11","2007-01-18",17.92
"12","2007-01-19",17.73
"13","2007-01-22",17.530001
"14","2007-01-23",17.51
"15","2007-01-24",16.030001
"16","2007-01-25",16.049999
"17","2007-01-26",16.219999
"18","2007-01-29",15.95
"19","2007-01-30",15.79
"20","2007-01-31",15.55
"21","2007-02-01",15.77
"22","2007-02-02",15.69
"23","2007-02-05",15.6
"24","2007-02-06",15.32
"25","2007-02-07",15.5
"26","2007-02-08",15.13
"27","2007-02-09",14.9
"28","2007-02-12",14.69
"29","2007-02-13",14.6
"30","2007-02-14",14.95
"31","2007-02-15",14.83
"32","2007-02-16",14.94
"33","2007-02-20",14.92
"34","2007-02-21",14.56
"35","2007-02-22",14.54
"36","2007-02-23",14.69
"37","2007-02-26",15.68
"38","2007-02-27",15.08
"39","2007-02-28",15.07
"40","2007-03-01",14.79
"41","2007-03-02",14.18
"42","2007-03-05",13.95
"43","2007-03-06",14.09
"44","2007-03-07",14.1
"45","2007-03-08",14.19
"46","2007-03-09",14.2
"47","2007-03-12",14.17
"48","2007-03-13",13.94
"49","2007-03-14",14.13
"50","2007-03-15",13.93
"51","2007-03-16",14.01
"52","2007-03-19",13.72
"53","2007-03-20",13.41
"54","2007-03-21",13.6
"55","2007-03-22",13.35
"56","2007-03-23",13.5
"57","2007-03-26",13.55
"58","2007-03-27",13.5
"59","2007-03-28",13.38
"60","2007-03-29",13.08
"61","2007-03-30",13.06
"62","2007-04-02",12.83
"63","2007-04-03",12.9
"64","2007-04-04",12.71
"65","2007-04-05",12.86
"66","2007-04-09",13.35
"67","2007-04-10",13.27
"68","2007-04-11",13.19
"69","2007-04-12",13.66
"70","2007-04-13",13.57
"71","2007-04-16",13.52
"72","2007-04-17",13.47
"73","2007-04-18",13.91
"74","2007-04-19",14.28
"75","2007-04-20",14.16
"76","2007-04-23",14.04
"77","2007-04-24",14.57
"78","2007-04-25",14.65
"79","2007-04-26",14.5
"80","2007-04-27",14.32
"81","2007-04-30",13.82
"82","2007-05-01",13.54
"83","2007-05-02",13.63
"84","2007-05-03",13.69
"85","2007-05-04",13.53
"86","2007-05-07",13.28
"87","2007-05-08",13.18
"88","2007-05-09",13.57
"89","2007-05-10",14.05
"90","2007-05-11",14.68
"91","2007-05-14",15.36
"92","2007-05-15",15.4
"93","2007-05-16",15.58
"94","2007-05-17",15.43
"95","2007-05-18",15.59
"96","2007-05-21",15.43
"97","2007-05-22",15.42
"98","2007-05-23",15.21
"99","2007-05-24",14.88
"100","2007-05-25",14.76
"101","2007-05-29",14.6
"102","2007-05-30",14.37
"103","2007-05-31",14.27
"104","2007-06-01",14.31
"105","2007-06-04",14.17
"106","2007-06-05",13.98
"107","2007-06-06",13.63
"108","2007-06-07",13.68
"109","2007-06-08",14.07
"110","2007-06-11",13.91
"111","2007-06-12",13.8
"112","2007-06-13",13.96
"113","2007-06-14",13.78
"114","2007-06-15",13.63
"115","2007-06-18",13.51
"116","2007-06-19",13.57
"117","2007-06-20",13.64
"118","2007-06-21",14.72
"119","2007-06-22",14.57
"120","2007-06-25",14.28
"121","2007-06-26",14.18
"122","2007-06-27",14.58
"123","2007-06-28",14.49
"124","2007-06-29",14.3
"125","2007-07-02",14.36
"126","2007-07-03",14.36
"127","2007-07-05",14.19
"128","2007-07-06",14.39
"129","2007-07-09",14.57
"130","2007-07-10",14.43
"131","2007-07-11",14.65
"132","2007-07-12",15.36
"133","2007-07-13",15.43
"134","2007-07-16",15.72
"135","2007-07-17",15.84
"136","2007-07-18",15.46
"137","2007-07-19",15.78
"138","2007-07-20",15.5
"139","2007-07-23",15.36
"140","2007-07-24",15.21
"141","2007-07-25",15.58
"142","2007-07-26",14.73
"143","2007-07-27",13.87
"144","2007-07-30",13.79
"145","2007-07-31",13.54
"146","2007-08-01",13.41
"147","2007-08-02",13.4
"148","2007-08-03",12.85
"149","2007-08-06",12.77
"150","2007-08-07",12.63
"151","2007-08-08",13.42
"152","2007-08-09",13.08
"153","2007-08-10",13.01
"154","2007-08-13",12.84
"155","2007-08-14",12.54
"156","2007-08-15",11.95
"157","2007-08-16",11.64
"158","2007-08-17",11.89
"159","2007-08-20",12.1
"160","2007-08-21",12.17
"161","2007-08-22",12.01
"162","2007-08-23",12.06
"163","2007-08-24",12.13
"164","2007-08-27",11.98
"165","2007-08-28",11.66
"166","2007-08-29",12.3
"167","2007-08-30",12.42
"168","2007-08-31",13
"169","2007-09-04",13.17
"170","2007-09-05",12.9
"171","2007-09-06",12.94
"172","2007-09-07",12.61
"173","2007-09-10",12.94
"174","2007-09-11",12.97
"175","2007-09-12",12.83
"176","2007-09-13",12.73
"177","2007-09-14",12.69
"178","2007-09-17",12.84
"179","2007-09-18",13.3
"180","2007-09-19",13.1
"181","2007-09-20",13.35
"182","2007-09-21",13.24
"183","2007-09-24",13.48
"184","2007-09-25",13.81
"185","2007-09-26",13.75
"186","2007-09-27",13.28
"187","2007-09-28",13.2
"188","2007-10-01",13.23
"189","2007-10-02",13.2
"190","2007-10-03",13.23
"191","2007-10-04",13.35
"192","2007-10-05",13.63
"193","2007-10-08",13.63
"194","2007-10-09",13.79
"195","2007-10-10",14.02
"196","2007-10-11",13.8
"197","2007-10-12",13.94
"198","2007-10-15",13.98
"199","2007-10-16",13.96
"200","2007-10-17",14.11
"201","2007-10-18",14.55
"202","2007-10-19",13.8
"203","2007-10-22",13.75
"204","2007-10-23",13.73
"205","2007-10-24",13.12
"206","2007-10-25",12.75
"207","2007-10-26",12.89
"208","2007-10-29",12.88
"209","2007-10-30",13
"210","2007-10-31",13.08
"211","2007-11-01",12.8
"212","2007-11-02",13.17
"213","2007-11-05",13.42
"214","2007-11-06",13.43
"215","2007-11-07",13.01
"216","2007-11-08",12.51
"217","2007-11-09",12.37
"218","2007-11-12",11.95
"219","2007-11-13",12.4
"220","2007-11-14",12.28
"221","2007-11-15",12.7
"222","2007-11-16",12.64
"223","2007-11-19",12.07
