"","date","LUMN"
"1","2020-03-19",10.1
"2","2020-03-20",9.1
"3","2020-03-23",8.69
"4","2020-03-24",9.95
"5","2020-03-25",9.05
"6","2020-03-26",9.29
"7","2020-03-27",9.06
"8","2020-03-30",9.84
"9","2020-03-31",9.46
"10","2020-04-01",8.79
"11","2020-04-02",8.8
"12","2020-04-03",9.11
"13","2020-04-06",9.43
"14","2020-04-07",9.5
"15","2020-04-08",9.83
"16","2020-04-09",10.65
"17","2020-04-13",10.1
"18","2020-04-14",10.26
"19","2020-04-15",10.1
"20","2020-04-16",9.75
"21","2020-04-17",10.25
"22","2020-04-20",10.14
"23","2020-04-21",9.71
"24","2020-04-22",9.7
"25","2020-04-23",9.94
"26","2020-04-24",10.21
"27","2020-04-27",10.34
"28","2020-04-28",10.61
"29","2020-04-29",11.02
"30","2020-04-30",10.62
"31","2020-05-01",10.17
"32","2020-05-04",10.03
"33","2020-05-05",10.01
"34","2020-05-06",9.88
"35","2020-05-07",9.52
"36","2020-05-08",9.94
"37","2020-05-11",9.67
"38","2020-05-12",9.73
"39","2020-05-13",9.19
"40","2020-05-14",9.19
"41","2020-05-15",9.27
"42","2020-05-18",9.69
"43","2020-05-19",9.58
"44","2020-05-20",9.9
"45","2020-05-21",9.71
"46","2020-05-22",9.82
"47","2020-05-26",9.97
"48","2020-05-27",10.29
"49","2020-05-28",10.17
"50","2020-05-29",NA
"51","2020-06-01",NA
"52","2020-06-02",NA
"53","2020-06-03",NA
"54","2020-06-04",NA
"55","2020-06-05",NA
"56","2020-06-08",NA
"57","2020-06-09",NA
"58","2020-06-10",NA
"59","2020-06-11",NA
"60","2020-06-12",NA
"61","2020-06-15",NA
"62","2020-06-16",NA
"63","2020-06-17",NA
"64","2020-06-18",NA
"65","2020-06-19",NA
"66","2020-06-22",NA
"67","2020-06-23",NA
"68","2020-06-24",NA
"69","2020-06-25",NA
"70","2020-06-26",NA
"71","2020-06-29",NA
"72","2020-06-30",NA
"73","2020-07-01",NA
"74","2020-07-02",NA
"75","2020-07-06",NA
"76","2020-07-07",NA
"77","2020-07-08",NA
"78","2020-07-09",NA
"79","2020-07-10",NA
"80","2020-07-13",NA
"81","2020-07-14",NA
"82","2020-07-15",NA
"83","2020-07-16",NA
"84","2020-07-17",NA
"85","2020-07-20",NA
"86","2020-07-21",NA
"87","2020-07-22",NA
"88","2020-07-23",NA
"89","2020-07-24",NA
"90","2020-07-27",NA
"91","2020-07-28",NA
"92","2020-07-29",NA
"93","2020-07-30",NA
"94","2020-07-31",NA
"95","2020-08-03",NA
"96","2020-08-04",NA
"97","2020-08-05",NA
"98","2020-08-06",NA
"99","2020-08-07",NA
"100","2020-08-10",NA
"101","2020-08-11",NA
"102","2020-08-12",NA
"103","2020-08-13",NA
"104","2020-08-14",NA
"105","2020-08-17",NA
"106","2020-08-18",NA
"107","2020-08-19",NA
"108","2020-08-20",NA
"109","2020-08-21",NA
"110","2020-08-24",NA
"111","2020-08-25",NA
"112","2020-08-26",NA
"113","2020-08-27",NA
"114","2020-08-28",NA
"115","2020-08-31",NA
"116","2020-09-01",NA
"117","2020-09-02",NA
"118","2020-09-03",NA
"119","2020-09-04",NA
"120","2020-09-08",NA
"121","2020-09-09",NA
"122","2020-09-10",NA
"123","2020-09-11",NA
"124","2020-09-14",NA
"125","2020-09-15",NA
"126","2020-09-16",NA
"127","2020-09-17",NA
"128","2020-09-18",10.77
"129","2020-09-21",10.26
"130","2020-09-22",10.26
"131","2020-09-23",10.05
"132","2020-09-24",10.14
"133","2020-09-25",10.21
"134","2020-09-28",10.28
"135","2020-09-29",10.22
"136","2020-09-30",10.09
"137","2020-10-01",9.95
"138","2020-10-02",10.03
"139","2020-10-05",10.06
"140","2020-10-06",9.89
"141","2020-10-07",10.08
"142","2020-10-08",10.13
"143","2020-10-09",10.11
"144","2020-10-12",10.03
"145","2020-10-13",9.88
"146","2020-10-14",9.8
"147","2020-10-15",9.93
"148","2020-10-16",9.86
"149","2020-10-19",9.61
"150","2020-10-20",9.62
"151","2020-10-21",9.66
"152","2020-10-22",9.68
"153","2020-10-23",9.61
"154","2020-10-26",9.25
"155","2020-10-27",8.96
"156","2020-10-28",8.71
"157","2020-10-29",8.67
"158","2020-10-30",8.62
"159","2020-11-02",8.88
"160","2020-11-03",9.11
"161","2020-11-04",8.8
"162","2020-11-05",9.28
"163","2020-11-06",9.09
"164","2020-11-09",9.25
"165","2020-11-10",9.79
"166","2020-11-11",9.67
"167","2020-11-12",9.62
"168","2020-11-13",9.85
"169","2020-11-16",10.07
"170","2020-11-17",10.14
"171","2020-11-18",9.94
"172","2020-11-19",9.82
"173","2020-11-20",10.04
"174","2020-11-23",10.47
"175","2020-11-24",10.9
"176","2020-11-25",10.77
"177","2020-11-27",10.46
