"","date","GCO"
"1","2007-01-03",37.299999
"2","2007-01-04",37.650002
"3","2007-01-05",36.75
"4","2007-01-08",37.240002
"5","2007-01-09",37.610001
"6","2007-01-10",37.57
"7","2007-01-11",38.799999
"8","2007-01-12",39.599998
"9","2007-01-16",39.529999
"10","2007-01-17",39.610001
"11","2007-01-18",39.400002
"12","2007-01-19",39.639999
"13","2007-01-22",39.16
"14","2007-01-23",39.27
"15","2007-01-24",39.66
"16","2007-01-25",38.91
"17","2007-01-26",38.669998
"18","2007-01-29",38.860001
"19","2007-01-30",38.650002
"20","2007-01-31",39.389999
"21","2007-02-01",40.32
"22","2007-02-02",40.860001
"23","2007-02-05",40.709999
"24","2007-02-06",42.169998
"25","2007-02-07",41.880001
"26","2007-02-08",42.509998
"27","2007-02-09",42.330002
"28","2007-02-12",41.830002
"29","2007-02-13",42
"30","2007-02-14",42.16
"31","2007-02-15",42.709999
"32","2007-02-16",42.450001
"33","2007-02-20",42.82
"34","2007-02-21",42.73
"35","2007-02-22",42.75
"36","2007-02-23",42.439999
"37","2007-02-26",41.700001
"38","2007-02-27",39.919998
"39","2007-02-28",40
"40","2007-03-01",39.549999
"41","2007-03-02",38.389999
"42","2007-03-05",37.16
"43","2007-03-06",37.560001
"44","2007-03-07",36.82
"45","2007-03-08",36.849998
"46","2007-03-09",36.66
"47","2007-03-12",38.75
"48","2007-03-13",38.049999
"49","2007-03-14",38.169998
"50","2007-03-15",38.52
"51","2007-03-16",39.599998
"52","2007-03-19",42.599998
"53","2007-03-20",43.740002
"54","2007-03-21",43.349998
"55","2007-03-22",43.139999
"56","2007-03-23",43.439999
"57","2007-03-26",43
"58","2007-03-27",42.150002
"59","2007-03-28",40.91
"60","2007-03-29",41.41
"61","2007-03-30",41.529999
"62","2007-04-02",41.650002
"63","2007-04-03",41.5
"64","2007-04-04",41.200001
"65","2007-04-05",41.34
"66","2007-04-09",42.349998
"67","2007-04-10",42.150002
"68","2007-04-11",42
"69","2007-04-12",41.259998
"70","2007-04-13",41.099998
"71","2007-04-16",40.880001
"72","2007-04-17",43.540001
"73","2007-04-18",43.91
"74","2007-04-19",43.41
"75","2007-04-20",49.98
"76","2007-04-23",50.560001
"77","2007-04-24",50.830002
"78","2007-04-25",50.880001
"79","2007-04-26",50.790001
"80","2007-04-27",50.75
"81","2007-04-30",50.68
"82","2007-05-01",50.369999
"83","2007-05-02",51.060001
"84","2007-05-03",50.59
"85","2007-05-04",51.029999
"86","2007-05-07",50.73
"87","2007-05-08",50.82
"88","2007-05-09",50.73
"89","2007-05-10",50.330002
"90","2007-05-11",49.650002
"91","2007-05-14",49.299999
"92","2007-05-15",49.080002
"93","2007-05-16",48.700001
"94","2007-05-17",49
"95","2007-05-18",49.869999
"96","2007-05-21",51.470001
"97","2007-05-22",51.48
"98","2007-05-23",51.900002
"99","2007-05-24",51.540001
"100","2007-05-25",51.5
"101","2007-05-29",51.779999
"102","2007-05-30",52.299999
"103","2007-05-31",52.349998
"104","2007-06-01",52.869999
"105","2007-06-04",53.209999
"106","2007-06-05",52
"107","2007-06-06",52.060001
"108","2007-06-07",51.200001
"109","2007-06-08",50.75
"110","2007-06-11",50.470001
"111","2007-06-12",49
"112","2007-06-13",49.32
"113","2007-06-14",49.700001
"114","2007-06-15",49.599998
"115","2007-06-18",53.75
"116","2007-06-19",53.220001
"117","2007-06-20",53.150002
"118","2007-06-21",53
"119","2007-06-22",52.57
"120","2007-06-25",52.400002
"121","2007-06-26",52.369999
"122","2007-06-27",52.900002
"123","2007-06-28",52.799999
"124","2007-06-29",52.310001
"125","2007-07-02",52.849998
"126","2007-07-03",52.799999
"127","2007-07-05",52.630001
"128","2007-07-06",52.700001
"129","2007-07-09",52.799999
"130","2007-07-10",52.82
"131","2007-07-11",52.900002
"132","2007-07-12",53.07
"133","2007-07-13",52.93
"134","2007-07-16",53.16
"135","2007-07-17",53.16
"136","2007-07-18",53.189999
"137","2007-07-19",52.959999
"138","2007-07-20",52.639999
"139","2007-07-23",52.110001
"140","2007-07-24",50.93
"141","2007-07-25",50.439999
"142","2007-07-26",49.52
"143","2007-07-27",50.310001
"144","2007-07-30",51
"145","2007-07-31",50.549999
"146","2007-08-01",50.799999
"147","2007-08-02",50.369999
"148","2007-08-03",48.25
"149","2007-08-06",46.560001
"150","2007-08-07",49.099998
"151","2007-08-08",49.66
"152","2007-08-09",49.23
"153","2007-08-10",48.5
"154","2007-08-13",48.759998
"155","2007-08-14",48.099998
