"","date","HCM"
"1","2016-03-16",13.5
"2","2016-03-17",13.4
"3","2016-03-18",13.5
"4","2016-03-21",13.5
"5","2016-03-22",13.38
"6","2016-03-23",13.38
"7","2016-03-24",13.49
"8","2016-03-28",13.36
"9","2016-03-29",13.33
"10","2016-03-30",13.25
"11","2016-03-31",13.2
"12","2016-04-01",13.5
"13","2016-04-04",13.41
"14","2016-04-05",13.25
"15","2016-04-06",13.34
"16","2016-04-07",13.3
"17","2016-04-08",13.3
"18","2016-04-11",13.31
"19","2016-04-12",13.37
"20","2016-04-13",13.41
"21","2016-04-14",13.46
"22","2016-04-15",13.48
"23","2016-04-18",13.48
"24","2016-04-19",13.35
"25","2016-04-20",13.52
"26","2016-04-21",13.4
"27","2016-04-22",13.4
"28","2016-04-25",13.41
"29","2016-04-26",13.45
"30","2016-04-27",13.4
"31","2016-04-28",13.33
"32","2016-04-29",13.1
"33","2016-05-02",12.95
"34","2016-05-03",13
"35","2016-05-04",13.08
"36","2016-05-05",12.5
"37","2016-05-06",13.8
"38","2016-05-09",13.18
"39","2016-05-10",12.93
"40","2016-05-11",13.02
"41","2016-05-12",12.8
"42","2016-05-13",12.5
"43","2016-05-16",12.77
"44","2016-05-17",12.52
"45","2016-05-18",12.48
"46","2016-05-19",12.68
"47","2016-05-20",12.32
"48","2016-05-23",12.5
"49","2016-05-24",12.5
"50","2016-05-25",12.52
"51","2016-05-26",12.53
"52","2016-05-27",13.1
"53","2016-05-31",12.52
"54","2016-06-01",13.45
"55","2016-06-02",13.51
"56","2016-06-03",13.46
"57","2016-06-06",13.53
"58","2016-06-07",13.75
"59","2016-06-08",14.02
"60","2016-06-09",13.8
"61","2016-06-10",13.95
"62","2016-06-13",13.41
"63","2016-06-14",13.36
"64","2016-06-15",14.18
"65","2016-06-16",13.47
"66","2016-06-17",14
"67","2016-06-20",13.7
"68","2016-06-21",13.73
"69","2016-06-22",13.788
"70","2016-06-23",13.816
"71","2016-06-24",13.225
"72","2016-06-27",12.95
"73","2016-06-28",13.058
"74","2016-06-29",13.28
"75","2016-06-30",13.15
"76","2016-07-01",13.15
"77","2016-07-05",13.32
"78","2016-07-06",13.08
"79","2016-07-07",13.34
"80","2016-07-08",13.76
"81","2016-07-11",13.355
"82","2016-07-12",12.99
"83","2016-07-13",13.03
"84","2016-07-14",13.5
"85","2016-07-15",13.48
"86","2016-07-18",13.29
"87","2016-07-19",13
"88","2016-07-20",13.01
"89","2016-07-21",13
"90","2016-07-22",12.93
"91","2016-07-25",13.08
"92","2016-07-26",13.085
"93","2016-07-27",13.18
"94","2016-07-28",13.11
"95","2016-07-29",13.13
"96","2016-08-01",13.19
"97","2016-08-02",13.09
"98","2016-08-03",13.001
"99","2016-08-04",13.01
"100","2016-08-05",13.03
"101","2016-08-08",13.02
"102","2016-08-09",13.019
"103","2016-08-10",12.93
"104","2016-08-11",12.83
"105","2016-08-12",13.14
"106","2016-08-15",12.94
"107","2016-08-16",12.71
"108","2016-08-17",12.8
"109","2016-08-18",12.75
"110","2016-08-19",12.42
"111","2016-08-22",12.5
"112","2016-08-23",12.72
"113","2016-08-24",12.7
"114","2016-08-25",12.7
"115","2016-08-26",12.95
"116","2016-08-29",13
"117","2016-08-30",12.42
"118","2016-08-31",12.45
"119","2016-09-01",12.445
"120","2016-09-02",12.54
