"","date","STAY"
"1","2013-11-13",23.870001
"2","2013-11-14",23.5
"3","2013-11-15",23.85
"4","2013-11-18",23.799999
"5","2013-11-19",23.41
"6","2013-11-20",23.75
"7","2013-11-21",23.98
"8","2013-11-22",24.049999
"9","2013-11-25",24.08
"10","2013-11-26",23.870001
"11","2013-11-27",24.65
"12","2013-11-29",25.18
"13","2013-12-02",25.219999
"14","2013-12-03",25.280001
"15","2013-12-04",25.309999
"16","2013-12-05",24.92
"17","2013-12-06",25.1
"18","2013-12-09",25.290001
"19","2013-12-10",24.950001
"20","2013-12-11",24.76
"21","2013-12-12",24.27
"22","2013-12-13",23.940001
"23","2013-12-16",24.790001
"24","2013-12-17",24.52
"25","2013-12-18",24.76
"26","2013-12-19",24.91
"27","2013-12-20",24.860001
"28","2013-12-23",24.85
"29","2013-12-24",25.02
"30","2013-12-26",25.139999
"31","2013-12-27",25.42
"32","2013-12-30",26.15
"33","2013-12-31",26.26
"34","2014-01-02",26.219999
"35","2014-01-03",26.059999
"36","2014-01-06",25.73
"37","2014-01-07",25.700001
"38","2014-01-08",25.24
"39","2014-01-09",25
"40","2014-01-10",25.049999
"41","2014-01-13",25
"42","2014-01-14",24.809999
"43","2014-01-15",25.01
"44","2014-01-16",25.040001
"45","2014-01-17",25
"46","2014-01-21",25.25
"47","2014-01-22",25.57
"48","2014-01-23",25.059999
"49","2014-01-24",24.440001
"50","2014-01-27",24.26
"51","2014-01-28",24.299999
"52","2014-01-29",24.32
"53","2014-01-30",25.200001
"54","2014-01-31",25.450001
"55","2014-02-03",24.790001
"56","2014-02-04",25.26
"57","2014-02-05",25
"58","2014-02-06",25.17
"59","2014-02-07",25.49
"60","2014-02-10",25.540001
"61","2014-02-11",25.780001
"62","2014-02-12",25.790001
"63","2014-02-13",25.99
"64","2014-02-14",26.34
"65","2014-02-18",26.49
"66","2014-02-19",26.49
"67","2014-02-20",26.25
"68","2014-02-21",26.27
"69","2014-02-24",26.57
"70","2014-02-25",26.450001
"71","2014-02-26",25.07
"72","2014-02-27",25.35
"73","2014-02-28",25.48
"74","2014-03-03",25.209999
"75","2014-03-04",25.59
"76","2014-03-05",25.950001
"77","2014-03-06",25.9
"78","2014-03-07",26.15
"79","2014-03-10",25.620001
"80","2014-03-11",24.940001
"81","2014-03-12",24.08
"82","2014-03-13",23.790001
"83","2014-03-14",23.360001
"84","2014-03-17",23.620001
"85","2014-03-18",23.889999
"86","2014-03-19",23.23
"87","2014-03-20",23.440001
"88","2014-03-21",24.190001
"89","2014-03-24",23.889999
"90","2014-03-25",23.85
"91","2014-03-26",23.43
"92","2014-03-27",22.74
"93","2014-03-28",22.639999
"94","2014-03-31",22.77
"95","2014-04-01",23.049999
"96","2014-04-02",23.33
"97","2014-04-03",23.73
"98","2014-04-04",23.83
"99","2014-04-07",22.610001
"100","2014-04-08",22.959999
"101","2014-04-09",23.280001
"102","2014-04-10",22.85
"103","2014-04-11",22.709999
"104","2014-04-14",22.26
"105","2014-04-15",22.290001
"106","2014-04-16",22.5
"107","2014-04-17",22.27
"108","2014-04-21",21.940001
"109","2014-04-22",22.52
"110","2014-04-23",22.1
"111","2014-04-24",22.26
"112","2014-04-25",21.84
"113","2014-04-28",21.24
"114","2014-04-29",21.040001
"115","2014-04-30",21.549999
"116","2014-05-01",22.049999
"117","2014-05-02",22.24
"118","2014-05-05",22.360001
"119","2014-05-06",21.790001
"120","2014-05-07",22.4
"121","2014-05-08",22.27
"122","2014-05-09",21.82
"123","2014-05-12",22.219999
"124","2014-05-13",22.639999
"125","2014-05-14",22.49
"126","2014-05-15",22.540001
"127","2014-05-16",22.299999
"128","2014-05-19",22.08
"129","2014-05-20",22.040001
"130","2014-05-21",21.82
"131","2014-05-22",21.5
"132","2014-05-23",21.49
"133","2014-05-27",21.709999
"134","2014-05-28",21.620001
"135","2014-05-29",22.200001
"136","2014-05-30",22.1
"137","2014-06-02",21.809999
"138","2014-06-03",22.559999
"139","2014-06-04",22.48
"140","2014-06-05",22.48
"141","2014-06-06",22.379999
"142","2014-06-09",23.540001
"143","2014-06-10",23.719999
"144","2014-06-11",22.65
"145","2014-06-12",22.549999
"146","2014-06-13",22.870001
"147","2014-06-16",22.799999
"148","2014-06-17",22.74
"149","2014-06-18",22.82
"150","2014-06-19",23.15
"151","2014-06-20",23.389999
"152","2014-06-23",23
"153","2014-06-24",22.809999
"154","2014-06-25",23.559999
"155","2014-06-26",23.25
"156","2014-06-27",23.1
"157","2014-06-30",23.16
"158","2014-07-01",22.76
"159","2014-07-02",23.35
"160","2014-07-03",23.67
"161","2014-07-07",23.290001
"162","2014-07-08",22.860001
"163","2014-07-09",22.91
"164","2014-07-10",22.700001
"165","2014-07-11",22.59
"166","2014-07-14",22.6
"167","2014-07-15",22.889999
"168","2014-07-16",23.030001
"169","2014-07-17",22.67
"170","2014-07-18",23.08
"171","2014-07-21",23.6
"172","2014-07-22",23.65
"173","2014-07-23",23.440001
"174","2014-07-24",23.07
"175","2014-07-25",22.77
"176","2014-07-28",22.549999
"177","2014-07-29",22.440001
"178","2014-07-30",22.549999
"179","2014-07-31",22.540001
"180","2014-08-01",22.6
"181","2014-08-04",23.09
