"","date","AESE"
"1","2017-10-25",9.58
"2","2017-10-26",9.55
"3","2017-10-27",9.54
"4","2017-10-30",9.58
"5","2017-10-31",9.56
"6","2017-11-01",9.57
"7","2017-11-02",9.57
"8","2017-11-03",9.57
"9","2017-11-06",9.56
"10","2017-11-07",9.56
"11","2017-11-08",9.56
"12","2017-11-09",9.53
"13","2017-11-10",9.54
"14","2017-11-13",9.52
"15","2017-11-14",9.52
"16","2017-11-15",9.54
"17","2017-11-16",9.53
"18","2017-11-17",9.568
"19","2017-11-20",9.57
"20","2017-11-21",9.58
"21","2017-11-22",9.58
"22","2017-11-24",9.58
"23","2017-11-27",9.59
"24","2017-11-28",9.59
"25","2017-11-29",9.6
"26","2017-11-30",9.6
"27","2017-12-01",9.6
"28","2017-12-04",9.6
"29","2017-12-05",9.59
"30","2017-12-06",9.59
"31","2017-12-07",9.59
"32","2017-12-08",9.59
"33","2017-12-11",9.59
"34","2017-12-12",9.59
"35","2017-12-13",9.59
"36","2017-12-14",9.59
"37","2017-12-15",9.62
"38","2017-12-18",9.62
"39","2017-12-19",9.6
"40","2017-12-20",9.6
"41","2017-12-21",9.6
"42","2017-12-22",9.6
"43","2017-12-26",9.6
"44","2017-12-27",9.65
"45","2017-12-28",9.65
"46","2017-12-29",9.65
"47","2018-01-02",9.58
"48","2018-01-03",9.63
"49","2018-01-04",9.63
"50","2018-01-05",9.63
"51","2018-01-08",9.65
"52","2018-01-09",9.65
"53","2018-01-10",9.65
"54","2018-01-11",9.65
"55","2018-01-12",9.67
"56","2018-01-16",9.67
"57","2018-01-17",9.67
"58","2018-01-18",9.65
"59","2018-01-19",9.65
"60","2018-01-22",9.65
"61","2018-01-23",9.65
"62","2018-01-24",9.65
"63","2018-01-25",9.65
"64","2018-01-26",9.65
"65","2018-01-29",9.65
"66","2018-01-30",9.65
"67","2018-01-31",9.66
"68","2018-02-01",9.66
"69","2018-02-02",9.655
"70","2018-02-05",9.6
"71","2018-02-06",9.6
"72","2018-02-07",9.655
"73","2018-02-08",9.655
"74","2018-02-09",9.64
"75","2018-02-12",9.68
"76","2018-02-13",9.68
"77","2018-02-14",9.69
"78","2018-02-15",9.65
"79","2018-02-16",9.65
"80","2018-02-20",9.65
"81","2018-02-21",9.65
"82","2018-02-22",9.65
"83","2018-02-23",9.65
"84","2018-02-26",9.65
"85","2018-02-27",9.689
"86","2018-02-28",9.689
"87","2018-03-01",9.65
"88","2018-03-02",9.65
"89","2018-03-05",9.65
"90","2018-03-06",9.65
"91","2018-03-07",9.65
"92","2018-03-08",9.65
"93","2018-03-09",9.65
"94","2018-03-12",9.66
"95","2018-03-13",9.66
"96","2018-03-14",9.685
"97","2018-03-15",9.65
"98","2018-03-16",9.66
"99","2018-03-19",9.66
"100","2018-03-20",9.66
"101","2018-03-21",9.66
"102","2018-03-22",9.72
"103","2018-03-23",9.72
"104","2018-03-26",9.69
"105","2018-03-27",9.68
"106","2018-03-28",9.69
"107","2018-03-29",9.69
"108","2018-04-02",9.69
"109","2018-04-03",9.69
"110","2018-04-04",9.72
"111","2018-04-05",9.71
"112","2018-04-06",9.71
"113","2018-04-09",9.71
"114","2018-04-10",9.69
"115","2018-04-11",9.72
"116","2018-04-12",9.7
"117","2018-04-13",9.7
"118","2018-04-16",9.7
"119","2018-04-17",9.7
"120","2018-04-18",9.73
"121","2018-04-19",9.73
"122","2018-04-20",9.72
"123","2018-04-23",9.725
"124","2018-04-24",9.725
"125","2018-04-25",9.75
"126","2018-04-26",9.75
"127","2018-04-27",9.74
"128","2018-04-30",9.74
"129","2018-05-01",9.74
"130","2018-05-02",9.75
"131","2018-05-03",9.721
"132","2018-05-04",9.721
"133","2018-05-07",9.75
"134","2018-05-08",9.75
"135","2018-05-09",9.73
"136","2018-05-10",9.76
"137","2018-05-11",9.77
"138","2018-05-14",9.77
"139","2018-05-15",9.78
"140","2018-05-16",9.78
"141","2018-05-17",9.78
"142","2018-05-18",9.78
"143","2018-05-21",9.75
"144","2018-05-22",9.75
"145","2018-05-23",9.75
"146","2018-05-24",9.75
"147","2018-05-25",9.759
"148","2018-05-29",9.77
"149","2018-05-30",9.77
"150","2018-05-31",9.77
"151","2018-06-01",9.78
"152","2018-06-04",9.78
"153","2018-06-05",9.78
"154","2018-06-06",9.777
"155","2018-06-07",9.78
"156","2018-06-08",9.78
"157","2018-06-11",9.79
"158","2018-06-12",9.76
