"","date","ROCK"
"1","2007-01-03",22.450001
"2","2007-01-04",24.059999
"3","2007-01-05",23.780001
"4","2007-01-08",23.959999
"5","2007-01-09",23.92
"6","2007-01-10",24.02
"7","2007-01-11",24.24
"8","2007-01-12",24.49
"9","2007-01-16",24.450001
"10","2007-01-17",24.41
"11","2007-01-18",24.4
"12","2007-01-19",24.83
"13","2007-01-22",24.360001
"14","2007-01-23",24.530001
"15","2007-01-24",24.540001
"16","2007-01-25",23.85
"17","2007-01-26",24.700001
"18","2007-01-29",23.92
"19","2007-01-30",24.92
"20","2007-01-31",24.530001
"21","2007-02-01",25
"22","2007-02-02",25.02
"23","2007-02-05",24.33
"24","2007-02-06",24.870001
"25","2007-02-07",25.040001
"26","2007-02-08",23.49
"27","2007-02-09",22.84
"28","2007-02-12",22.84
"29","2007-02-13",23.620001
"30","2007-02-14",23.200001
"31","2007-02-15",23.709999
"32","2007-02-16",23.57
"33","2007-02-20",23.74
"34","2007-02-21",24.209999
"35","2007-02-22",24.01
"36","2007-02-23",24.139999
"37","2007-02-26",24.16
"38","2007-02-27",22.65
"39","2007-02-28",23.25
"40","2007-03-01",22.799999
"41","2007-03-02",21.75
"42","2007-03-05",21.07
"43","2007-03-06",21.51
"44","2007-03-07",21.48
"45","2007-03-08",22.059999
"46","2007-03-09",21.92
"47","2007-03-12",21.66
"48","2007-03-13",21.01
"49","2007-03-14",21.26
"50","2007-03-15",21.73
"51","2007-03-16",21.41
"52","2007-03-19",21.66
"53","2007-03-20",22.48
"54","2007-03-21",22.879999
"55","2007-03-22",22.540001
"56","2007-03-23",22.709999
"57","2007-03-26",22.6
"58","2007-03-27",22.49
"59","2007-03-28",22.059999
"60","2007-03-29",22.780001
"61","2007-03-30",22.620001
"62","2007-04-02",22.73
"63","2007-04-03",23.08
"64","2007-04-04",23
"65","2007-04-05",22.57
"66","2007-04-09",22.549999
"67","2007-04-10",22.57
"68","2007-04-11",22.08
"69","2007-04-12",22.65
"70","2007-04-13",22.65
"71","2007-04-16",23.16
"72","2007-04-17",21.309999
"73","2007-04-18",21.08
"74","2007-04-19",21.17
"75","2007-04-20",21.5
"76","2007-04-23",21.540001
"77","2007-04-24",21.82
"78","2007-04-25",21.66
"79","2007-04-26",22.809999
"80","2007-04-27",23.1
"81","2007-04-30",22.299999
"82","2007-05-01",22.74
"83","2007-05-02",23.07
"84","2007-05-03",23.360001
"85","2007-05-04",23.450001
"86","2007-05-07",23.389999
"87","2007-05-08",23.629999
"88","2007-05-09",23.790001
"89","2007-05-10",22.65
"90","2007-05-11",23.17
"91","2007-05-14",22.799999
"92","2007-05-15",22.41
"93","2007-05-16",22.209999
"94","2007-05-17",21.959999
"95","2007-05-18",21.99
"96","2007-05-21",22.17
"97","2007-05-22",22.09
"98","2007-05-23",21.709999
"99","2007-05-24",21.139999
"100","2007-05-25",21.459999
"101","2007-05-29",21.48
"102","2007-05-30",21.91
"103","2007-05-31",21.540001
"104","2007-06-01",22.33
"105","2007-06-04",22.32
"106","2007-06-05",21.610001
"107","2007-06-06",21.219999
"108","2007-06-07",21.01
"109","2007-06-08",21.24
"110","2007-06-11",21.07
"111","2007-06-12",20.809999
"112","2007-06-13",20.91
"113","2007-06-14",21.02
"114","2007-06-15",21.48
"115","2007-06-18",21.77
"116","2007-06-19",21.639999
"117","2007-06-20",21.1
"118","2007-06-21",21.049999
"119","2007-06-22",21.309999
"120","2007-06-25",21.23
"121","2007-06-26",21.290001
"122","2007-06-27",21.93
"123","2007-06-28",22.18
"124","2007-06-29",22.15
"125","2007-07-02",22.51
"126","2007-07-03",22.379999
"127","2007-07-05",22.43
"128","2007-07-06",22.23
"129","2007-07-09",21.85
"130","2007-07-10",21.58
"131","2007-07-11",21.74
"132","2007-07-12",22.35
"133","2007-07-13",22.41
"134","2007-07-16",21.889999
"135","2007-07-17",22.01
"136","2007-07-18",21.68
"137","2007-07-19",21.360001
"138","2007-07-20",20.809999
"139","2007-07-23",21.370001
"140","2007-07-24",20.690001
"141","2007-07-25",20.860001
"142","2007-07-26",19.030001
"143","2007-07-27",19.41
"144","2007-07-30",19.799999
"145","2007-07-31",19.309999
"146","2007-08-01",19.23
