"","date","AIKI"
"1","2007-01-03",30800.404297
"2","2007-01-04",30509.835938
"3","2007-01-05",30655.121094
"4","2007-01-08",30219.265625
"5","2007-01-09",30800.404297
"6","2007-01-10",29783.410156
"7","2007-01-11",29783.410156
"8","2007-01-12",29347.556641
"9","2007-01-16",29638.125
"10","2007-01-17",29492.841797
"11","2007-01-18",29347.556641
"12","2007-01-19",29347.556641
"13","2007-01-22",29492.841797
"14","2007-01-23",29202.271484
"15","2007-01-24",29202.271484
"16","2007-01-25",29056.986328
"17","2007-01-26",29928.695313
"18","2007-01-29",29056.986328
"19","2007-01-30",27168.28125
"20","2007-01-31",26732.427734
"21","2007-02-01",26877.712891
"22","2007-02-02",26441.857422
"23","2007-02-05",26296.572266
"24","2007-02-06",27894.707031
"25","2007-02-07",27604.136719
"26","2007-02-08",27168.28125
"27","2007-02-09",26587.142578
"28","2007-02-12",26296.572266
"29","2007-02-13",29638.125
"30","2007-02-14",29056.986328
"31","2007-02-15",29347.556641
"32","2007-02-16",28330.560547
"33","2007-02-20",29056.986328
"34","2007-02-21",26587.142578
"35","2007-02-22",27749.421875
"36","2007-02-23",28621.130859
"37","2007-02-26",28330.560547
"38","2007-02-27",27022.998047
"39","2007-02-28",27168.28125
"40","2007-03-01",27168.28125
"41","2007-03-02",28330.560547
"42","2007-03-05",32398.539063
"43","2007-03-06",30800.404297
"44","2007-03-07",28911.701172
"45","2007-03-08",29492.841797
"46","2007-03-09",29056.986328
"47","2007-03-12",30219.265625
"48","2007-03-13",29492.841797
"49","2007-03-14",29492.841797
"50","2007-03-15",30073.980469
"51","2007-03-16",30509.835938
"52","2007-03-19",30073.980469
"53","2007-03-20",30509.835938
"54","2007-03-21",33851.390625
"55","2007-03-22",35013.667969
"56","2007-03-23",31381.544922
"57","2007-03-26",33270.25
"58","2007-03-27",35740.09375
"59","2007-03-28",34577.8125
"60","2007-03-29",33851.390625
"61","2007-03-30",35449.523438
"62","2007-04-02",35013.667969
"63","2007-04-03",34287.242188
"64","2007-04-04",34868.382813
"65","2007-04-05",34868.382813
"66","2007-04-09",33851.390625
"67","2007-04-10",34141.957031
"68","2007-04-11",33851.390625
"69","2007-04-12",33706.105469
"70","2007-04-13",35594.808594
"71","2007-04-16",34723.097656
"72","2007-04-17",35304.238281
"73","2007-04-18",34868.382813
"74","2007-04-19",35449.523438
"75","2007-04-20",37047.65625
"76","2007-04-23",39226.929688
"77","2007-04-24",39808.070313
"78","2007-04-25",40534.496094
"79","2007-04-26",39517.5
"80","2007-04-27",35740.09375
"81","2007-04-30",38500.507813
"82","2007-05-01",38500.507813
"83","2007-05-02",37483.511719
"84","2007-05-03",40534.496094
"85","2007-05-04",40243.925781
"86","2007-05-07",40679.78125
"87","2007-05-08",38645.792969
"88","2007-05-09",39226.929688
"89","2007-05-10",37483.511719
"90","2007-05-11",39081.644531
"91","2007-05-14",40098.640625
"92","2007-05-15",39953.355469
"93","2007-05-16",40679.78125
"94","2007-05-17",39808.070313
