"","date","HMHC"
"1","2013-11-14",15.86
"2","2013-11-15",16.110001
"3","2013-11-18",15.78
"4","2013-11-19",16.24
"5","2013-11-20",17.66
"6","2013-11-21",17.450001
"7","2013-11-22",16.309999
"8","2013-11-25",16.403999
"9","2013-11-26",16.49
"10","2013-11-27",17.35
"11","2013-11-29",17.379999
"12","2013-12-02",17.52
"13","2013-12-03",17.52
"14","2013-12-04",17.4
"15","2013-12-05",16.92
"16","2013-12-06",17.110001
"17","2013-12-09",16.610001
"18","2013-12-10",16.469999
"19","2013-12-11",15.97
"20","2013-12-12",16.389999
"21","2013-12-13",15.89
"22","2013-12-16",16.440001
"23","2013-12-17",17.4
"24","2013-12-18",17.549999
"25","2013-12-19",17.5
"26","2013-12-20",17.9
"27","2013-12-23",17.77
"28","2013-12-24",17.09
"29","2013-12-26",16.860001
"30","2013-12-27",17.360001
"31","2013-12-30",17.07
"32","2013-12-31",16.959999
"33","2014-01-02",17.34
"34","2014-01-03",17.07
"35","2014-01-06",17.629999
"36","2014-01-07",17.66
"37","2014-01-08",17.83
"38","2014-01-09",17.85
"39","2014-01-10",17.93
"40","2014-01-13",17.84
"41","2014-01-14",17.879999
"42","2014-01-15",18.08
"43","2014-01-16",18.24
"44","2014-01-17",18.450001
"45","2014-01-21",18.58
"46","2014-01-22",18.809999
"47","2014-01-23",18.790001
"48","2014-01-24",19
"49","2014-01-27",19.01
"50","2014-01-28",19.24
"51","2014-01-29",19.120001
"52","2014-01-30",19.26
"53","2014-01-31",19.24
"54","2014-02-03",18.950001
"55","2014-02-04",19.51
"56","2014-02-05",19.26
"57","2014-02-06",18.860001
"58","2014-02-07",18.66
"59","2014-02-10",19.08
"60","2014-02-11",19.110001
"61","2014-02-12",18.969999
"62","2014-02-13",19.389999
"63","2014-02-14",19.25
"64","2014-02-18",19.469999
"65","2014-02-19",20.059999
"66","2014-02-20",20.25
"67","2014-02-21",20.120001
"68","2014-02-24",19.9
"69","2014-02-25",20.25
"70","2014-02-26",20.040001
"71","2014-02-27",20.549999
"72","2014-02-28",20.32
"73","2014-03-03",19.629999
"74","2014-03-04",19.73
"75","2014-03-05",19.4
"76","2014-03-06",19.889999
"77","2014-03-07",19.25
"78","2014-03-10",19.33
"79","2014-03-11",19.360001
"80","2014-03-12",19.549999
"81","2014-03-13",19.690001
"82","2014-03-14",19.700001
"83","2014-03-17",19.950001
"84","2014-03-18",19.99
"85","2014-03-19",20
"86","2014-03-20",20.110001
"87","2014-03-21",19.870001
"88","2014-03-24",19.75
"89","2014-03-25",19.99
"90","2014-03-26",19.629999
"91","2014-03-27",20.049999
"92","2014-03-28",20.43
"93","2014-03-31",20.33
"94","2014-04-01",20.5
"95","2014-04-02",20.459999
"96","2014-04-03",20.48
"97","2014-04-04",20.57
"98","2014-04-07",20.379999
"99","2014-04-08",20.809999
"100","2014-04-09",20.82
"101","2014-04-10",20.5
"102","2014-04-11",20.280001
"103","2014-04-14",20.48
"104","2014-04-15",20.48
"105","2014-04-16",20.43
"106","2014-04-17",20.35
"107","2014-04-21",20.379999
"108","2014-04-22",20.629999
"109","2014-04-23",20.65
"110","2014-04-24",20.709999
"111","2014-04-25",20.450001
"112","2014-04-28",20.35
"113","2014-04-29",20.66
"114","2014-04-30",20.43
"115","2014-05-01",19.99
"116","2014-05-02",19.76
"117","2014-05-05",19.17
"118","2014-05-06",19.120001
"119","2014-05-07",19.01
"120","2014-05-08",18.32
"121","2014-05-09",18.299999
"122","2014-05-12",18.51
"123","2014-05-13",18.459999
"124","2014-05-14",18.35
"125","2014-05-15",17.99
"126","2014-05-16",17.66
"127","2014-05-19",17.91
"128","2014-05-20",17.969999
"129","2014-05-21",17.93
"130","2014-05-22",18.02
"131","2014-05-23",18.040001
"132","2014-05-27",18.719999
"133","2014-05-28",18.004999
"134","2014-05-29",18.26
"135","2014-05-30",18.219999
"136","2014-06-02",18.190001
"137","2014-06-03",18.18
"138","2014-06-04",18.280001
"139","2014-06-05",18.34
"140","2014-06-06",18.48
"141","2014-06-09",19.5
"142","2014-06-10",19.799999
"143","2014-06-11",19.450001
"144","2014-06-12",19.360001
"145","2014-06-13",19.540001
"146","2014-06-16",19.52
"147","2014-06-17",19.33
"148","2014-06-18",19.360001
"149","2014-06-19",19.4
"150","2014-06-20",19.35
"151","2014-06-23",19.32
"152","2014-06-24",19.280001
"153","2014-06-25",19.27
"154","2014-06-26",19.309999
"155","2014-06-27",19.120001
"156","2014-06-30",19.16
"157","2014-07-01",19.35
"158","2014-07-02",19.309999
