"","date","SGLB"
"1","2010-10-14",20
"2","2010-10-15",20
"3","2010-10-18",20
"4","2010-10-19",16
"5","2010-10-20",14
"6","2010-10-21",10
"7","2010-10-22",10
"8","2010-10-25",10
"9","2010-10-26",10
"10","2010-10-27",13
"11","2010-10-28",15
"12","2010-10-29",15
"13","2010-11-01",15
"14","2010-11-02",15
"15","2010-11-03",15
"16","2010-11-04",15
"17","2010-11-05",15
"18","2010-11-08",15
"19","2010-11-09",19
"20","2010-11-10",20
"21","2010-11-11",21
"22","2010-11-12",26
"23","2010-11-15",26
"24","2010-11-16",28
"25","2010-11-17",24
"26","2010-11-18",18
"27","2010-11-19",20
"28","2010-11-22",19.9
"29","2010-11-23",19
"30","2010-11-24",19
"31","2010-11-26",19
"32","2010-11-29",18
"33","2010-11-30",18
"34","2010-12-01",18
"35","2010-12-02",17
"36","2010-12-03",19
"37","2010-12-06",18
"38","2010-12-07",16.9
"39","2010-12-08",16.9
"40","2010-12-09",16.9
"41","2010-12-10",16.9
"42","2010-12-13",16
"43","2010-12-14",16
"44","2010-12-15",16
"45","2010-12-16",16
"46","2010-12-17",16
"47","2010-12-20",16
"48","2010-12-21",16
"49","2010-12-22",20
"50","2010-12-23",20
"51","2010-12-27",15
"52","2010-12-28",15
"53","2010-12-29",15
"54","2010-12-30",15
"55","2010-12-31",15
"56","2011-01-03",14
"57","2011-01-04",14
"58","2011-01-05",14
"59","2011-01-06",14
"60","2011-01-07",14
"61","2011-01-10",17
"62","2011-01-11",17
"63","2011-01-12",17
"64","2011-01-13",16
"65","2011-01-14",16
"66","2011-01-18",14
"67","2011-01-19",16
"68","2011-01-20",14
"69","2011-01-21",15
"70","2011-01-24",15
"71","2011-01-25",14
"72","2011-01-26",16
"73","2011-01-27",14
"74","2011-01-28",14
"75","2011-01-31",14
"76","2011-02-01",14
"77","2011-02-02",14
"78","2011-02-03",14
"79","2011-02-04",14
"80","2011-02-07",14
"81","2011-02-08",20
"82","2011-02-09",23
"83","2011-02-10",20
"84","2011-02-11",21
"85","2011-02-14",22
"86","2011-02-15",22
"87","2011-02-16",20
"88","2011-02-17",24
"89","2011-02-18",24
"90","2011-02-22",20
"91","2011-02-23",21
"92","2011-02-24",22
"93","2011-02-25",22
"94","2011-02-28",22
"95","2011-03-01",22
"96","2011-03-02",21
"97","2011-03-03",21
"98","2011-03-04",21
"99","2011-03-07",18
"100","2011-03-08",18
"101","2011-03-09",17
"102","2011-03-10",17
"103","2011-03-11",17
"104","2011-03-14",17
"105","2011-03-15",16
"106","2011-03-16",22
"107","2011-03-17",26
"108","2011-03-18",26
"109","2011-03-21",27
"110","2011-03-22",22
"111","2011-03-23",34
"112","2011-03-24",37
"113","2011-03-25",50
"114","2011-03-28",40
"115","2011-03-29",45.599998
"116","2011-03-30",41.5
"117","2011-03-31",27.799999
"118","2011-04-01",27.799999
"119","2011-04-04",26.200001
"120","2011-04-05",29
"121","2011-04-06",30.6
"122","2011-04-07",29
"123","2011-04-08",30.799999
"124","2011-04-11",26.200001
"125","2011-04-12",25.6
"126","2011-04-13",25.6
"127","2011-04-14",23.200001
"128","2011-04-15",24.6
"129","2011-04-18",21.4
"130","2011-04-19",23.799999
"131","2011-04-20",20
"132","2011-04-21",20
"133","2011-04-25",12
"134","2011-04-26",14
"135","2011-04-27",14
"136","2011-04-28",15
"137","2011-04-29",16.6
"138","2011-05-02",9.8
"139","2011-05-03",6.84
"140","2011-05-04",5.62
"141","2011-05-05",6.6
"142","2011-05-06",6.08
"143","2011-05-09",6
"144","2011-05-10",6
"145","2011-05-11",5.4
"146","2011-05-12",4.8
"147","2011-05-13",7.2
"148","2011-05-16",6.3
"149","2011-05-17",5.8
"150","2011-05-18",5.24
"151","2011-05-19",4.5
"152","2011-05-20",4.6
"153","2011-05-23",3.74
"154","2011-05-24",3.8
"155","2011-05-25",3.6
"156","2011-05-26",4.48
"157","2011-05-27",4.5
"158","2011-05-31",4
"159","2011-06-01",3.74
"160","2011-06-02",4
"161","2011-06-03",4.08
"162","2011-06-06",3.8
"163","2011-06-07",3.94
"164","2011-06-08",4.18
"165","2011-06-09",4.4
"166","2011-06-10",4
"167","2011-06-13",3.7
"168","2011-06-14",4.1
"169","2011-06-15",4.08
"170","2011-06-16",4
"171","2011-06-17",4
"172","2011-06-20",3.98
"173","2011-06-21",3.98
"174","2011-06-22",3.98
"175","2011-06-23",3.98
"176","2011-06-24",3.3
"177","2011-06-27",3.26
"178","2011-06-28",3.24
"179","2011-06-29",3.1
"180","2011-06-30",2.8
"181","2011-07-01",2.62
"182","2011-07-05",2.8
"183","2011-07-06",2.4
"184","2011-07-07",2.78
"185","2011-07-08",2.8
"186","2011-07-11",2.8
"187","2011-07-12",2.7
"188","2011-07-13",2.7
"189","2011-07-14",3.16
"190","2011-07-15",2.88
"191","2011-07-18",3
"192","2011-07-19",3
"193","2011-07-20",3.32
"194","2011-07-21",3
"195","2011-07-22",2.8
"196","2011-07-25",3.4
"197","2011-07-26",3.06
"198","2011-07-27",3.58
"199","2011-07-28",3.6
"200","2011-07-29",3.6
"201","2011-08-01",3.78
"202","2011-08-02",3.04
"203","2011-08-03",3.04
"204","2011-08-04",3.38
"205","2011-08-05",3
"206","2011-08-08",2.88
"207","2011-08-09",2.2
"208","2011-08-10",2.2
"209","2011-08-11",2.2
"210","2011-08-12",2.4
"211","2011-08-15",2.4
"212","2011-08-16",2.6
"213","2011-08-17",2.38
"214","2011-08-18",2.9
"215","2011-08-19",2.3
"216","2011-08-22",2.32
