"","date","JAN"
"1","2007-01-03",11
"2","2007-01-04",10.95
"3","2007-01-05",10.75
"4","2007-01-08",11.7
"5","2007-01-09",10.95
"6","2007-01-10",11.3
"7","2007-01-11",11.45
"8","2007-01-12",11
"9","2007-01-16",11.3
"10","2007-01-17",11.35
"11","2007-01-18",12.3
"12","2007-01-19",13
"13","2007-01-22",13.25
"14","2007-01-23",13.8
"15","2007-01-24",13.75
"16","2007-01-25",13.1
"17","2007-01-26",12.1
"18","2007-01-29",11.9
"19","2007-01-30",12
"20","2007-01-31",12.5
"21","2007-02-01",11.75
"22","2007-02-02",12.55
"23","2007-02-05",11.75
"24","2007-02-06",11.75
"25","2007-02-07",11.25
"26","2007-02-08",11.25
"27","2007-02-09",11.3
"28","2007-02-12",11.45
"29","2007-02-13",10.95
"30","2007-02-14",10.9
"31","2007-02-15",10.95
"32","2007-02-16",11
"33","2007-02-20",10.9
"34","2007-02-21",11
"35","2007-02-22",11
"36","2007-02-23",11
"37","2007-02-26",11
"38","2007-02-27",10.5
"39","2007-02-28",11
"40","2007-03-01",11
"41","2007-03-02",11
"42","2007-03-05",11
"43","2007-03-06",11
"44","2007-03-07",11
"45","2007-03-08",11
"46","2007-03-09",11.2
"47","2007-03-12",11.15
"48","2007-03-13",11.1
"49","2007-03-14",11
"50","2007-03-15",11
"51","2007-03-16",11
"52","2007-03-19",11.25
"53","2007-03-20",11.4
"54","2007-03-21",11.25
"55","2007-03-22",11.95
"56","2007-03-23",11.95
"57","2007-03-26",11.95
"58","2007-03-27",11.25
"59","2007-03-28",11
"60","2007-03-29",11
"61","2007-03-30",11
"62","2007-04-02",11
"63","2007-04-03",11.5
"64","2007-04-04",11.5
"65","2007-04-05",11.5
"66","2007-04-09",11
"67","2007-04-10",11
"68","2007-04-11",11.05
"69","2007-04-12",11.15
"70","2007-04-13",11.2
"71","2007-04-16",11
"72","2007-04-17",11
"73","2007-04-18",11
"74","2007-04-19",11
"75","2007-04-20",12
"76","2007-04-23",11.65
"77","2007-04-24",11.6
"78","2007-04-25",11.5
"79","2007-04-26",11.6
"80","2007-04-27",11.6
"81","2007-04-30",27.75
"82","2007-05-01",20.5
"83","2007-05-02",19.299999
"84","2007-05-03",18.65
