"","date","TC"
"1","2018-11-20",31.32
"2","2018-11-21",31.24
"3","2018-11-23",30.639999
"4","2018-11-26",28
"5","2018-11-27",26.799999
"6","2018-11-28",28.6
"7","2018-11-29",28.68
"8","2018-11-30",29.6
"9","2018-12-03",29.959999
"10","2018-12-04",29.16
"11","2018-12-06",28.200001
"12","2018-12-07",27.559999
"13","2018-12-10",27.6
"14","2018-12-11",27.6
"15","2018-12-12",27.6
"16","2018-12-13",27.6
"17","2018-12-14",27.6
"18","2018-12-17",27.6
"19","2018-12-18",27.6
"20","2018-12-19",27.440001
"21","2018-12-20",27.559999
"22","2018-12-21",27.4
"23","2018-12-24",27.360001
"24","2018-12-26",27.32
"25","2018-12-27",27.120001
"26","2018-12-28",26.92
"27","2018-12-31",27
"28","2019-01-02",26.6
"29","2019-01-03",25.120001
"30","2019-01-04",26.440001
"31","2019-01-07",25.52
"32","2019-01-08",24.84
"33","2019-01-09",26.280001
"34","2019-01-10",26.719999
"35","2019-01-11",26.76
"36","2019-01-14",28.68
"37","2019-01-15",27
"38","2019-01-16",25.76
"39","2019-01-17",25.879999
"40","2019-01-18",25.4
"41","2019-01-22",25.200001
"42","2019-01-23",25.200001
"43","2019-01-24",26
"44","2019-01-25",25.4
"45","2019-01-28",24.84
"46","2019-01-29",25.24
"47","2019-01-30",25.76
"48","2019-01-31",26
"49","2019-02-01",24.4
"50","2019-02-04",25.4
"51","2019-02-05",25.76
"52","2019-02-06",25.879999
"53","2019-02-07",25.84
"54","2019-02-08",25.84
"55","2019-02-11",25.84
"56","2019-02-12",25.92
"57","2019-02-13",25.76
"58","2019-02-14",25.92
"59","2019-02-15",25.52
"60","2019-02-19",24.84
"61","2019-02-20",25.200001
"62","2019-02-21",25.4
"63","2019-02-22",25.32
"64","2019-02-25",25.48
"65","2019-02-26",25.48
"66","2019-02-27",24.6
"67","2019-02-28",24.76
"68","2019-03-01",24.68
"69","2019-03-04",25.120001
"70","2019-03-05",25.200001
"71","2019-03-06",25.200001
"72","2019-03-07",25.200001
"73","2019-03-08",25.200001
"74","2019-03-11",25.040001
"75","2019-03-12",25.200001
"76","2019-03-13",25.200001
"77","2019-03-14",25.200001
"78","2019-03-15",25.200001
"79","2019-03-18",25.16
"80","2019-03-19",25.200001
"81","2019-03-20",25.200001
"82","2019-03-21",26.76
"83","2019-03-22",26.6
"84","2019-03-25",27.200001
"85","2019-03-26",27.200001
"86","2019-03-27",27.719999
"87","2019-03-28",27.440001
"88","2019-03-29",26.799999
"89","2019-04-01",26.4
"90","2019-04-02",26.200001
"91","2019-04-03",27.040001
"92","2019-04-04",26.280001
"93","2019-04-05",27.08
"94","2019-04-08",27.68
"95","2019-04-09",29.639999
"96","2019-04-10",30
"97","2019-04-11",29.6
"98","2019-04-12",29.4
"99","2019-04-15",29.799999
"100","2019-04-16",29.879999
"101","2019-04-17",29.68
"102","2019-04-18",29
"103","2019-04-22",27.719999
"104","2019-04-23",27.120001
"105","2019-04-24",27.6
"106","2019-04-25",27
"107","2019-04-26",27.200001
"108","2019-04-29",27.52
"109","2019-04-30",28
"110","2019-05-01",27.559999
"111","2019-05-02",27.6
"112","2019-05-03",27.559999
"113","2019-05-06",27.6
"114","2019-05-07",28
"115","2019-05-08",28.24
"116","2019-05-09",27.92
"117","2019-05-10",27.48
"118","2019-05-13",27.84
"119","2019-05-14",27.959999
"120","2019-05-15",26.4
"121","2019-05-16",26.92
"122","2019-05-17",26.6
"123","2019-05-20",25.120001
"124","2019-05-21",23.200001
"125","2019-05-22",23.200001
"126","2019-05-23",22.4
"127","2019-05-24",22.4
"128","2019-05-28",21.200001
"129","2019-05-29",16.959999
"130","2019-05-30",16.879999
"131","2019-05-31",17.799999
"132","2019-06-03",15.96
"133","2019-06-04",15.2
"134","2019-06-05",13.48
"135","2019-06-06",11.84
"136","2019-06-07",12.8
"137","2019-06-10",12.88
"138","2019-06-11",13.28
"139","2019-06-12",12.6
"140","2019-06-13",10.76
"141","2019-06-14",11.84
"142","2019-06-17",8.52
"143","2019-06-18",10.08
"144","2019-06-19",11.04
"145","2019-06-20",12.12
"146","2019-06-21",12.56
"147","2019-06-24",12.72
"148","2019-06-25",11.56
"149","2019-06-26",12.08
"150","2019-06-27",12.76
"151","2019-06-28",12.24
"152","2019-07-01",12.88
"153","2019-07-02",14.12
"154","2019-07-03",16
"155","2019-07-05",16.92
"156","2019-07-08",19
"157","2019-07-09",21.16
"158","2019-07-10",20
"159","2019-07-11",19.040001
"160","2019-07-12",18.799999
"161","2019-07-15",20.360001
"162","2019-07-16",20.040001
"163","2019-07-17",20.040001
"164","2019-07-18",19.639999
"165","2019-07-19",20.24
"166","2019-07-22",18.4
"167","2019-07-23",17.92
"168","2019-07-24",16.799999
"169","2019-07-25",17.639999
"170","2019-07-26",17.799999
"171","2019-07-29",18.799999
"172","2019-07-30",18.24
"173","2019-07-31",18.32
"174","2019-08-01",17.84
"175","2019-08-02",15.84
"176","2019-08-05",17.32
"177","2019-08-06",19.799999
"178","2019-08-07",18.799999
"179","2019-08-08",19.16
"180","2019-08-09",19
"181","2019-08-12",17.280001
"182","2019-08-13",17
"183","2019-08-14",16.559999
"184","2019-08-15",16.4
"185","2019-08-16",13.64
"186","2019-08-19",13.8
"187","2019-08-20",15.84
"188","2019-08-21",14.56
"189","2019-08-22",15.2
"190","2019-08-23",10.44
"191","2019-08-26",10.12
"192","2019-08-27",9.4
"193","2019-08-28",9.24
"194","2019-08-29",10.16
"195","2019-08-30",10
"196","2019-09-03",11.48
"197","2019-09-04",10.32
"198","2019-09-05",10.8
"199","2019-09-06",10.72
"200","2019-09-09",10.88
"201","2019-09-10",10.96
"202","2019-09-11",11
"203","2019-09-12",10.68
"204","2019-09-13",10.68
"205","2019-09-16",10.64
"206","2019-09-17",10.44
"207","2019-09-18",10.48
"208","2019-09-19",10.4
"209","2019-09-20",9.84
"210","2019-09-23",9.28
"211","2019-09-24",9.92
"212","2019-09-25",9.76
"213","2019-09-26",9.36
"214","2019-09-27",9.4
"215","2019-09-30",8.88
"216","2019-10-01",9.36
"217","2019-10-02",10.2
"218","2019-10-03",11.24
"219","2019-10-04",11.64
"220","2019-10-07",11.24
"221","2019-10-08",11.4
"222","2019-10-09",10.8
"223","2019-10-10",10.88
"224","2019-10-11",10.88
"225","2019-10-14",11
"226","2019-10-15",10.4
"227","2019-10-16",10.84
"228","2019-10-17",10.36
"229","2019-10-18",11.32
"230","2019-10-21",10.88
"231","2019-10-22",10.84
"232","2019-10-23",10.4
"233","2019-10-24",10.52
"234","2019-10-25",10.4
"235","2019-10-28",10.36
"236","2019-10-29",10.68
"237","2019-10-30",10.28
"238","2019-10-31",10.36
"239","2019-11-01",10.4
"240","2019-11-04",10.68
"241","2019-11-05",10.36
"242","2019-11-06",10.48
"243","2019-11-07",10.8
"244","2019-11-08",10.88
"245","2019-11-11",10.24
"246","2019-11-12",10.4
"247","2019-11-13",10.24
"248","2019-11-14",10.4
"249","2019-11-15",10
"250","2019-11-18",9.8
"251","2019-11-19",10.16
"252","2019-11-20",9.96
"253","2019-11-21",10.08
"254","2019-11-22",10
"255","2019-11-25",9.96
"256","2019-11-26",10.12
"257","2019-11-27",10.12
"258","2019-11-29",9.2
"259","2019-12-02",9.24
"260","2019-12-03",9.16
"261","2019-12-04",9.08
"262","2019-12-05",8.8
"263","2019-12-06",9.2
"264","2019-12-09",9.04
"265","2019-12-10",7.96
"266","2019-12-11",7.4
"267","2019-12-12",7.8
"268","2019-12-13",7.04
"269","2019-12-16",6.72
"270","2019-12-17",7.04
"271","2019-12-18",7.48
"272","2019-12-19",7.56
"273","2019-12-20",7.56
"274","2019-12-23",7.76
"275","2019-12-24",7.44
"276","2019-12-26",7.32
"277","2019-12-27",6.8
"278","2019-12-30",6.52
"279","2019-12-31",5.72
"280","2020-01-02",6.88
"281","2020-01-03",6.08
"282","2020-01-06",6.04
"283","2020-01-07",6.08
"284","2020-01-08",6
"285","2020-01-09",6
"286","2020-01-10",5.96
"287","2020-01-13",5.96
"288","2020-01-14",6.28
"289","2020-01-15",6.4
"290","2020-01-16",6.44
"291","2020-01-17",6.2
"292","2020-01-21",6.28
"293","2020-01-22",6.2
"294","2020-01-23",7
"295","2020-01-24",6.44
"296","2020-01-27",6.04
"297","2020-01-28",5.68
"298","2020-01-29",5.64
"299","2020-01-30",5.8
"300","2020-01-31",5.68
"301","2020-02-03",5.16
"302","2020-02-04",4.96
"303","2020-02-05",4.96
"304","2020-02-06",4.92
"305","2020-02-07",4.52
"306","2020-02-10",4.92
"307","2020-02-11",4.88
"308","2020-02-12",5.56
"309","2020-02-13",6.24
"310","2020-02-14",5.8
"311","2020-02-18",6
"312","2020-02-19",6.2
"313","2020-02-20",6.16
"314","2020-02-21",6.12
"315","2020-02-24",6
"316","2020-02-25",6
"317","2020-02-26",6
"318","2020-02-27",6.04
"319","2020-02-28",6
"320","2020-03-02",6.16
"321","2020-03-03",6.04
"322","2020-03-04",6.2
"323","2020-03-05",6.04
"324","2020-03-06",5.92
"325","2020-03-09",6
"326","2020-03-10",5.92
"327","2020-03-11",6.36
"328","2020-03-12",6
"329","2020-03-13",6
"330","2020-03-16",5.44
