"","date","PASG"
"1","2020-02-28",22.200001
"2","2020-03-02",21.5
"3","2020-03-03",20
"4","2020-03-04",20.6
"5","2020-03-05",19.75
"6","2020-03-06",20.200001
"7","2020-03-09",18.299999
"8","2020-03-10",19.15
"9","2020-03-11",18.860001
"10","2020-03-12",16.790001
"11","2020-03-13",15.52
"12","2020-03-16",10.27
"13","2020-03-17",10.51
"14","2020-03-18",8.86
"15","2020-03-19",8.92
"16","2020-03-20",9.79
"17","2020-03-23",12.06
"18","2020-03-24",14.02
"19","2020-03-25",14.74
"20","2020-03-26",13.63
"21","2020-03-27",12.53
"22","2020-03-30",15.72
"23","2020-03-31",15.75
"24","2020-04-01",14.9
"25","2020-04-02",15.18
"26","2020-04-03",14.59
"27","2020-04-06",15.95
"28","2020-04-07",16.27
"29","2020-04-08",16.5
"30","2020-04-09",17.08
"31","2020-04-13",18.799999
"32","2020-04-14",19.190001
"33","2020-04-15",19.450001
"34","2020-04-16",20.110001
"35","2020-04-17",20.35
"36","2020-04-20",20.83
"37","2020-04-21",19.280001
"38","2020-04-22",19.35
"39","2020-04-23",18.5
"40","2020-04-24",18.85
"41","2020-04-27",18.450001
"42","2020-04-28",18.34
"43","2020-04-29",18.34
"44","2020-04-30",16.549999
"45","2020-05-01",17.889999
"46","2020-05-04",18.549999
"47","2020-05-05",19
"48","2020-05-06",19.049999
"49","2020-05-07",18.91
"50","2020-05-08",20.32
"51","2020-05-11",20.540001
"52","2020-05-12",21.209999
"53","2020-05-13",21.75
"54","2020-05-14",22.15
"55","2020-05-15",21.32
"56","2020-05-18",21.389999
"57","2020-05-19",20.98
"58","2020-05-20",22.299999
"59","2020-05-21",24.040001
"60","2020-05-22",24.67
"61","2020-05-26",24.549999
"62","2020-05-27",22.9
"63","2020-05-28",23
"64","2020-05-29",22.030001
"65","2020-06-01",21.92
"66","2020-06-02",23.940001
"67","2020-06-03",24.41
"68","2020-06-04",25.75
"69","2020-06-05",23.309999
"70","2020-06-08",23.950001
"71","2020-06-09",24.870001
"72","2020-06-10",25
"73","2020-06-11",23.09
"74","2020-06-12",24.610001
"75","2020-06-15",27
"76","2020-06-16",28
"77","2020-06-17",28.85
"78","2020-06-18",30.299999
"79","2020-06-19",33.720001
"80","2020-06-22",35.849998
"81","2020-06-23",36.07
"82","2020-06-24",33.700001
"83","2020-06-25",35.060001
"84","2020-06-26",28.41
"85","2020-06-29",27.75
"86","2020-06-30",27.33
"87","2020-07-01",26.08
"88","2020-07-02",26.15
"89","2020-07-06",25.299999
"90","2020-07-07",24.59
"91","2020-07-08",24.450001
"92","2020-07-09",23.67
"93","2020-07-10",22.610001
"94","2020-07-13",22.700001
"95","2020-07-14",22.26
"96","2020-07-15",22.629999
"97","2020-07-16",21.219999
"98","2020-07-17",20.92
"99","2020-07-20",19.780001
"100","2020-07-21",19.290001
"101","2020-07-22",19.6
"102","2020-07-23",19.120001
"103","2020-07-24",16.99
"104","2020-07-27",18.950001
"105","2020-07-28",18.68
"106","2020-07-29",18.08
"107","2020-07-30",16.6
"108","2020-07-31",15.64
"109","2020-08-03",15.87
"110","2020-08-04",15.62
"111","2020-08-05",15.08
"112","2020-08-06",15.16
"113","2020-08-07",17.129999
"114","2020-08-10",16.49
"115","2020-08-11",15.93
"116","2020-08-12",14.77
"117","2020-08-13",15.37
"118","2020-08-14",14.23
"119","2020-08-17",15
"120","2020-08-18",14.39
"121","2020-08-19",13.7
"122","2020-08-20",14.54
"123","2020-08-21",14.785
"124","2020-08-24",14.49
"125","2020-08-25",15.98
"126","2020-08-26",15.4
"127","2020-08-27",14.37
"128","2020-08-28",16.02
"129","2020-08-31",16.559999
"130","2020-09-01",16.370001
"131","2020-09-02",15.91
"132","2020-09-03",15.18
"133","2020-09-04",14.92
"134","2020-09-08",15.96
"135","2020-09-09",16
"136","2020-09-10",15.71
"137","2020-09-11",15.45
"138","2020-09-14",16.709999
"139","2020-09-15",17.08
"140","2020-09-16",17.139999
"141","2020-09-17",16.59
"142","2020-09-18",15.81
"143","2020-09-21",14.69
"144","2020-09-22",14.24
"145","2020-09-23",12.395
"146","2020-09-24",12.52
"147","2020-09-25",13.34
"148","2020-09-28",12.88
"149","2020-09-29",13.06
"150","2020-09-30",13.11
"151","2020-10-01",14.37
"152","2020-10-02",14.28
"153","2020-10-05",15
"154","2020-10-06",14.63
"155","2020-10-07",14.56
"156","2020-10-08",15.24
"157","2020-10-09",15.28
"158","2020-10-12",15.91
"159","2020-10-13",16.77
"160","2020-10-14",17.370001
"161","2020-10-15",18.379999
"162","2020-10-16",17.790001
"163","2020-10-19",17.639999
"164","2020-10-20",16.790001
"165","2020-10-21",17.67
"166","2020-10-22",17.110001
"167","2020-10-23",17.059999
"168","2020-10-26",16.91
"169","2020-10-27",16.92
"170","2020-10-28",17.040001
"171","2020-10-29",17.01
"172","2020-10-30",16.809999
"173","2020-11-02",17.01
"174","2020-11-03",16.440001
"175","2020-11-04",17
"176","2020-11-05",16.91
"177","2020-11-06",16.940001
"178","2020-11-09",16.82
"179","2020-11-10",16.959999
"180","2020-11-11",16.889999
"181","2020-11-12",16.67
"182","2020-11-13",16.76
"183","2020-11-16",16.719999
"184","2020-11-17",16.469999
"185","2020-11-18",16.16
"186","2020-11-19",16.51
"187","2020-11-20",17.049999
"188","2020-11-23",16.99
"189","2020-11-24",17.870001
"190","2020-11-25",18.700001
"191","2020-11-27",19.540001
