"","date","SIC"
"1","2018-08-16",12.65
"2","2018-08-17",12.61
"3","2018-08-20",12.5
"4","2018-08-21",12.4
"5","2018-08-22",12.2
"6","2018-08-23",12.01
"7","2018-08-24",12.4
"8","2018-08-27",12.4
"9","2018-08-28",12.4
"10","2018-08-29",12.35
"11","2018-08-30",12.25
"12","2018-08-31",12.25
"13","2018-09-04",12.25
"14","2018-09-05",12.25
"15","2018-09-06",12.25
"16","2018-09-07",12.25
"17","2018-09-10",12
"18","2018-09-11",11.53
"19","2018-09-12",11.6
"20","2018-09-13",11.6
"21","2018-09-14",11.3
"22","2018-09-17",11.2
"23","2018-09-18",10.9
"24","2018-09-19",10.8
"25","2018-09-20",10.81
"26","2018-09-21",10.1
"27","2018-09-24",9.79
"28","2018-09-25",10.65
"29","2018-09-26",10.95
"30","2018-09-27",10.75
"31","2018-09-28",10.65
"32","2018-10-01",10.5
"33","2018-10-02",10.4
"34","2018-10-03",10.35
"35","2018-10-04",10.36
"36","2018-10-05",10.3
"37","2018-10-08",10.35
"38","2018-10-09",10.26
"39","2018-10-10",10.25
"40","2018-10-11",10.2
"41","2018-10-12",10.64
"42","2018-10-15",10.5
"43","2018-10-16",9.9
"44","2018-10-17",10.01
"45","2018-10-18",10.01
"46","2018-10-19",10.01
"47","2018-10-22",10.12
"48","2018-10-23",10.12
"49","2018-10-24",10.12
"50","2018-10-25",9.9
"51","2018-10-26",9.8
"52","2018-10-29",9.45
"53","2018-10-30",9.41
"54","2018-10-31",9.15
"55","2018-11-01",9.15
"56","2018-11-02",9.15
"57","2018-11-05",8.95
"58","2018-11-06",8.9
"59","2018-11-07",9.32
"60","2018-11-08",8.6
"61","2018-11-09",8.65
"62","2018-11-12",8.6
"63","2018-11-13",8.6
"64","2018-11-14",8.45
"65","2018-11-15",8.45
"66","2018-11-16",8.44
"67","2018-11-19",8.22
"68","2018-11-20",8.01
"69","2018-11-21",8.01
"70","2018-11-23",8.69
"71","2018-11-26",8.69
"72","2018-11-27",8.69
"73","2018-11-28",8.85
"74","2018-11-29",8.78
"75","2018-11-30",9
"76","2018-12-03",7.95
"77","2018-12-04",7.96
"78","2018-12-06",7.84
"79","2018-12-07",7.8
"80","2018-12-10",7.89
"81","2018-12-11",7.85
"82","2018-12-12",8.05
"83","2018-12-13",8
"84","2018-12-14",7.96
"85","2018-12-17",7.65
"86","2018-12-18",7.6
"87","2018-12-19",7.06
"88","2018-12-20",6
"89","2018-12-21",6
"90","2018-12-24",6
"91","2018-12-26",6.04
"92","2018-12-27",6.03
"93","2018-12-28",6.61
"94","2018-12-31",7.52
"95","2019-01-02",7.92
"96","2019-01-03",7.53
"97","2019-01-04",7.7
"98","2019-01-07",7.89
"99","2019-01-08",7.58
"100","2019-01-09",7.5
"101","2019-01-10",7.91
"102","2019-01-11",7.3
"103","2019-01-14",7.75
"104","2019-01-15",7.9
"105","2019-01-16",7.84
"106","2019-01-17",8.1
"107","2019-01-18",8.02
"108","2019-01-22",7.96
"109","2019-01-23",7.84
"110","2019-01-24",8.05
"111","2019-01-25",7.77
"112","2019-01-28",7.85
"113","2019-01-29",7.67
"114","2019-01-30",7.66
"115","2019-01-31",7.71
"116","2019-02-01",7.65
"117","2019-02-04",7.81
"118","2019-02-05",7.46
"119","2019-02-06",7.42
"120","2019-02-07",7.4
"121","2019-02-08",7.3
"122","2019-02-11",8.02
"123","2019-02-12",9.72
"124","2019-02-13",9.96
"125","2019-02-14",11
"126","2019-02-15",10.99
"127","2019-02-19",11.3
"128","2019-02-20",11.81
"129","2019-02-21",12.2
"130","2019-02-22",12.14
"131","2019-02-25",12.97
