"","date","DYNT"
"1","2007-01-03",5.7
"2","2007-01-04",5.6
"3","2007-01-05",5.6
"4","2007-01-08",5.55
"5","2007-01-09",5.65
"6","2007-01-10",5.65
"7","2007-01-11",5.8
"8","2007-01-12",5.8
"9","2007-01-16",5.9
"10","2007-01-17",5.75
"11","2007-01-18",5.75
"12","2007-01-19",5.75
"13","2007-01-22",5.9
"14","2007-01-23",6.05
"15","2007-01-24",5.95
"16","2007-01-25",5.9
"17","2007-01-26",5.9
"18","2007-01-29",6.05
"19","2007-01-30",6
"20","2007-01-31",6.15
"21","2007-02-01",6.3
"22","2007-02-02",6.2
"23","2007-02-05",6.15
"24","2007-02-06",6
"25","2007-02-07",5.55
"26","2007-02-08",5.75
"27","2007-02-09",5.75
"28","2007-02-12",5.75
"29","2007-02-13",5.8
"30","2007-02-14",5.75
"31","2007-02-15",5.55
"32","2007-02-16",5.7
"33","2007-02-20",5.7
"34","2007-02-21",5.65
"35","2007-02-22",5.8
"36","2007-02-23",5.6
"37","2007-02-26",5.5
"38","2007-02-27",5.6
"39","2007-02-28",5.45
"40","2007-03-01",5.25
"41","2007-03-02",5.75
"42","2007-03-05",5.7
"43","2007-03-06",5.65
"44","2007-03-07",5.65
"45","2007-03-08",5.3
"46","2007-03-09",5.4
"47","2007-03-12",5.3
"48","2007-03-13",5.5
"49","2007-03-14",5.3
"50","2007-03-15",5.35
"51","2007-03-16",5.35
"52","2007-03-19",5.2
"53","2007-03-20",5.5
"54","2007-03-21",5.4
"55","2007-03-22",5.6
"56","2007-03-23",5.7
"57","2007-03-26",5.5
"58","2007-03-27",5.45
"59","2007-03-28",5.55
"60","2007-03-29",5.4
"61","2007-03-30",5.4
"62","2007-04-02",5.4
"63","2007-04-03",5.4
"64","2007-04-04",5.5
"65","2007-04-05",5.5
"66","2007-04-09",5.5
"67","2007-04-10",5.4
"68","2007-04-11",5.5
"69","2007-04-12",5.6
"70","2007-04-13",5.5
"71","2007-04-16",5.55
"72","2007-04-17",5.7
"73","2007-04-18",5.7
"74","2007-04-19",5.85
"75","2007-04-20",5.7
"76","2007-04-23",5.65
"77","2007-04-24",5.65
"78","2007-04-25",5.75
"79","2007-04-26",5.65
"80","2007-04-27",5.75
"81","2007-04-30",5.85
"82","2007-05-01",5.85
"83","2007-05-02",5.9
"84","2007-05-03",5.85
"85","2007-05-04",5.65
"86","2007-05-07",5.65
"87","2007-05-08",5.55
"88","2007-05-09",5.45
"89","2007-05-10",5.5
"90","2007-05-11",5.6
"91","2007-05-14",5.45
"92","2007-05-15",5.5
"93","2007-05-16",5.45
"94","2007-05-17",5.5
"95","2007-05-18",5.5
"96","2007-05-21",5.5
"97","2007-05-22",5.5
"98","2007-05-23",5.35
"99","2007-05-24",5.35
"100","2007-05-25",5.3
"101","2007-05-29",5.35
"102","2007-05-30",5.35
"103","2007-05-31",5.35
"104","2007-06-01",5.3
"105","2007-06-04",5.25
"106","2007-06-05",5.25
"107","2007-06-06",5.3
"108","2007-06-07",5.25
"109","2007-06-08",5.25
"110","2007-06-11",5.25
"111","2007-06-12",5.1
"112","2007-06-13",5.2
"113","2007-06-14",5.15
"114","2007-06-15",5.15
"115","2007-06-18",5.15
"116","2007-06-19",5.15
"117","2007-06-20",5.3
"118","2007-06-21",5.25
"119","2007-06-22",5.2
"120","2007-06-25",5.35
"121","2007-06-26",5.25
"122","2007-06-27",5.3
"123","2007-06-28",5.3
"124","2007-06-29",5.4
"125","2007-07-02",7.4
"126","2007-07-03",7.65
"127","2007-07-05",7.85
"128","2007-07-06",7.95
