"","date","SMHI"
"1","2017-06-02",20.59
"2","2017-06-05",20.59
"3","2017-06-06",19.67
"4","2017-06-07",17.360001
"5","2017-06-08",17.59
"6","2017-06-09",17.84
"7","2017-06-12",19.1
"8","2017-06-13",19.959999
"9","2017-06-14",19.4
"10","2017-06-15",19.709999
"11","2017-06-16",20.26
"12","2017-06-19",19.74
"13","2017-06-20",18.85
"14","2017-06-21",17.879999
"15","2017-06-22",18.190001
"16","2017-06-23",18.4
"17","2017-06-26",18.58
"18","2017-06-27",18.870001
"19","2017-06-28",19.299999
"20","2017-06-29",19.84
"21","2017-06-30",20.360001
"22","2017-07-03",20.299999
"23","2017-07-05",20.02
"24","2017-07-06",20.17
"25","2017-07-07",18.76
"26","2017-07-10",18.85
"27","2017-07-11",18.99
"28","2017-07-12",19
"29","2017-07-13",18.98
"30","2017-07-14",18.6
"31","2017-07-17",18.6
"32","2017-07-18",18.620001
"33","2017-07-19",18.129999
"34","2017-07-20",17.879999
"35","2017-07-21",17.68
"36","2017-07-24",16.629999
"37","2017-07-25",15.97
"38","2017-07-26",15.27
"39","2017-07-27",15.35
"40","2017-07-28",15
"41","2017-07-31",14.58
"42","2017-08-01",13.99
"43","2017-08-02",14.92
"44","2017-08-03",14.48
"45","2017-08-04",14.38
"46","2017-08-07",14.16
"47","2017-08-08",14.05
"48","2017-08-09",14.13
"49","2017-08-10",14.04
"50","2017-08-11",13.07
"51","2017-08-14",12.26
"52","2017-08-15",12.22
"53","2017-08-16",12.67
"54","2017-08-17",12.08
"55","2017-08-18",12.54
"56","2017-08-21",12.6
"57","2017-08-22",12.12
"58","2017-08-23",12.1
"59","2017-08-24",12.43
"60","2017-08-25",12.97
"61","2017-08-28",12.26
"62","2017-08-29",12.29
"63","2017-08-30",12.46
"64","2017-08-31",12.81
"65","2017-09-01",13.19
"66","2017-09-05",13.69
"67","2017-09-06",12.97
"68","2017-09-07",12.5
"69","2017-09-08",12.13
"70","2017-09-11",12.16
"71","2017-09-12",12.01
"72","2017-09-13",12.01
"73","2017-09-14",12.12
"74","2017-09-15",12.49
"75","2017-09-18",12.61
"76","2017-09-19",12.5
"77","2017-09-20",12.52
"78","2017-09-21",12.32
"79","2017-09-22",12.05
"80","2017-09-25",12.47
"81","2017-09-26",13.34
"82","2017-09-27",14.28
"83","2017-09-28",15.07
"84","2017-09-29",15.64
"85","2017-10-02",15.75
"86","2017-10-03",15.33
"87","2017-10-04",14.71
"88","2017-10-05",14.51
"89","2017-10-06",14.49
"90","2017-10-09",14.18
"91","2017-10-10",14.17
"92","2017-10-11",14.12
"93","2017-10-12",13.67
"94","2017-10-13",14
"95","2017-10-16",13.46
"96","2017-10-17",13.36
"97","2017-10-18",13.38
"98","2017-10-19",12.93
"99","2017-10-20",13.5
"100","2017-10-23",13.4
"101","2017-10-24",13.85
"102","2017-10-25",13.95
"103","2017-10-26",13.68
"104","2017-10-27",13.92
"105","2017-10-30",14.11
"106","2017-10-31",14.15
"107","2017-11-01",14.27
"108","2017-11-02",14.41
"109","2017-11-03",13.99
"110","2017-11-06",14.36
"111","2017-11-07",14.21
"112","2017-11-08",14.02
"113","2017-11-09",13.98
"114","2017-11-10",13.2
"115","2017-11-13",13.75
"116","2017-11-14",12.99
"117","2017-11-15",13.15
"118","2017-11-16",12.66
"119","2017-11-17",12.63
"120","2017-11-20",12.72
"121","2017-11-21",12.34
"122","2017-11-22",12.5
"123","2017-11-24",12.29
"124","2017-11-27",12.17
"125","2017-11-28",12.04
"126","2017-11-29",12.87
"127","2017-11-30",12.25
"128","2017-12-01",12.42
"129","2017-12-04",12.3
"130","2017-12-05",12.18
"131","2017-12-06",12.17
"132","2017-12-07",12.12
"133","2017-12-08",12.23
"134","2017-12-11",12.08
"135","2017-12-12",12.32
"136","2017-12-13",12.28
"137","2017-12-14",12.23
"138","2017-12-15",12.24
"139","2017-12-18",12.4
"140","2017-12-19",12.12
"141","2017-12-20",11.98
"142","2017-12-21",12.56
"143","2017-12-22",12.24
"144","2017-12-26",12.15
