"","date","PATI"
"1","2015-02-02",23
"2","2015-02-03",25
"3","2015-02-04",24
"4","2015-02-05",24.700001
"5","2015-02-06",24.049999
"6","2015-02-09",26.34
"7","2015-02-10",25.5
"8","2015-02-11",25.559999
"9","2015-02-12",25.76
"10","2015-02-13",25.280001
"11","2015-02-17",25.129999
"12","2015-02-18",25.870001
"13","2015-02-19",22.610001
"14","2015-02-20",23.200001
"15","2015-02-23",22.200001
"16","2015-02-24",22
"17","2015-02-25",21.889999
"18","2015-02-26",21.950001
"19","2015-02-27",22.530001
"20","2015-03-02",23.190001
"21","2015-03-03",22.370001
"22","2015-03-04",22.49
"23","2015-03-05",22.5
"24","2015-03-06",21.99
"25","2015-03-09",23.5
"26","2015-03-10",23.4
"27","2015-03-11",23.93
"28","2015-03-12",24.74
"29","2015-03-13",23.860001
"30","2015-03-16",24.780001
"31","2015-03-17",24.82
"32","2015-03-18",24.18
"33","2015-03-19",24.969999
"34","2015-03-20",22.959999
"35","2015-03-23",24.24
"36","2015-03-24",24.030001
"37","2015-03-25",24.219999
"38","2015-03-26",24.209999
"39","2015-03-27",24.959999
"40","2015-03-30",24.75
"41","2015-03-31",24.969999
"42","2015-04-01",24.99
"43","2015-04-02",24.620001
"44","2015-04-06",26.129999
"45","2015-04-07",25.620001
"46","2015-04-08",25.969999
"47","2015-04-09",25.99
"48","2015-04-10",25.99
"49","2015-04-13",26.26
"50","2015-04-14",26.07
"51","2015-04-15",26.059999
"52","2015-04-16",25.950001
"53","2015-04-17",25.959999
"54","2015-04-20",26.120001
"55","2015-04-21",25.950001
"56","2015-04-22",25.99
"57","2015-04-23",25.98
"58","2015-04-24",25.99
"59","2015-04-27",25.99
"60","2015-04-28",25.99
"61","2015-04-29",25.91
"62","2015-04-30",25.809999
"63","2015-05-01",25.16
"64","2015-05-04",25.389999
"65","2015-05-05",25.549999
"66","2015-05-06",25.01
"67","2015-05-07",25.559999
"68","2015-05-08",25.120001
"69","2015-05-11",25.75
"70","2015-05-12",25.559999
"71","2015-05-13",25.695
"72","2015-05-14",25.76
"73","2015-05-15",25.530001
"74","2015-05-18",25.530001
"75","2015-05-19",25.5
"76","2015-05-20",25.93
