"","date","OPY"
"1","2007-01-03",33.990002
"2","2007-01-04",33.299999
"3","2007-01-05",33.240002
"4","2007-01-08",33.610001
"5","2007-01-09",33.290001
"6","2007-01-10",33.16
"7","2007-01-11",34.400002
"8","2007-01-12",35.439999
"9","2007-01-16",36.75
"10","2007-01-17",36.400002
"11","2007-01-18",36.200001
"12","2007-01-19",37.220001
"13","2007-01-22",37.07
"14","2007-01-23",36.59
"15","2007-01-24",36.68
"16","2007-01-25",36.130001
"17","2007-01-26",36.650002
"18","2007-01-29",36.25
"19","2007-01-30",36
"20","2007-01-31",35.900002
"21","2007-02-01",35.490002
"22","2007-02-02",35.389999
"23","2007-02-05",35.259998
"24","2007-02-06",35.560001
"25","2007-02-07",35.32
"26","2007-02-08",34.900002
"27","2007-02-09",35.810001
"28","2007-02-12",36.07
"29","2007-02-13",36.330002
"30","2007-02-14",36.16
"31","2007-02-15",36.02
"32","2007-02-16",36
"33","2007-02-20",35.720001
"34","2007-02-21",35.560001
"35","2007-02-22",35.259998
"36","2007-02-23",34.450001
"37","2007-02-26",35.029999
"38","2007-02-27",34.150002
"39","2007-02-28",33.939999
"40","2007-03-01",33.400002
"41","2007-03-02",32.700001
"42","2007-03-05",32.110001
"43","2007-03-06",32.099998
"44","2007-03-07",32.52
"45","2007-03-08",33.25
"46","2007-03-09",32.970001
"47","2007-03-12",33.150002
"48","2007-03-13",33.369999
"49","2007-03-14",32.650002
"50","2007-03-15",32.580002
"51","2007-03-16",33.150002
"52","2007-03-19",32.759998
"53","2007-03-20",32.880001
"54","2007-03-21",32.599998
"55","2007-03-22",32.41
"56","2007-03-23",32.669998
"57","2007-03-26",32.880001
"58","2007-03-27",32.25
"59","2007-03-28",32.029999
"60","2007-03-29",33.09
"61","2007-03-30",33.220001
"62","2007-04-02",32.740002
"63","2007-04-03",33.150002
"64","2007-04-04",33.16
"65","2007-04-05",33.209999
"66","2007-04-09",34
"67","2007-04-10",34.790001
"68","2007-04-11",35.830002
"69","2007-04-12",37.32
"70","2007-04-13",38.389999
"71","2007-04-16",38.900002
"72","2007-04-17",39.099998
"73","2007-04-18",38.900002
"74","2007-04-19",38.779999
"75","2007-04-20",38.869999
"76","2007-04-23",37.509998
"77","2007-04-24",36.860001
"78","2007-04-25",37.049999
"79","2007-04-26",37.049999
"80","2007-04-27",37.939999
"81","2007-04-30",39
"82","2007-05-01",39.509998
"83","2007-05-02",40
"84","2007-05-03",40.380001
"85","2007-05-04",40.490002
"86","2007-05-07",40.580002
"87","2007-05-08",41.66
"88","2007-05-09",42.360001
"89","2007-05-10",41.59
"90","2007-05-11",42.860001
"91","2007-05-14",41.91
"92","2007-05-15",42.02
"93","2007-05-16",41.830002
"94","2007-05-17",41.950001
"95","2007-05-18",41.849998
"96","2007-05-21",42.220001
"97","2007-05-22",42.849998
"98","2007-05-23",42.900002
"99","2007-05-24",42.400002
