"","date","TCOM"
"1","2007-01-03",8.1975
"2","2007-01-04",8.40125
"3","2007-01-05",8.165
"4","2007-01-08",8.145
"5","2007-01-09",8.1925
"6","2007-01-10",8.1275
"7","2007-01-11",8.06125
"8","2007-01-12",8.09125
"9","2007-01-16",8.21
"10","2007-01-17",8.09625
"11","2007-01-18",7.97125
"12","2007-01-19",8.0275
"13","2007-01-22",8.23125
"14","2007-01-23",8.38875
"15","2007-01-24",8.74375
"16","2007-01-25",8.7225
"17","2007-01-26",8.7375
"18","2007-01-29",9.075
"19","2007-01-30",9.31125
"20","2007-01-31",8.88875
"21","2007-02-01",8.43
"22","2007-02-02",8.57875
"23","2007-02-05",8.65625
"24","2007-02-06",8.72375
"25","2007-02-07",8.705
"26","2007-02-08",8.695
"27","2007-02-09",8.4525
"28","2007-02-12",7.53125
"29","2007-02-13",7.29875
"30","2007-02-14",7.7275
"31","2007-02-15",7.65625
"32","2007-02-16",7.7175
"33","2007-02-20",7.84875
"34","2007-02-21",7.87375
"35","2007-02-22",7.76875
"36","2007-02-23",7.74875
"37","2007-02-26",7.72
"38","2007-02-27",7.33
"39","2007-02-28",7.37625
"40","2007-03-01",7.37375
"41","2007-03-02",7.2225
"42","2007-03-05",6.9925
"43","2007-03-06",7.36875
"44","2007-03-07",7.22625
"45","2007-03-08",7.31875
"46","2007-03-09",7.52625
"47","2007-03-12",7.65
"48","2007-03-13",7.58
"49","2007-03-14",7.78375
"50","2007-03-15",7.845
"51","2007-03-16",8.075
"52","2007-03-19",8.19375
"53","2007-03-20",8.25875
"54","2007-03-21",8.40875
"55","2007-03-22",8.40125
"56","2007-03-23",8.38125
"57","2007-03-26",8.42875
"58","2007-03-27",8.2325
"59","2007-03-28",8.15375
"60","2007-03-29",8.34125
"61","2007-03-30",8.37375
"62","2007-04-02",8.41375
"63","2007-04-03",8.46375
"64","2007-04-04",8.7175
"65","2007-04-05",8.785
"66","2007-04-09",8.74375
"67","2007-04-10",8.66
"68","2007-04-11",8.63625
"69","2007-04-12",8.6025
"70","2007-04-13",8.555
"71","2007-04-16",8.73125
"72","2007-04-17",8.70625
"73","2007-04-18",8.65375
"74","2007-04-19",8.585
"75","2007-04-20",8.46125
"76","2007-04-23",8.49
"77","2007-04-24",8.50375
"78","2007-04-25",8.48625
"79","2007-04-26",8.62625
"80","2007-04-27",8.82875
"81","2007-04-30",8.865
"82","2007-05-01",8.7475
"83","2007-05-02",8.7375
"84","2007-05-03",8.77875
"85","2007-05-04",8.9725
"86","2007-05-07",8.8875
"87","2007-05-08",9.0525
"88","2007-05-09",9.05625
"89","2007-05-10",8.855
"90","2007-05-11",9.075
"91","2007-05-14",9.0125
"92","2007-05-15",8.93625
"93","2007-05-16",9.02625
"94","2007-05-17",9.75875
"95","2007-05-18",9.935
"96","2007-05-21",10.18125
"97","2007-05-22",10.17625
"98","2007-05-23",9.84
"99","2007-05-24",9.505
"100","2007-05-25",9.59
"101","2007-05-29",9.4875
"102","2007-05-30",9.43875
"103","2007-05-31",9.55125
"104","2007-06-01",9.41375
"105","2007-06-04",9.36125
"106","2007-06-05",9.5
"107","2007-06-06",9.3025
"108","2007-06-07",9.1375
"109","2007-06-08",9.21
"110","2007-06-11",9.29125
"111","2007-06-12",9.08625
"112","2007-06-13",9.33125
"113","2007-06-14",9.1375
"114","2007-06-15",9.21
"115","2007-06-18",9.7275
"116","2007-06-19",9.73625
"117","2007-06-20",9.6125
"118","2007-06-21",9.5425
"119","2007-06-22",9.46625
"120","2007-06-25",9.5325
"121","2007-06-26",9.415
"122","2007-06-27",9.49625
"123","2007-06-28",9.50625
"124","2007-06-29",9.82875
"125","2007-07-02",9.855
"126","2007-07-03",10.505
"127","2007-07-05",10.81375
"128","2007-07-06",11.08375
"129","2007-07-09",10.95375
"130","2007-07-10",10.7325
"131","2007-07-11",10.69375
"132","2007-07-12",10.8075
"133","2007-07-13",10.69125
"134","2007-07-16",10.65125
"135","2007-07-17",10.5325
"136","2007-07-18",10.46
