"","date","TBI"
"1","2007-01-03",18.5
"2","2007-01-04",19.059999
"3","2007-01-05",19
"4","2007-01-08",18.75
"5","2007-01-09",18.610001
"6","2007-01-10",19
"7","2007-01-11",19.32
"8","2007-01-12",19.389999
"9","2007-01-16",19.219999
"10","2007-01-17",19.389999
"11","2007-01-18",18.92
"12","2007-01-19",19.32
"13","2007-01-22",19.139999
"14","2007-01-23",18.889999
"15","2007-01-24",18.83
"16","2007-01-25",18.74
"17","2007-01-26",18.5
"18","2007-01-29",18.299999
"19","2007-01-30",18.65
"20","2007-01-31",18.780001
"21","2007-02-01",18.780001
"22","2007-02-02",18.98
"23","2007-02-05",19.32
"24","2007-02-06",18.860001
"25","2007-02-07",18.950001
"26","2007-02-08",19.049999
"27","2007-02-09",18.969999
"28","2007-02-12",18.809999
"29","2007-02-13",18.9
"30","2007-02-14",19.09
"31","2007-02-15",19
"32","2007-02-16",18.959999
"33","2007-02-20",19
"34","2007-02-21",19.15
"35","2007-02-22",19.5
"36","2007-02-23",19.52
"37","2007-02-26",19.290001
"38","2007-02-27",18.34
"39","2007-02-28",18.34
"40","2007-03-01",18.370001
"41","2007-03-02",17.950001
"42","2007-03-05",17.709999
"43","2007-03-06",18.15
"44","2007-03-07",18.26
"45","2007-03-08",18.370001
"46","2007-03-09",18.4
"47","2007-03-12",18.52
"48","2007-03-13",18.15
"49","2007-03-14",18.389999
"50","2007-03-15",18.85
"51","2007-03-16",18.780001
"52","2007-03-19",19
"53","2007-03-20",19.049999
"54","2007-03-21",19.219999
"55","2007-03-22",19.57
"56","2007-03-23",19.41
"57","2007-03-26",18.870001
"58","2007-03-27",18.790001
"59","2007-03-28",18.969999
"60","2007-03-29",18.92
"61","2007-03-30",18.99
"62","2007-04-02",19
"63","2007-04-03",19.139999
"64","2007-04-04",17.85
"65","2007-04-05",17.65
"66","2007-04-09",17.950001
"67","2007-04-10",18.1
"68","2007-04-11",17.93
"69","2007-04-12",18.1
"70","2007-04-13",17.98
"71","2007-04-16",18.6
"72","2007-04-17",18.200001
"73","2007-04-18",18.200001
"74","2007-04-19",21.629999
"75","2007-04-20",21.58
"76","2007-04-23",21.77
"77","2007-04-24",21.66
"78","2007-04-25",22.370001
"79","2007-04-26",22.15
"80","2007-04-27",22.42
