"","date","WOW"
"1","2017-05-25",16.5
"2","2017-05-26",17.549999
"3","2017-05-30",17.77
"4","2017-05-31",18.370001
"5","2017-06-01",18.08
"6","2017-06-02",18
"7","2017-06-05",17.75
"8","2017-06-06",17.15
"9","2017-06-07",16.74
"10","2017-06-08",17.1
"11","2017-06-09",16.91
"12","2017-06-12",16.959999
"13","2017-06-13",17.129999
"14","2017-06-14",17.139999
"15","2017-06-15",17.120001
"16","2017-06-16",17.59
"17","2017-06-19",17.83
"18","2017-06-20",17.34
"19","2017-06-21",17.209999
"20","2017-06-22",17.15
"21","2017-06-23",17.42
"22","2017-06-26",17.360001
"23","2017-06-27",17.49
"24","2017-06-28",17.4
"25","2017-06-29",17.15
"26","2017-06-30",17.4
"27","2017-07-03",17.42
"28","2017-07-05",17.450001
"29","2017-07-06",17.389999
"30","2017-07-07",17.370001
"31","2017-07-10",17.290001
"32","2017-07-11",17.09
"33","2017-07-12",16.959999
"34","2017-07-13",17
"35","2017-07-14",16.799999
"36","2017-07-17",16.719999
"37","2017-07-18",16.360001
"38","2017-07-19",16.67
"39","2017-07-20",16.450001
"40","2017-07-21",16.51
"41","2017-07-24",16.49
"42","2017-07-25",16.26
"43","2017-07-26",16.190001
"44","2017-07-27",16.540001
"45","2017-07-28",17
"46","2017-07-31",17.1
"47","2017-08-01",17.08
"48","2017-08-02",17.02
"49","2017-08-03",17.01
"50","2017-08-04",16.620001
"51","2017-08-07",16.67
"52","2017-08-08",16.549999
"53","2017-08-09",16.65
"54","2017-08-10",16.51
"55","2017-08-11",16.450001
"56","2017-08-14",16.389999
"57","2017-08-15",16.309999
"58","2017-08-16",16.17
"59","2017-08-17",15.5
"60","2017-08-18",15.5
"61","2017-08-21",15.49
"62","2017-08-22",15.67
"63","2017-08-23",16.049999
"64","2017-08-24",15.81
"65","2017-08-25",15.92
"66","2017-08-28",15.58
"67","2017-08-29",15.66
"68","2017-08-30",16
"69","2017-08-31",16.040001
"70","2017-09-01",15.99
"71","2017-09-05",16.08
"72","2017-09-06",16.469999
"73","2017-09-07",15.96
"74","2017-09-08",16.049999
"75","2017-09-11",16.26
"76","2017-09-12",16.389999
"77","2017-09-13",16.379999
"78","2017-09-14",16.389999
"79","2017-09-15",15.72
"80","2017-09-18",15.36
"81","2017-09-19",15.26
"82","2017-09-20",15.17
"83","2017-09-21",15.25
"84","2017-09-22",15.15
"85","2017-09-25",15.03
"86","2017-09-26",15.3
"87","2017-09-27",15.48
"88","2017-09-28",15.13
"89","2017-09-29",15.08
"90","2017-10-02",15.43
"91","2017-10-03",15.18
"92","2017-10-04",15.16
"93","2017-10-05",15.18
"94","2017-10-06",15.16
"95","2017-10-09",15.12
"96","2017-10-10",15.16
"97","2017-10-11",14.88
"98","2017-10-12",14.5
"99","2017-10-13",14.48
"100","2017-10-16",14.29
"101","2017-10-17",14.33
"102","2017-10-18",14.29
"103","2017-10-19",14.24
"104","2017-10-20",14.31
"105","2017-10-23",13.99
"106","2017-10-24",13.8
"107","2017-10-25",13.77
"108","2017-10-26",13.54
"109","2017-10-27",13.11
"110","2017-10-30",12.92
"111","2017-10-31",12.79
"112","2017-11-01",12.87
"113","2017-11-02",12.99
"114","2017-11-03",12.38
"115","2017-11-06",12.48
"116","2017-11-07",12.24
"117","2017-11-08",12.16
"118","2017-11-09",12.11
"119","2017-11-10",11.95
"120","2017-11-13",11.56
"121","2017-11-14",10.22
"122","2017-11-15",10.35
"123","2017-11-16",10.01
"124","2017-11-17",10
"125","2017-11-20",9.99
"126","2017-11-21",9.74
"127","2017-11-22",9.84
"128","2017-11-24",9.61
"129","2017-11-27",9.57
"130","2017-11-28",9.95
"131","2017-11-29",10.07
"132","2017-11-30",10
"133","2017-12-01",9.92
"134","2017-12-04",9.88
"135","2017-12-05",9.68
"136","2017-12-06",9.31
"137","2017-12-07",9.05
"138","2017-12-08",8.85
"139","2017-12-11",8.8
"140","2017-12-12",8.82
"141","2017-12-13",8.76
"142","2017-12-14",9.26
"143","2017-12-15",9.47
"144","2017-12-18",9.77
"145","2017-12-19",9.79
"146","2017-12-20",9.81
"147","2017-12-21",10.43
"148","2017-12-22",10.64
"149","2017-12-26",10.74
"150","2017-12-27",10.7
"151","2017-12-28",10.33
"152","2017-12-29",10.57
"153","2018-01-02",10.62
"154","2018-01-03",10.67
"155","2018-01-04",10.9
"156","2018-01-05",11.16
"157","2018-01-08",11.25
"158","2018-01-09",10.96
"159","2018-01-10",10.25
"160","2018-01-11",10.05
"161","2018-01-12",10.35
"162","2018-01-16",10.29
"163","2018-01-17",10.32
"164","2018-01-18",10.6
"165","2018-01-19",10.48
"166","2018-01-22",10.54
"167","2018-01-23",10.36
"168","2018-01-24",10.09
"169","2018-01-25",10.32
"170","2018-01-26",10.34
"171","2018-01-29",10.18
"172","2018-01-30",10.31
"173","2018-01-31",10.24
"174","2018-02-01",10.29
"175","2018-02-02",10.25
"176","2018-02-05",9.79
"177","2018-02-06",9.71
"178","2018-02-07",9.88
"179","2018-02-08",9.64
"180","2018-02-09",9.64
"181","2018-02-12",9.7
"182","2018-02-13",9.88
"183","2018-02-14",10.26
"184","2018-02-15",10.41
"185","2018-02-16",10.37
"186","2018-02-20",10.33
"187","2018-02-21",10.05
"188","2018-02-22",10.16
"189","2018-02-23",10.45
"190","2018-02-26",10.42
"191","2018-02-27",10.26
"192","2018-02-28",9.66
"193","2018-03-01",9.63
"194","2018-03-02",9.64
"195","2018-03-05",9.77
"196","2018-03-06",9.91
"197","2018-03-07",9.99
