"","date","CPLG"
"1","2018-06-01",27.530001
"2","2018-06-04",27
"3","2018-06-05",26.82
"4","2018-06-06",26.66
"5","2018-06-07",26.059999
"6","2018-06-08",25.950001
"7","2018-06-11",26.23
"8","2018-06-12",25.99
"9","2018-06-13",25.82
"10","2018-06-14",26.190001
"11","2018-06-15",25.889999
"12","2018-06-18",25.5
"13","2018-06-19",25.700001
"14","2018-06-20",26.139999
"15","2018-06-21",26.33
"16","2018-06-22",26.65
"17","2018-06-25",26.23
"18","2018-06-26",26.209999
"19","2018-06-27",25.950001
"20","2018-06-28",25.91
"21","2018-06-29",25.9
"22","2018-07-02",25.459999
"23","2018-07-03",25.75
"24","2018-07-05",26.25
"25","2018-07-06",26.5
"26","2018-07-09",26.59
"27","2018-07-10",26.32
"28","2018-07-11",26.1
"29","2018-07-12",26.299999
"30","2018-07-13",26.27
"31","2018-07-16",26.02
"32","2018-07-17",25.73
"33","2018-07-18",25.43
"34","2018-07-19",25.67
"35","2018-07-20",25.700001
"36","2018-07-23",25.889999
"37","2018-07-24",25.700001
"38","2018-07-25",25.65
"39","2018-07-26",25.67
"40","2018-07-27",25.17
"41","2018-07-30",25
"42","2018-07-31",25.26
"43","2018-08-01",25.5
"44","2018-08-02",25.51
"45","2018-08-03",25.379999
"46","2018-08-06",25.370001
"47","2018-08-07",25.01
"48","2018-08-08",25.299999
"49","2018-08-09",25.34
"50","2018-08-10",25.16
"51","2018-08-13",25.219999
"52","2018-08-14",22.940001
"53","2018-08-15",21.58
"54","2018-08-16",22.030001
"55","2018-08-17",22.48
"56","2018-08-20",22
"57","2018-08-21",21.9
"58","2018-08-22",21.860001
"59","2018-08-23",21.24
"60","2018-08-24",20.84
"61","2018-08-27",20.629999
"62","2018-08-28",20.610001
"63","2018-08-29",21.17
"64","2018-08-30",20.93
"65","2018-08-31",20.85
"66","2018-09-04",20.559999
"67","2018-09-05",20.83
"68","2018-09-06",20.790001
"69","2018-09-07",20.75
"70","2018-09-10",20.43
"71","2018-09-11",20.26
"72","2018-09-12",20.24
"73","2018-09-13",20.49
"74","2018-09-14",20.530001
"75","2018-09-17",20.120001
"76","2018-09-18",20.129999
"77","2018-09-19",20.209999
"78","2018-09-20",20.139999
"79","2018-09-21",20.219999
"80","2018-09-24",19.950001
"81","2018-09-25",19.99
"82","2018-09-26",19.629999
"83","2018-09-27",19.42
"84","2018-09-28",19.450001
"85","2018-10-01",19.35
"86","2018-10-02",18.99
"87","2018-10-03",19.08
"88","2018-10-04",18.799999
"89","2018-10-05",18.68
"90","2018-10-08",18.530001
"91","2018-10-09",18.41
"92","2018-10-10",17.959999
"93","2018-10-11",17.65
"94","2018-10-12",17.559999
"95","2018-10-15",17.01
"96","2018-10-16",17.5
"97","2018-10-17",17.4
"98","2018-10-18",16.889999
"99","2018-10-19",16.799999
"100","2018-10-22",16.790001
"101","2018-10-23",16.620001
"102","2018-10-24",15.86
"103","2018-10-25",16.110001
"104","2018-10-26",16.059999
"105","2018-10-29",15.86
"106","2018-10-30",16.07
"107","2018-10-31",16.370001
"108","2018-11-01",16.790001
"109","2018-11-02",16.870001
"110","2018-11-05",17.559999
"111","2018-11-06",15.97
"112","2018-11-07",16.23
"113","2018-11-08",16.049999
"114","2018-11-09",15.66
"115","2018-11-12",15.16
"116","2018-11-13",14.88
"117","2018-11-14",14.57
"118","2018-11-15",14.27
"119","2018-11-16",14.24
"120","2018-11-19",14.26
"121","2018-11-20",14.02
"122","2018-11-21",14.27
"123","2018-11-23",13.99
"124","2018-11-26",13.84
"125","2018-11-27",13.62
"126","2018-11-28",13.94
"127","2018-11-29",14.15
"128","2018-11-30",14.07
"129","2018-12-03",14.1
"130","2018-12-04",13.46
"131","2018-12-06",13.34
"132","2018-12-07",13.3
"133","2018-12-10",13.21
"134","2018-12-11",13.05
"135","2018-12-12",12.79
"136","2018-12-13",12.43
"137","2018-12-14",11.8
"138","2018-12-17",11.58
"139","2018-12-18",12.16
"140","2018-12-19",12.15
"141","2018-12-20",12
