"","date","CRTX"
"1","2019-05-09",32.889999
"2","2019-05-10",23.860001
"3","2019-05-13",23.9
"4","2019-05-14",24
"5","2019-05-15",25
"6","2019-05-16",25.15
"7","2019-05-17",26
"8","2019-05-20",26.09
"9","2019-05-21",27.32
"10","2019-05-22",27.35
"11","2019-05-23",27.49
"12","2019-05-24",27.360001
"13","2019-05-28",26.860001
"14","2019-05-29",26.27
"15","2019-05-30",26.65
"16","2019-05-31",25.67
"17","2019-06-03",24.129999
"18","2019-06-04",24.6
"19","2019-06-05",24.4
"20","2019-06-06",25.73
"21","2019-06-07",24.969999
"22","2019-06-10",25.6
"23","2019-06-11",26.059999
"24","2019-06-12",27.52
"25","2019-06-13",31.42
"26","2019-06-14",31.41
"27","2019-06-17",38.220001
"28","2019-06-18",42
"29","2019-06-19",40.970001
"30","2019-06-20",36.18
"31","2019-06-21",35.889999
"32","2019-06-24",35.5
"33","2019-06-25",38.049999
"34","2019-06-26",38.610001
"35","2019-06-27",39.799999
"36","2019-06-28",42.509998
"37","2019-07-01",45.279999
"38","2019-07-02",40.310001
"39","2019-07-03",40.07
"40","2019-07-05",37.580002
"41","2019-07-08",37.849998
"42","2019-07-09",40.509998
"43","2019-07-10",40.599998
"44","2019-07-11",41.740002
"45","2019-07-12",41.299999
"46","2019-07-15",41.490002
"47","2019-07-16",38.799999
"48","2019-07-17",40
"49","2019-07-18",41
"50","2019-07-19",41.900002
"51","2019-07-22",41.889999
"52","2019-07-23",41.549999
"53","2019-07-24",41
"54","2019-07-25",41.799999
"55","2019-07-26",35.110001
"56","2019-07-29",36.950001
"57","2019-07-30",34.720001
"58","2019-07-31",35.400002
"59","2019-08-01",35.599998
"60","2019-08-02",33
"61","2019-08-05",29.17
"62","2019-08-06",31.4
"63","2019-08-07",30.74
"64","2019-08-08",27.780001
"65","2019-08-09",27.690001
"66","2019-08-12",29.620001
"67","2019-08-13",29.76
"68","2019-08-14",29.690001
"69","2019-08-15",28.709999
"70","2019-08-16",26.98
"71","2019-08-19",26.15
"72","2019-08-20",25.26
"73","2019-08-21",24.950001
"74","2019-08-22",24.48
"75","2019-08-23",23.780001
"76","2019-08-26",23.540001
"77","2019-08-27",22.690001
"78","2019-08-28",22.16
"79","2019-08-29",22.110001
"80","2019-08-30",19.85
"81","2019-09-03",21.18
"82","2019-09-04",22.25
"83","2019-09-05",23.01
"84","2019-09-06",23.219999
"85","2019-09-09",21.08
"86","2019-09-10",22.120001
"87","2019-09-11",25.41
"88","2019-09-12",28.24
"89","2019-09-13",28.4
"90","2019-09-16",25.620001
"91","2019-09-17",26.530001
"92","2019-09-18",24.190001
"93","2019-09-19",23.99
"94","2019-09-20",26.98
"95","2019-09-23",27.690001
"96","2019-09-24",27.280001
"97","2019-09-25",25.42
"98","2019-09-26",24.6
"99","2019-09-27",24.65
"100","2019-09-30",24.93
"101","2019-10-01",24.459999
"102","2019-10-02",22.790001
"103","2019-10-03",23.18
"104","2019-10-04",23.389999
"105","2019-10-07",23.040001
"106","2019-10-08",23.360001
"107","2019-10-09",22.82
"108","2019-10-10",23.43
"109","2019-10-11",23.469999
"110","2019-10-14",23.58
"111","2019-10-15",23.01
"112","2019-10-16",23.07
"113","2019-10-17",23.17
"114","2019-10-18",21.76
"115","2019-10-21",21.299999
"116","2019-10-22",22.5
"117","2019-10-23",23
"118","2019-10-24",22.51
"119","2019-10-25",21.389999
"120","2019-10-28",21.540001
"121","2019-10-29",21.219999
"122","2019-10-30",20.879999
"123","2019-10-31",20.77
"124","2019-11-01",21.190001
"125","2019-11-04",20.950001
"126","2019-11-05",21.030001
"127","2019-11-06",21.52
"128","2019-11-07",23.24
"129","2019-11-08",24.459999
"130","2019-11-11",23.5
"131","2019-11-12",22.67
"132","2019-11-13",23.15
"133","2019-11-14",23.09
"134","2019-11-15",23.41
"135","2019-11-18",27.559999
"136","2019-11-19",24.82
"137","2019-11-20",25.610001
"138","2019-11-21",25.09
"139","2019-11-22",25.23
"140","2019-11-25",25.950001
"141","2019-11-26",25.870001
"142","2019-11-27",26
"143","2019-11-29",26.25
"144","2019-12-02",28.35
