"","date","PSTL"
"1","2019-05-15",17
"2","2019-05-16",16.9
"3","2019-05-17",16.9
"4","2019-05-20",16.75
"5","2019-05-21",16.790001
"6","2019-05-22",16.74
"7","2019-05-23",16.48
"8","2019-05-24",16.25
"9","2019-05-28",16.24
"10","2019-05-29",15.6
"11","2019-05-30",16
"12","2019-05-31",16.450001
"13","2019-06-03",15.95
"14","2019-06-04",15.89
"15","2019-06-05",14.84
"16","2019-06-06",14.53
"17","2019-06-07",15.82
"18","2019-06-10",16
"19","2019-06-11",15.95
"20","2019-06-12",15.98
"21","2019-06-13",15.72
"22","2019-06-14",15.09
"23","2019-06-17",15.1
"24","2019-06-18",14.8
"25","2019-06-19",15.1
"26","2019-06-20",14.55
"27","2019-06-21",14.84
"28","2019-06-24",14.59
"29","2019-06-25",14.61
"30","2019-06-26",14.52
"31","2019-06-27",15.26
"32","2019-06-28",15.75
"33","2019-07-01",15.71
"34","2019-07-02",15.79
"35","2019-07-03",15.5
"36","2019-07-05",15.77
"37","2019-07-08",15.89
"38","2019-07-09",15.59
"39","2019-07-10",15.73
"40","2019-07-11",15.67
"41","2019-07-12",15.75
"42","2019-07-15",15.75
"43","2019-07-16",15.73
"44","2019-07-17",15.62
"45","2019-07-18",15.59
"46","2019-07-19",15.61
"47","2019-07-22",15.2
"48","2019-07-23",15.14
"49","2019-07-24",15.01
"50","2019-07-25",14.82
"51","2019-07-26",14.74
"52","2019-07-29",14.71
"53","2019-07-30",15.09
"54","2019-07-31",14.85
"55","2019-08-01",14.79
"56","2019-08-02",14.89
"57","2019-08-05",14.25
"58","2019-08-06",14.36
"59","2019-08-07",14.3
"60","2019-08-08",14.7
"61","2019-08-09",14.4
"62","2019-08-12",14.48
"63","2019-08-13",14.49
"64","2019-08-14",14.25
"65","2019-08-15",14.9
"66","2019-08-16",14.93
"67","2019-08-19",15.15
"68","2019-08-20",15.2
"69","2019-08-21",15.16
"70","2019-08-22",15.09
"71","2019-08-23",15.31
"72","2019-08-26",15.2
"73","2019-08-27",14.95
"74","2019-08-28",15.1
"75","2019-08-29",15.16
"76","2019-08-30",15.23
"77","2019-09-03",15.17
"78","2019-09-04",15.2
"79","2019-09-05",15.23
"80","2019-09-06",15.26
"81","2019-09-09",15.2
"82","2019-09-10",15.155
"83","2019-09-11",14.89
"84","2019-09-12",15.06
"85","2019-09-13",14.85
"86","2019-09-16",14.845
"87","2019-09-17",15.13
"88","2019-09-18",15.07
"89","2019-09-19",15.21
"90","2019-09-20",15.25
"91","2019-09-23",15.2
"92","2019-09-24",15.22
"93","2019-09-25",15.3
"94","2019-09-26",15.53
"95","2019-09-27",15.51
"96","2019-09-30",15.84
"97","2019-10-01",15.72
"98","2019-10-02",15.71
"99","2019-10-03",15.64
"100","2019-10-04",15.56
"101","2019-10-07",15.69
"102","2019-10-08",15.66
"103","2019-10-09",15.59
"104","2019-10-10",15.94
"105","2019-10-11",15.98
"106","2019-10-14",16.360001
"107","2019-10-15",16.950001
"108","2019-10-16",17.200001
"109","2019-10-17",16.950001
"110","2019-10-18",17.01
"111","2019-10-21",16.98
"112","2019-10-22",16.91
"113","2019-10-23",16.780001
"114","2019-10-24",16.799999
"115","2019-10-25",16.889999
"116","2019-10-28",16.860001
"117","2019-10-29",16.629999
"118","2019-10-30",16.68
"119","2019-10-31",16.799999
"120","2019-11-01",16.799999
"121","2019-11-04",16.77
"122","2019-11-05",16.299999
"123","2019-11-06",16.459999
"124","2019-11-07",16.59
"125","2019-11-08",16.209999
"126","2019-11-11",16.4
"127","2019-11-12",15.86
"128","2019-11-13",15.8
"129","2019-11-14",16.01
"130","2019-11-15",16
"131","2019-11-18",16.030001
"132","2019-11-19",16.195
"133","2019-11-20",16.25
"134","2019-11-21",16.1
"135","2019-11-22",16.049999
"136","2019-11-25",16.08
"137","2019-11-26",16.049999
"138","2019-11-27",15.91
"139","2019-11-29",15.86
"140","2019-12-02",15.795
"141","2019-12-03",15.61
"142","2019-12-04",15.69
"143","2019-12-05",15.85
"144","2019-12-06",15.74
"145","2019-12-09",15.9
"146","2019-12-10",15.76
"147","2019-12-11",15.94
"148","2019-12-12",15.93
"149","2019-12-13",15.9
"150","2019-12-16",15.8
"151","2019-12-17",15.75
"152","2019-12-18",16.1
"153","2019-12-19",16.280001
"154","2019-12-20",16.6
"155","2019-12-23",16.66
"156","2019-12-24",16.66
"157","2019-12-26",16.58
"158","2019-12-27",17.02
"159","2019-12-30",16.799999
"160","2019-12-31",16.950001
"161","2020-01-02",16.18
"162","2020-01-03",15.96
"163","2020-01-06",16.07
"164","2020-01-07",16.15
"165","2020-01-08",16.6
"166","2020-01-09",16.440001
"167","2020-01-10",16.389999
"168","2020-01-13",16.52
"169","2020-01-14",16.450001
"170","2020-01-15",16.67
"171","2020-01-16",16.85
"172","2020-01-17",16.82
"173","2020-01-21",16.25
"174","2020-01-22",16.4
"175","2020-01-23",16.35
"176","2020-01-24",16.35
"177","2020-01-27",16.280001
"178","2020-01-28",16.35
"179","2020-01-29",16.299999
"180","2020-01-30",16.5
"181","2020-01-31",16.677
"182","2020-02-03",16.57
"183","2020-02-04",16.469999
"184","2020-02-05",16.360001
"185","2020-02-06",16.209999
"186","2020-02-07",15.91
"187","2020-02-10",15.94
"188","2020-02-11",16.049999
"189","2020-02-12",16.24
"190","2020-02-13",16.07
"191","2020-02-14",16.084
"192","2020-02-18",15.82
"193","2020-02-19",15.872
"194","2020-02-20",15.96
"195","2020-02-21",15.64
"196","2020-02-24",15.625
"197","2020-02-25",15.85
"198","2020-02-26",15.8
"199","2020-02-27",15.65
"200","2020-02-28",16.1
"201","2020-03-02",15.76
"202","2020-03-03",15.07
"203","2020-03-04",15.2
"204","2020-03-05",15.4
"205","2020-03-06",15.2
"206","2020-03-09",15.06
"207","2020-03-10",15.06
"208","2020-03-11",14.94
"209","2020-03-12",14.58
"210","2020-03-13",14.54
"211","2020-03-16",13.88
"212","2020-03-17",13.75
"213","2020-03-18",13.87
"214","2020-03-19",13.03
"215","2020-03-20",12
"216","2020-03-23",12.66
"217","2020-03-24",12.27
"218","2020-03-25",13.255
"219","2020-03-26",15.04
"220","2020-03-27",15.74
"221","2020-03-30",15.07
"222","2020-03-31",15.82
"223","2020-04-01",15.69
"224","2020-04-02",15.63
"225","2020-04-03",15.19
"226","2020-04-06",14.86
"227","2020-04-07",15.79
"228","2020-04-08",15.9
"229","2020-04-09",15.89
"230","2020-04-13",15.67
"231","2020-04-14",15.33
"232","2020-04-15",14.53
"233","2020-04-16",14.86
"234","2020-04-17",15.27
"235","2020-04-20",15
"236","2020-04-21",14.93
"237","2020-04-22",14.95
"238","2020-04-23",15.85
"239","2020-04-24",15.77
"240","2020-04-27",15.18
"241","2020-04-28",15.2
"242","2020-04-29",15.75
"243","2020-04-30",15.72
"244","2020-05-01",15.69
"245","2020-05-04",15.9
"246","2020-05-05",16
"247","2020-05-06",16
"248","2020-05-07",16.57
"249","2020-05-08",16.299999
"250","2020-05-11",16.4
"251","2020-05-12",15.15
"252","2020-05-13",14.28
"253","2020-05-14",15.05
"254","2020-05-15",16.1
"255","2020-05-18",16.99
"256","2020-05-19",17.209999
"257","2020-05-20",16.66
"258","2020-05-21",16.389999
"259","2020-05-22",16.5
"260","2020-05-26",16.65
"261","2020-05-27",16.549999
"262","2020-05-28",16.639999
"263","2020-05-29",16.93
"264","2020-06-01",16.1
"265","2020-06-02",16.540001
"266","2020-06-03",16.309999
"267","2020-06-04",16.1
"268","2020-06-05",16.99
"269","2020-06-08",16.5
"270","2020-06-09",16.040001
"271","2020-06-10",15.52
"272","2020-06-11",15.63
"273","2020-06-12",15.95
"274","2020-06-15",15.75
"275","2020-06-16",16.08
"276","2020-06-17",15.93
"277","2020-06-18",15.76
"278","2020-06-19",16.200001
"279","2020-06-22",15.16
"280","2020-06-23",15.2
"281","2020-06-24",14.66
"282","2020-06-25",15.08
"283","2020-06-26",15.04
"284","2020-06-29",15.9
"285","2020-06-30",15.95
"286","2020-07-01",16.200001
"287","2020-07-02",16.190001
"288","2020-07-06",15.48
"289","2020-07-07",14.2
