"","date","PARR"
"1","2012-09-05",0.6
"2","2012-09-06",1.3
"3","2012-09-07",2.2
"4","2012-09-10",2.6
"5","2012-09-11",2.6
"6","2012-09-12",2.6
"7","2012-09-13",4.8
"8","2012-09-14",10
"9","2012-09-17",12.5
"10","2012-09-18",14.2
"11","2012-09-19",14.5
"12","2012-09-20",12.5
"13","2012-09-21",12.5
"14","2012-09-24",12.5
"15","2012-09-25",12.5
"16","2012-09-26",12.5
"17","2012-09-27",10.5
"18","2012-09-28",10.5
"19","2012-10-01",10.5
"20","2012-10-02",10.5
"21","2012-10-03",11.2
"22","2012-10-04",12.5
"23","2012-10-05",12.5
"24","2012-10-08",10.7
"25","2012-10-09",10.7
"26","2012-10-10",11
"27","2012-10-11",11
"28","2012-10-12",10.1
"29","2012-10-15",10.1
"30","2012-10-16",10
"31","2012-10-17",10
"32","2012-10-18",11.5
"33","2012-10-19",12.5
"34","2012-10-22",12.5
"35","2012-10-23",12.5
"36","2012-10-24",12.5
"37","2012-10-25",11.5
"38","2012-10-26",11.9
"39","2012-10-31",11.9
"40","2012-11-01",11.9
"41","2012-11-02",11.9
"42","2012-11-05",11.9
"43","2012-11-06",11.9
"44","2012-11-07",11.9
"45","2012-11-08",11.9
"46","2012-11-09",9.9
"47","2012-11-12",9.9
"48","2012-11-13",9.9
"49","2012-11-14",9.9
"50","2012-11-15",11.3
"51","2012-11-16",11.5
"52","2012-11-19",11.5
"53","2012-11-20",11.3
"54","2012-11-21",11.3
"55","2012-11-23",11.3
"56","2012-11-26",11.1
"57","2012-11-27",11.2
"58","2012-11-28",10.7
"59","2012-11-29",10.7
"60","2012-11-30",11.4
"61","2012-12-03",10
"62","2012-12-04",10
"63","2012-12-05",10
"64","2012-12-06",10.1
"65","2012-12-07",10.5
"66","2012-12-10",10
"67","2012-12-11",10.2
"68","2012-12-12",10.2
"69","2012-12-13",10.2
"70","2012-12-14",12
"71","2012-12-17",12
"72","2012-12-18",12
"73","2012-12-19",12
"74","2012-12-20",12
