"","date","KMI"
"1","2011-02-11",31.049999
"2","2011-02-14",30.700001
"3","2011-02-15",30.940001
"4","2011-02-16",30.719999
"5","2011-02-17",30.549999
"6","2011-02-18",31.370001
"7","2011-02-22",30.719999
"8","2011-02-23",30.42
"9","2011-02-24",30.459999
"10","2011-02-25",30.5
"11","2011-02-28",30.5
"12","2011-03-01",30.450001
"13","2011-03-02",30.57
"14","2011-03-03",30.77
"15","2011-03-04",30.85
"16","2011-03-07",30.9
"17","2011-03-08",30.969999
"18","2011-03-09",30.75
"19","2011-03-10",30.1
"20","2011-03-11",30.1
"21","2011-03-14",29.99
"22","2011-03-15",29.879999
"23","2011-03-16",30.049999
"24","2011-03-17",30.15
"25","2011-03-18",30.5
"26","2011-03-21",30.82
"27","2011-03-22",30.700001
"28","2011-03-23",30.02
"29","2011-03-24",30.049999
"30","2011-03-25",29.52
"31","2011-03-28",29.620001
"32","2011-03-29",29.790001
"33","2011-03-30",29.690001
"34","2011-03-31",29.639999
"35","2011-04-01",29.5
"36","2011-04-04",29.440001
"37","2011-04-05",29.440001
"38","2011-04-06",29.459999
"39","2011-04-07",29.219999
"40","2011-04-08",29.33
"41","2011-04-11",29.25
"42","2011-04-12",28.73
"43","2011-04-13",28.83
"44","2011-04-14",29.120001
"45","2011-04-15",28.879999
"46","2011-04-18",28.52
"47","2011-04-19",28.780001
"48","2011-04-20",29.450001
"49","2011-04-21",29.629999
"50","2011-04-25",29.360001
"51","2011-04-26",29.120001
"52","2011-04-27",28.860001
"53","2011-04-28",28.83
"54","2011-04-29",28.58
"55","2011-05-02",28.82
"56","2011-05-03",28.190001
"57","2011-05-04",27.959999
"58","2011-05-05",27.98
"59","2011-05-06",28
"60","2011-05-09",28.290001
"61","2011-05-10",28.52
"62","2011-05-11",28.309999
"63","2011-05-12",28.450001
"64","2011-05-13",27.93
"65","2011-05-16",27.540001
"66","2011-05-17",27.5
"67","2011-05-18",27.559999
"68","2011-05-19",28.290001
"69","2011-05-20",28.5
"70","2011-05-23",28.33
"71","2011-05-24",29.059999
"72","2011-05-25",29.02
"73","2011-05-26",28.690001
"74","2011-05-27",29.18
"75","2011-05-31",29.290001
"76","2011-06-01",29
"77","2011-06-02",29.379999
"78","2011-06-03",29.75
"79","2011-06-06",29.52
"80","2011-06-07",29.790001
"81","2011-06-08",29.73
"82","2011-06-09",29.690001
"83","2011-06-10",29.530001
"84","2011-06-13",29.450001
"85","2011-06-14",29.5
"86","2011-06-15",29.360001
"87","2011-06-16",29.209999
"88","2011-06-17",29.700001
"89","2011-06-20",29.610001
"90","2011-06-21",29.620001
"91","2011-06-22",29.620001
"92","2011-06-23",29.1
"93","2011-06-24",28.6
"94","2011-06-27",28.26
"95","2011-06-28",28.299999
"96","2011-06-29",28.4
"97","2011-06-30",28.73
"98","2011-07-01",29.27
"99","2011-07-05",29.26
"100","2011-07-06",29.110001
"101","2011-07-07",28.98
"102","2011-07-08",28.92
"103","2011-07-11",28.360001
"104","2011-07-12",28.17
"105","2011-07-13",28.190001
"106","2011-07-14",28.030001
"107","2011-07-15",28.59
"108","2011-07-18",28.190001
"109","2011-07-19",28.35
"110","2011-07-20",28.5
"111","2011-07-21",28.51
"112","2011-07-22",28.360001
"113","2011-07-25",27.5
