"","date","AMN"
"1","2007-01-03",27.5
"2","2007-01-04",27.200001
"3","2007-01-05",26.540001
"4","2007-01-08",26.91
"5","2007-01-09",27.040001
"6","2007-01-10",26.959999
"7","2007-01-11",26.9
"8","2007-01-12",26.559999
"9","2007-01-16",26.59
"10","2007-01-17",27.08
"11","2007-01-18",26.01
"12","2007-01-19",25.950001
"13","2007-01-22",25.52
"14","2007-01-23",26.120001
"15","2007-01-24",26.059999
"16","2007-01-25",25.709999
"17","2007-01-26",25.629999
"18","2007-01-29",25.540001
"19","2007-01-30",25.049999
"20","2007-01-31",25.879999
"21","2007-02-01",26.32
"22","2007-02-02",26.34
"23","2007-02-05",25.440001
"24","2007-02-06",25.559999
"25","2007-02-07",25.360001
"26","2007-02-08",25.719999
"27","2007-02-09",25.52
"28","2007-02-12",26.52
"29","2007-02-13",27.110001
"30","2007-02-14",27.209999
"31","2007-02-15",26.780001
"32","2007-02-16",26.959999
"33","2007-02-20",27.290001
"34","2007-02-21",27.26
"35","2007-02-22",27.48
"36","2007-02-23",28.309999
"37","2007-02-26",28.530001
"38","2007-02-27",27.360001
"39","2007-02-28",27.68
"40","2007-03-01",27.75
"41","2007-03-02",23.57
"42","2007-03-05",22.290001
"43","2007-03-06",22.309999
"44","2007-03-07",21.42
"45","2007-03-08",21.629999
"46","2007-03-09",21.93
"47","2007-03-12",21.17
"48","2007-03-13",21.209999
"49","2007-03-14",22
"50","2007-03-15",23.09
"51","2007-03-16",22.610001
"52","2007-03-19",22.67
"53","2007-03-20",22.83
"54","2007-03-21",23.379999
"55","2007-03-22",23.68
"56","2007-03-23",23.5
"57","2007-03-26",23.110001
"58","2007-03-27",23.15
"59","2007-03-28",22.879999
"60","2007-03-29",22.700001
"61","2007-03-30",22.620001
"62","2007-04-02",22.950001
"63","2007-04-03",23.48
"64","2007-04-04",23.139999
"65","2007-04-05",22.83
"66","2007-04-09",23.540001
"67","2007-04-10",23.620001
"68","2007-04-11",24.26
"69","2007-04-12",24.059999
"70","2007-04-13",24.379999
"71","2007-04-16",24.98
"72","2007-04-17",24.870001
"73","2007-04-18",24.950001
"74","2007-04-19",24.77
"75","2007-04-20",25.02
"76","2007-04-23",24.540001
"77","2007-04-24",24.469999
"78","2007-04-25",24.57
"79","2007-04-26",24.66
"80","2007-04-27",24.709999
"81","2007-04-30",24.35
"82","2007-05-01",22.110001
"83","2007-05-02",22.309999
"84","2007-05-03",22.01
"85","2007-05-04",22.370001
"86","2007-05-07",22.32
"87","2007-05-08",22.540001
"88","2007-05-09",22.459999
"89","2007-05-10",22.540001
"90","2007-05-11",22.469999
"91","2007-05-14",21.959999
"92","2007-05-15",21.59
"93","2007-05-16",21.450001
"94","2007-05-17",21.540001
"95","2007-05-18",21.51
"96","2007-05-21",22.01
"97","2007-05-22",22.059999
"98","2007-05-23",22.209999
"99","2007-05-24",22.73
"100","2007-05-25",22.690001
"101","2007-05-29",22.73
"102","2007-05-30",22.360001
"103","2007-05-31",22.52
"104","2007-06-01",22.950001
"105","2007-06-04",23.07
"106","2007-06-05",22.809999
"107","2007-06-06",22.57
"108","2007-06-07",22.25
"109","2007-06-08",22.450001
"110","2007-06-11",22.360001
"111","2007-06-12",22.27
"112","2007-06-13",22.450001
"113","2007-06-14",22.4
"114","2007-06-15",23.17
"115","2007-06-18",22.68
"116","2007-06-19",22.67
"117","2007-06-20",22.110001
"118","2007-06-21",22.450001
"119","2007-06-22",22.33
"120","2007-06-25",22.41
"121","2007-06-26",22.07
"122","2007-06-27",22.530001
"123","2007-06-28",22.370001
"124","2007-06-29",22
"125","2007-07-02",21.950001
"126","2007-07-03",22
"127","2007-07-05",21.870001
"128","2007-07-06",21.76
"129","2007-07-09",21.6
"130","2007-07-10",21.17
