"","date","BMRN"
"1","2007-01-03",16.1
"2","2007-01-04",16.549999
"3","2007-01-05",16.51
"4","2007-01-08",16.469999
"5","2007-01-09",16.629999
"6","2007-01-10",16.84
"7","2007-01-11",17.34
"8","2007-01-12",17.67
"9","2007-01-16",17.91
"10","2007-01-17",18.16
"11","2007-01-18",17.940001
"12","2007-01-19",18.139999
"13","2007-01-22",17.709999
"14","2007-01-23",17.610001
"15","2007-01-24",18.370001
"16","2007-01-25",18.110001
"17","2007-01-26",18.209999
"18","2007-01-29",19.08
"19","2007-01-30",18.84
"20","2007-01-31",18.940001
"21","2007-02-01",19.040001
"22","2007-02-02",19.33
"23","2007-02-05",19.02
"24","2007-02-06",18.860001
"25","2007-02-07",19.209999
"26","2007-02-08",19.15
"27","2007-02-09",19.41
"28","2007-02-12",19.139999
"29","2007-02-13",19.530001
"30","2007-02-14",20.290001
"31","2007-02-15",20.049999
"32","2007-02-16",20.450001
"33","2007-02-20",18
"34","2007-02-21",18
"35","2007-02-22",18.459999
"36","2007-02-23",18.07
"37","2007-02-26",17.98
"38","2007-02-27",17.110001
"39","2007-02-28",17.030001
"40","2007-03-01",16.620001
"41","2007-03-02",15.96
"42","2007-03-05",15.71
"43","2007-03-06",16.360001
"44","2007-03-07",16.290001
"45","2007-03-08",16.629999
"46","2007-03-09",16.629999
"47","2007-03-12",16.25
"48","2007-03-13",16.07
"49","2007-03-14",16.219999
"50","2007-03-15",16.540001
"51","2007-03-16",16.59
"52","2007-03-19",16.76
"53","2007-03-20",17.129999
"54","2007-03-21",17.58
"55","2007-03-22",17.200001
"56","2007-03-23",17.26
"57","2007-03-26",17.139999
"58","2007-03-27",16.9
"59","2007-03-28",17
"60","2007-03-29",17.4
"61","2007-03-30",17.26
"62","2007-04-02",17.200001
"63","2007-04-03",17.799999
"64","2007-04-04",18.09
"65","2007-04-05",17.889999
"66","2007-04-09",17.67
"67","2007-04-10",17.540001
"68","2007-04-11",17.59
"69","2007-04-12",17.59
"70","2007-04-13",17.700001
"71","2007-04-16",17.83
"72","2007-04-17",16.620001
"73","2007-04-18",16.370001
"74","2007-04-19",16.200001
"75","2007-04-20",16.309999
"76","2007-04-23",16.559999
"77","2007-04-24",16.49
"78","2007-04-25",16.42
"79","2007-04-26",16.469999
"80","2007-04-27",16.219999
"81","2007-04-30",16.16
"82","2007-05-01",16.41
"83","2007-05-02",16.75
"84","2007-05-03",16.76
"85","2007-05-04",16.690001
"86","2007-05-07",16.48
"87","2007-05-08",16.370001
"88","2007-05-09",16.18
"89","2007-05-10",16.889999
"90","2007-05-11",17.120001
"91","2007-05-14",17.280001
"92","2007-05-15",17.09
"93","2007-05-16",18.16
"94","2007-05-17",18.5
"95","2007-05-18",18.57
"96","2007-05-21",18.879999
"97","2007-05-22",18.65
"98","2007-05-23",18.389999
"99","2007-05-24",18.110001
"100","2007-05-25",18.110001
"101","2007-05-29",18.17
"102","2007-05-30",18.07
"103","2007-05-31",17.84
"104","2007-06-01",18.35
"105","2007-06-04",18.459999
"106","2007-06-05",18.1
"107","2007-06-06",17.65
"108","2007-06-07",17.33
"109","2007-06-08",17.379999
"110","2007-06-11",17.42
"111","2007-06-12",17.139999
"112","2007-06-13",17.370001
"113","2007-06-14",17.42
"114","2007-06-15",17.780001
"115","2007-06-18",18.01
"116","2007-06-19",17.91
"117","2007-06-20",17.52
"118","2007-06-21",17.6
"119","2007-06-22",17.77
"120","2007-06-25",17.639999
"121","2007-06-26",17.41
"122","2007-06-27",17.889999
"123","2007-06-28",17.969999
"124","2007-06-29",17.940001
"125","2007-07-02",18.450001
"126","2007-07-03",18.52
"127","2007-07-05",18.280001
"128","2007-07-06",18.040001
"129","2007-07-09",17.959999
"130","2007-07-10",18.120001
"131","2007-07-11",18.889999
"132","2007-07-12",18.719999
"133","2007-07-13",19.18
"134","2007-07-16",18.940001
"135","2007-07-17",18.6
"136","2007-07-18",18.49
"137","2007-07-19",18.5
"138","2007-07-20",18.209999
"139","2007-07-23",18.290001
"140","2007-07-24",18.030001
"141","2007-07-25",18.129999
"142","2007-07-26",18.620001
"143","2007-07-27",18.459999
"144","2007-07-30",18.440001
"145","2007-07-31",18.059999
"146","2007-08-01",17.950001
"147","2007-08-02",18.07
"148","2007-08-03",17.889999
"149","2007-08-06",18.870001
"150","2007-08-07",19.83
"151","2007-08-08",20.98
"152","2007-08-09",21.48
"153","2007-08-10",20.030001
"154","2007-08-13",19.98
"155","2007-08-14",19.620001
"156","2007-08-15",19.82
"157","2007-08-16",20.35
"158","2007-08-17",20.690001
"159","2007-08-20",20.959999
"160","2007-08-21",20.83
"161","2007-08-22",21
"162","2007-08-23",21.65
"163","2007-08-24",21.5
"164","2007-08-27",21.549999
"165","2007-08-28",20.59
"166","2007-08-29",21.299999
"167","2007-08-30",21.09
"168","2007-08-31",21.48
"169","2007-09-04",22
"170","2007-09-05",22.42
"171","2007-09-06",22.440001
"172","2007-09-07",22.52
"173","2007-09-10",22.41
"174","2007-09-11",22.629999
"175","2007-09-12",22.51
"176","2007-09-13",22.620001
"177","2007-09-14",22.75
"178","2007-09-17",22.16
"179","2007-09-18",22.709999
"180","2007-09-19",23.059999
"181","2007-09-20",22.99
"182","2007-09-21",22.99
"183","2007-09-24",23.42
"184","2007-09-25",24.110001
"185","2007-09-26",24.299999
"186","2007-09-27",24.059999
"187","2007-09-28",24.9
"188","2007-10-01",25.219999
"189","2007-10-02",25.469999
"190","2007-10-03",25.040001
"191","2007-10-04",25.09
"192","2007-10-05",25.549999
"193","2007-10-08",26.18
"194","2007-10-09",26.58
"195","2007-10-10",26.73
"196","2007-10-11",26.91
"197","2007-10-12",26.51
"198","2007-10-15",26.370001
"199","2007-10-16",26.1
"200","2007-10-17",26.5
"201","2007-10-18",26
"202","2007-10-19",25.26
