"","date","MFIN"
"1","2007-01-03",12.26
"2","2007-01-04",12.08
"3","2007-01-05",12
"4","2007-01-08",11.81
"5","2007-01-09",11.6
"6","2007-01-10",11.68
"7","2007-01-11",11.56
"8","2007-01-12",11.52
"9","2007-01-16",11.44
"10","2007-01-17",11.25
"11","2007-01-18",11.37
"12","2007-01-19",11.46
"13","2007-01-22",11.28
"14","2007-01-23",11.47
"15","2007-01-24",11.41
"16","2007-01-25",11.3
"17","2007-01-26",11.29
"18","2007-01-29",11.41
"19","2007-01-30",11.26
"20","2007-01-31",11.29
"21","2007-02-01",11.31
"22","2007-02-02",11.35
"23","2007-02-05",11.34
"24","2007-02-06",11.32
"25","2007-02-07",11.32
"26","2007-02-08",11.33
"27","2007-02-09",11.27
"28","2007-02-12",11.19
"29","2007-02-13",11.17
"30","2007-02-14",11.18
"31","2007-02-15",11.21
"32","2007-02-16",11.22
"33","2007-02-20",11.27
"34","2007-02-21",11.25
"35","2007-02-22",11.25
"36","2007-02-23",11.23
"37","2007-02-26",11.27
"38","2007-02-27",11.02
"39","2007-02-28",11.27
"40","2007-03-01",11.09
"41","2007-03-02",10.8
"42","2007-03-05",11.09
"43","2007-03-06",11.08
"44","2007-03-07",10.94
"45","2007-03-08",10.82
"46","2007-03-09",11.23
"47","2007-03-12",11.17
"48","2007-03-13",10.95
"49","2007-03-14",11
"50","2007-03-15",10.99
"51","2007-03-16",11.04
"52","2007-03-19",11.31
"53","2007-03-20",11.7
"54","2007-03-21",12.06
"55","2007-03-22",12.28
"56","2007-03-23",12.34
"57","2007-03-26",12.29
"58","2007-03-27",12.19
"59","2007-03-28",11.99
"60","2007-03-29",11.5
"61","2007-03-30",11.44
"62","2007-04-02",11.23
"63","2007-04-03",11.75
"64","2007-04-04",12.03
"65","2007-04-05",12
"66","2007-04-09",11.6
"67","2007-04-10",11.78
"68","2007-04-11",11.64
"69","2007-04-12",12.06
"70","2007-04-13",12.03
"71","2007-04-16",12.17
"72","2007-04-17",11.94
"73","2007-04-18",11.86
"74","2007-04-19",11.81
"75","2007-04-20",11.97
"76","2007-04-23",11.9
"77","2007-04-24",11.86
"78","2007-04-25",11.96
"79","2007-04-26",12.08
"80","2007-04-27",12.2
"81","2007-04-30",11.91
"82","2007-05-01",12
"83","2007-05-02",12.23
"84","2007-05-03",12.26
"85","2007-05-04",12.33
"86","2007-05-07",12.3
"87","2007-05-08",12.2
"88","2007-05-09",12.22
"89","2007-05-10",12.18
"90","2007-05-11",12.24
"91","2007-05-14",12.43
"92","2007-05-15",12.23
"93","2007-05-16",11.92
"94","2007-05-17",11.85
"95","2007-05-18",11.55
"96","2007-05-21",11.51
"97","2007-05-22",11.48
"98","2007-05-23",11.44
"99","2007-05-24",11.46
"100","2007-05-25",11.36
"101","2007-05-29",11.38
"102","2007-05-30",11.41
"103","2007-05-31",11.43
"104","2007-06-01",11.61
"105","2007-06-04",11.67
"106","2007-06-05",11.45
"107","2007-06-06",11.21
"108","2007-06-07",11.15
"109","2007-06-08",11.42
"110","2007-06-11",11.38
"111","2007-06-12",11.31
"112","2007-06-13",11.57
"113","2007-06-14",11.31
"114","2007-06-15",11.45
"115","2007-06-18",11.66
"116","2007-06-19",11.57
"117","2007-06-20",11.63
"118","2007-06-21",11.74
"119","2007-06-22",11.65
"120","2007-06-25",11.69
"121","2007-06-26",11.75
"122","2007-06-27",11.87
"123","2007-06-28",11.88
"124","2007-06-29",11.83
"125","2007-07-02",11.62
"126","2007-07-03",11.73
"127","2007-07-05",11.69
"128","2007-07-06",11.7
"129","2007-07-09",11.66
"130","2007-07-10",11.52
"131","2007-07-11",11.5
"132","2007-07-12",11.58
"133","2007-07-13",11.44
"134","2007-07-16",11.51
"135","2007-07-17",11.47
"136","2007-07-18",11.28
"137","2007-07-19",11.39
"138","2007-07-20",11.43
"139","2007-07-23",11.62
"140","2007-07-24",11.4
"141","2007-07-25",11.58
"142","2007-07-26",11.6
"143","2007-07-27",11.52
"144","2007-07-30",11.4
"145","2007-07-31",11.49
"146","2007-08-01",11.24
"147","2007-08-02",11.33
"148","2007-08-03",10.95
"149","2007-08-06",11.17
"150","2007-08-07",11.33
"151","2007-08-08",11.74
"152","2007-08-09",11.7
"153","2007-08-10",12
"154","2007-08-13",11.44
"155","2007-08-14",11.42
"156","2007-08-15",11.28
"157","2007-08-16",11.3
"158","2007-08-17",10.97
"159","2007-08-20",11.01
"160","2007-08-21",11
"161","2007-08-22",10.86
"162","2007-08-23",11.02
"163","2007-08-24",10.82
"164","2007-08-27",10.97
"165","2007-08-28",10.76
"166","2007-08-29",10.39
"167","2007-08-30",10.55
"168","2007-08-31",10.99
"169","2007-09-04",10.91
"170","2007-09-05",10.97
"171","2007-09-06",11.01
"172","2007-09-07",10.91
"173","2007-09-10",10.94
"174","2007-09-11",11
"175","2007-09-12",11
"176","2007-09-13",10.9
"177","2007-09-14",10.85
"178","2007-09-17",10.87
"179","2007-09-18",11
"180","2007-09-19",11.12
"181","2007-09-20",10.97
"182","2007-09-21",10.82
"183","2007-09-24",10.69
"184","2007-09-25",10.75
"185","2007-09-26",10.93
"186","2007-09-27",10.95
"187","2007-09-28",10.89
"188","2007-10-01",11
"189","2007-10-02",10.96
"190","2007-10-03",10.96
"191","2007-10-04",10.94
"192","2007-10-05",10.99
"193","2007-10-08",10.99
"194","2007-10-09",10.87
"195","2007-10-10",10.87
"196","2007-10-11",10.94
"197","2007-10-12",10.92
"198","2007-10-15",10.88
"199","2007-10-16",10.82
"200","2007-10-17",10.79
"201","2007-10-18",10.77
"202","2007-10-19",10.74
"203","2007-10-22",10.52
"204","2007-10-23",10.75
"205","2007-10-24",10.75
"206","2007-10-25",10.37
"207","2007-10-26",10.48
"208","2007-10-29",10.64
"209","2007-10-30",10.48
"210","2007-10-31",10.58
"211","2007-11-01",10.36
"212","2007-11-02",10.22
"213","2007-11-05",10.03
"214","2007-11-06",10.04
"215","2007-11-07",10
"216","2007-11-08",10
"217","2007-11-09",9.85
"218","2007-11-12",9.7
"219","2007-11-13",9.86
"220","2007-11-14",10.1
"221","2007-11-15",10.09
"222","2007-11-16",10.11
"223","2007-11-19",9.91
"224","2007-11-20",9.84
"225","2007-11-21",9.84
"226","2007-11-23",10.02
"227","2007-11-26",9.92
"228","2007-11-27",10.01
"229","2007-11-28",10.05
"230","2007-11-29",10.1
"231","2007-11-30",9.81
"232","2007-12-03",10.13
"233","2007-12-04",10.14
"234","2007-12-05",10.04
"235","2007-12-06",10.14
"236","2007-12-07",10.2
"237","2007-12-10",10.16
"238","2007-12-11",10.06
"239","2007-12-12",10.14
"240","2007-12-13",10.08
"241","2007-12-14",10.25
"242","2007-12-17",10.24
"243","2007-12-18",9.9
"244","2007-12-19",10.05
"245","2007-12-20",10.02
"246","2007-12-21",10.12
"247","2007-12-24",10.07
"248","2007-12-26",9.99
"249","2007-12-27",9.94
"250","2007-12-28",10.01
"251","2007-12-31",10.02
"252","2008-01-02",10.16
"253","2008-01-03",10.19
"254","2008-01-04",9.95
"255","2008-01-07",9.99
"256","2008-01-08",10.06
"257","2008-01-09",9.88
"258","2008-01-10",10.01
"259","2008-01-11",9.97
"260","2008-01-14",10.01
"261","2008-01-15",9.98
"262","2008-01-16",9.99
"263","2008-01-17",10
"264","2008-01-18",9.98
"265","2008-01-22",9.76
"266","2008-01-23",10.05
"267","2008-01-24",10.18
"268","2008-01-25",9.98
"269","2008-01-28",10.33
"270","2008-01-29",10.1
"271","2008-01-30",9.93
"272","2008-01-31",9.96
"273","2008-02-01",9.88
"274","2008-02-04",9.94
"275","2008-02-05",9.97
"276","2008-02-06",9.81
"277","2008-02-07",9.82
"278","2008-02-08",9.75
"279","2008-02-11",9.82
"280","2008-02-12",9.88
"281","2008-02-13",9.92
"282","2008-02-14",9.88
"283","2008-02-15",9.98
