"","date","PXS"
"1","2015-11-04",2.729
"2","2015-11-05",3.055
"3","2015-11-06",3.02
"4","2015-11-09",2.787
"5","2015-11-10",2.7
"6","2015-11-11",3
"7","2015-11-12",2.52
"8","2015-11-13",2.79
"9","2015-11-16",2.5
"10","2015-11-17",2.365
"11","2015-11-18",2.63
"12","2015-11-19",2.3
"13","2015-11-20",2.401
"14","2015-11-23",2.3
"15","2015-11-24",2.23
"16","2015-11-25",2.149
"17","2015-11-27",2.1
"18","2015-11-30",2.05
"19","2015-12-01",2.05
"20","2015-12-02",2
"21","2015-12-03",2
"22","2015-12-04",1.8
"23","2015-12-07",1.7
"24","2015-12-08",1.71
"25","2015-12-09",1.7
"26","2015-12-10",2.2
"27","2015-12-11",2.88
"28","2015-12-14",2.01
"29","2015-12-15",2
"30","2015-12-16",1.736
"31","2015-12-17",1.73
"32","2015-12-18",1.75
"33","2015-12-21",1.61
"34","2015-12-22",1.71
"35","2015-12-23",1.72
"36","2015-12-24",1.72
"37","2015-12-28",1.9
"38","2015-12-29",1.7
"39","2015-12-30",1.598
"40","2015-12-31",1.26
"41","2016-01-04",1.25
"42","2016-01-05",1.19
"43","2016-01-06",1.27
"44","2016-01-07",1.32
"45","2016-01-08",0.87
"46","2016-01-11",0.87
"47","2016-01-12",0.68
"48","2016-01-13",0.75
"49","2016-01-14",0.752
"50","2016-01-15",0.99
"51","2016-01-19",0.832
"52","2016-01-20",0.76
"53","2016-01-21",0.65
"54","2016-01-22",0.724
"55","2016-01-25",0.74
"56","2016-01-26",0.735
"57","2016-01-27",0.771
"58","2016-01-28",0.7
"59","2016-01-29",0.82
"60","2016-02-01",0.88
"61","2016-02-02",0.703
"62","2016-02-03",0.703
"63","2016-02-04",0.703
"64","2016-02-05",0.703
"65","2016-02-08",0.88
"66","2016-02-09",0.9
"67","2016-02-10",0.879
"68","2016-02-11",0.95
"69","2016-02-12",0.95
"70","2016-02-16",0.78
"71","2016-02-17",0.95
"72","2016-02-18",0.99
"73","2016-02-19",0.79
"74","2016-02-22",0.98
"75","2016-02-23",0.98
"76","2016-02-24",0.98
"77","2016-02-25",1.03
"78","2016-02-26",1.13
"79","2016-02-29",1.16
"80","2016-03-01",1.19
"81","2016-03-02",1.19
"82","2016-03-03",1.18
"83","2016-03-04",1.159
"84","2016-03-07",1.25
"85","2016-03-08",1.27
"86","2016-03-09",1.323
"87","2016-03-10",1.69
"88","2016-03-11",1.69
"89","2016-03-14",1.9
"90","2016-03-15",1.7
"91","2016-03-16",1.789
"92","2016-03-17",1.79
"93","2016-03-18",1.756
"94","2016-03-21",1.75
"95","2016-03-22",1.831
"96","2016-03-23",1.85
"97","2016-03-24",1.9
"98","2016-03-28",1.997
"99","2016-03-29",1.98
"100","2016-03-30",2.03
"101","2016-03-31",2.03
"102","2016-04-01",2.2
"103","2016-04-04",2.27
"104","2016-04-05",2.26
"105","2016-04-06",2.34
"106","2016-04-07",2.32
"107","2016-04-08",2.39
"108","2016-04-11",2.36
"109","2016-04-12",2.25
"110","2016-04-13",2.19
"111","2016-04-14",2.28
"112","2016-04-15",2.18
"113","2016-04-18",2.13
"114","2016-04-19",2.04
"115","2016-04-20",2.089
"116","2016-04-21",2.014
"117","2016-04-22",2.014
"118","2016-04-25",2.147
"119","2016-04-26",2.15
"120","2016-04-27",2.12
"121","2016-04-28",2.189
"122","2016-04-29",2.121
"123","2016-05-02",2.135
"124","2016-05-03",2.182
"125","2016-05-04",2.228
"126","2016-05-05",2.197
"127","2016-05-06",2.22
"128","2016-05-09",2.122
"129","2016-05-10",2.11
"130","2016-05-11",2.24
"131","2016-05-12",2.27
"132","2016-05-13",2.29
"133","2016-05-16",2.342
"134","2016-05-17",2.36
"135","2016-05-18",2.39
"136","2016-05-19",2.31
"137","2016-05-20",2.31
"138","2016-05-23",2.14
"139","2016-05-24",2.544
"140","2016-05-25",2.63
"141","2016-05-26",2.65
"142","2016-05-27",2.61
"143","2016-05-31",2.708
"144","2016-06-01",2.999
"145","2016-06-02",2.91
"146","2016-06-03",3.01
"147","2016-06-06",3.17
"148","2016-06-07",3.2
"149","2016-06-08",3.33
"150","2016-06-09",3.37
"151","2016-06-10",3.912
"152","2016-06-13",4.04
"153","2016-06-14",3.65
"154","2016-06-15",3.99
"155","2016-06-16",3.486
"156","2016-06-17",3.83
"157","2016-06-20",3.65
"158","2016-06-21",3.73
"159","2016-06-22",3.53
"160","2016-06-23",3.27
"161","2016-06-24",2.8
"162","2016-06-27",2.73
"163","2016-06-28",2.95
"164","2016-06-29",3.06
"165","2016-06-30",3.035
"166","2016-07-01",2.9
"167","2016-07-05",2.95
"168","2016-07-06",2.86
"169","2016-07-07",2.71
"170","2016-07-08",2.91
"171","2016-07-11",2.91
"172","2016-07-12",2.855
"173","2016-07-13",2.89
"174","2016-07-14",3.114
"175","2016-07-15",3.13
"176","2016-07-18",3.31
"177","2016-07-19",3.14
"178","2016-07-20",3.1
"179","2016-07-21",2.97
"180","2016-07-22",3.05
"181","2016-07-25",3.03
"182","2016-07-26",2.999
"183","2016-07-27",3.04
"184","2016-07-28",2.7
"185","2016-07-29",2.748
"186","2016-08-01",2.79
"187","2016-08-02",2.98
"188","2016-08-03",2.68
"189","2016-08-04",2.814
"190","2016-08-05",2.54
"191","2016-08-08",2.28
"192","2016-08-09",2.3
"193","2016-08-10",2.1
"194","2016-08-11",2.18
"195","2016-08-12",2.19
"196","2016-08-15",2.31
"197","2016-08-16",2.342
"198","2016-08-17",2.21
"199","2016-08-18",2.18
"200","2016-08-19",2.2
"201","2016-08-22",2.5
"202","2016-08-23",2.551
"203","2016-08-24",2.61
"204","2016-08-25",2.36
"205","2016-08-26",2.59
"206","2016-08-29",2.504
"207","2016-08-30",2.7
"208","2016-08-31",2.89
"209","2016-09-01",3.118
"210","2016-09-02",3.034
"211","2016-09-06",3
"212","2016-09-07",2.926
"213","2016-09-08",2.9
"214","2016-09-09",3.09
"215","2016-09-12",3.09
"216","2016-09-13",3.1
"217","2016-09-14",3.1
"218","2016-09-15",2.99
"219","2016-09-16",3.08
"220","2016-09-19",3.04
"221","2016-09-20",3
"222","2016-09-21",2.985
"223","2016-09-22",2.91
"224","2016-09-23",3.06
"225","2016-09-26",2.82
"226","2016-09-27",2.818
"227","2016-09-28",2.746
"228","2016-09-29",2.88
"229","2016-09-30",2.88
"230","2016-10-03",2.816
"231","2016-10-04",2.96
"232","2016-10-05",2.7
"233","2016-10-06",2.68
"234","2016-10-07",2.6
"235","2016-10-10",2.6
"236","2016-10-11",2.42
"237","2016-10-12",2.48
"238","2016-10-13",2.48
"239","2016-10-14",2.48
"240","2016-10-17",2.47
"241","2016-10-18",2.43
"242","2016-10-19",2.45
"243","2016-10-20",2.48
"244","2016-10-21",2.48
"245","2016-10-24",2.414
"246","2016-10-25",2.34
"247","2016-10-26",2.34
"248","2016-10-27",2.19
"249","2016-10-28",2.227
"250","2016-10-31",2.07
"251","2016-11-01",2.119
"252","2016-11-02",2.116
"253","2016-11-03",2.15
"254","2016-11-04",2.39
