"","date","PFPT"
"1","2012-04-20",14.08
"2","2012-04-23",13.75
"3","2012-04-24",13.78
"4","2012-04-25",13.82
"5","2012-04-26",13.59
"6","2012-04-27",13.13
"7","2012-04-30",13.1
"8","2012-05-01",13.1
"9","2012-05-02",13.15
"10","2012-05-03",13.18
"11","2012-05-04",13.51
"12","2012-05-07",14.22
"13","2012-05-08",14.49
"14","2012-05-09",13.84
"15","2012-05-10",13.77
"16","2012-05-11",13.59
"17","2012-05-14",13.54
"18","2012-05-15",14.34
"19","2012-05-16",14.09
"20","2012-05-17",13.42
"21","2012-05-18",13.1
"22","2012-05-21",13
"23","2012-05-22",13.07
"24","2012-05-23",12.92
"25","2012-05-24",12.45
"26","2012-05-25",12.58
"27","2012-05-29",13.76
"28","2012-05-30",13.84
"29","2012-05-31",14.27
"30","2012-06-01",12.48
"31","2012-06-04",12.66
"32","2012-06-05",13.17
"33","2012-06-06",14.32
"34","2012-06-07",14.48
"35","2012-06-08",14.71
"36","2012-06-11",14.04
"37","2012-06-12",14.17
"38","2012-06-13",14.56
"39","2012-06-14",14.71
"40","2012-06-15",14.67
"41","2012-06-18",14.6
"42","2012-06-19",15.14
"43","2012-06-20",15.13
"44","2012-06-21",15.4
"45","2012-06-22",15.17
"46","2012-06-25",15.64
"47","2012-06-26",16.35
"48","2012-06-27",17.139999
"49","2012-06-28",16.93
"50","2012-06-29",16.950001
"51","2012-07-02",16.07
"52","2012-07-03",16.5
"53","2012-07-05",16.9
"54","2012-07-06",16.84
"55","2012-07-09",15.95
"56","2012-07-10",15.16
"57","2012-07-11",14.8
"58","2012-07-12",15.28
"59","2012-07-13",15.44
"60","2012-07-16",14.94
"61","2012-07-17",14.71
"62","2012-07-18",15.14
"63","2012-07-19",14.5
"64","2012-07-20",14.25
"65","2012-07-23",13.96
"66","2012-07-24",13.7
"67","2012-07-25",13.82
"68","2012-07-26",14.53
"69","2012-07-27",14.64
"70","2012-07-30",14.48
"71","2012-07-31",13.82
"72","2012-08-01",13.41
"73","2012-08-02",14
"74","2012-08-03",14.58
"75","2012-08-06",14.56
"76","2012-08-07",14.09
"77","2012-08-08",14.29
"78","2012-08-09",14.49
"79","2012-08-10",13.98
"80","2012-08-13",13.25
"81","2012-08-14",13.5
"82","2012-08-15",13.79
"83","2012-08-16",14.16
"84","2012-08-17",14.52
"85","2012-08-20",14.05
"86","2012-08-21",13.73
"87","2012-08-22",13.7
"88","2012-08-23",13.63
"89","2012-08-24",13.42
"90","2012-08-27",13.39
"91","2012-08-28",13.63
"92","2012-08-29",13.64
"93","2012-08-30",13.15
"94","2012-08-31",12.98
"95","2012-09-04",12.44
"96","2012-09-05",12.9
"97","2012-09-06",13.59
"98","2012-09-07",13.68
"99","2012-09-10",13.82
"100","2012-09-11",14.07
"101","2012-09-12",14.74
"102","2012-09-13",15.69
"103","2012-09-14",15.48
"104","2012-09-17",15.5
"105","2012-09-18",15.48
"106","2012-09-19",15.95
"107","2012-09-20",15.32
"108","2012-09-21",14.62
"109","2012-09-24",14.77
"110","2012-09-25",14.56
"111","2012-09-26",14.32
"112","2012-09-27",14.64
"113","2012-09-28",14.85
"114","2012-10-01",13.94
"115","2012-10-02",12.98
"116","2012-10-03",12.71
"117","2012-10-04",13.02
"118","2012-10-05",13.23
"119","2012-10-08",13.23
"120","2012-10-09",12.83
"121","2012-10-10",12.98
"122","2012-10-11",13.49
"123","2012-10-12",14.14
"124","2012-10-15",13.92
"125","2012-10-16",13.88
"126","2012-10-17",13.63
"127","2012-10-18",13.79
"128","2012-10-19",12.51
"129","2012-10-22",12.82
"130","2012-10-23",13.39
"131","2012-10-24",13.36
"132","2012-10-25",13.38
"133","2012-10-26",13.49
"134","2012-10-31",13.21
"135","2012-11-01",13
"136","2012-11-02",12.74
"137","2012-11-05",12.63
"138","2012-11-06",12.33
"139","2012-11-07",11.93
"140","2012-11-08",11.75
"141","2012-11-09",11.06
"142","2012-11-12",10.46
"143","2012-11-13",10.32
"144","2012-11-14",10.05
"145","2012-11-15",10.13
"146","2012-11-16",10.22
"147","2012-11-19",10.15
"148","2012-11-20",10.34
"149","2012-11-21",10.64
"150","2012-11-23",10.89
"151","2012-11-26",11.01
"152","2012-11-27",10.19
"153","2012-11-28",10.63
"154","2012-11-29",10.5
"155","2012-11-30",11
"156","2012-12-03",11.06
"157","2012-12-04",11
"158","2012-12-05",10.53
"159","2012-12-06",10.66
"160","2012-12-07",10.47
"161","2012-12-10",10.51
"162","2012-12-11",10.46
"163","2012-12-12",10.84
"164","2012-12-13",10.72
"165","2012-12-14",10.74
"166","2012-12-17",11.65
"167","2012-12-18",12
"168","2012-12-19",12.04
"169","2012-12-20",12.94
"170","2012-12-21",12.4
"171","2012-12-24",12.5
"172","2012-12-26",12.43
"173","2012-12-27",12.23
"174","2012-12-28",12.37
"175","2012-12-31",12.31
"176","2013-01-02",12.97
"177","2013-01-03",12.57
"178","2013-01-04",13.12
"179","2013-01-07",13.44
"180","2013-01-08",13.27
"181","2013-01-09",13.17
"182","2013-01-10",13.12
"183","2013-01-11",13.23
"184","2013-01-14",13.1
"185","2013-01-15",13.12
"186","2013-01-16",13.03
"187","2013-01-17",13.07
