"","date","CO"
"1","2007-05-09",5.5
"2","2007-05-10",5.5
"3","2007-05-11",5.5
"4","2007-05-14",5.46
"5","2007-05-15",5.46
"6","2007-05-16",5.5
"7","2007-05-17",5.5
"8","2007-05-18",5.5
"9","2007-05-21",5.5
"10","2007-05-22",5.5
"11","2007-05-23",5.5
"12","2007-05-24",5.5
"13","2007-05-25",5.5
"14","2007-05-29",5.49
"15","2007-05-30",5.49
"16","2007-05-31",5.49
"17","2007-06-01",5.55
"18","2007-06-04",5.55
"19","2007-06-05",5.5
"20","2007-06-06",5.49
"21","2007-06-07",5.49
"22","2007-06-08",5.49
"23","2007-06-11",5.49
"24","2007-06-12",5.49
"25","2007-06-13",5.49
"26","2007-06-14",5.5
"27","2007-06-15",5.5
"28","2007-06-18",5.51
"29","2007-06-19",5.51
"30","2007-06-20",5.51
"31","2007-06-21",5.51
"32","2007-06-22",5.51
"33","2007-06-25",5.51
"34","2007-06-26",5.52
"35","2007-06-27",5.52
"36","2007-06-28",5.52
"37","2007-06-29",5.52
"38","2007-07-02",5.52
"39","2007-07-03",5.52
"40","2007-07-05",5.52
"41","2007-07-06",5.53
"42","2007-07-09",5.54
"43","2007-07-10",5.54
"44","2007-07-11",5.54
"45","2007-07-12",5.54
"46","2007-07-13",5.55
"47","2007-07-16",5.55
"48","2007-07-17",5.55
"49","2007-07-18",5.55
"50","2007-07-19",5.56
"51","2007-07-20",5.56
"52","2007-07-23",5.56
"53","2007-07-24",5.56
"54","2007-07-25",5.6
"55","2007-07-26",5.55
"56","2007-07-27",5.54
"57","2007-07-30",5.54
"58","2007-07-31",5.54
"59","2007-08-01",5.54
"60","2007-08-02",5.54
"61","2007-08-03",5.54
"62","2007-08-06",5.54
"63","2007-08-07",5.54
"64","2007-08-08",5.55
"65","2007-08-09",5.55
"66","2007-08-10",5.55
"67","2007-08-13",5.55
"68","2007-08-14",5.55
"69","2007-08-15",5.55
"70","2007-08-16",5.55
"71","2007-08-17",5.54
"72","2007-08-20",5.54
"73","2007-08-21",5.45
"74","2007-08-22",5.42
"75","2007-08-23",5.47
"76","2007-08-24",5.47
"77","2007-08-27",5.45
"78","2007-08-28",5.46
"79","2007-08-29",5.45
"80","2007-08-30",5.45
"81","2007-08-31",5.45
"82","2007-09-04",5.45
"83","2007-09-05",5.45
"84","2007-09-06",5.48
"85","2007-09-07",5.48
"86","2007-09-10",5.46
"87","2007-09-11",5.46
"88","2007-09-12",5.46
"89","2007-09-13",5.46
"90","2007-09-14",5.46
"91","2007-09-17",5.49
"92","2007-09-18",5.49
"93","2007-09-19",5.49
"94","2007-09-20",5.49
"95","2007-09-21",5.49
"96","2007-09-24",5.5
"97","2007-09-25",5.5
"98","2007-09-26",5.5
"99","2007-09-27",5.5
"100","2007-09-28",5.5
"101","2007-10-01",5.5
"102","2007-10-02",5.5
"103","2007-10-03",5.5
"104","2007-10-04",5.5
"105","2007-10-05",5.5
"106","2007-10-08",5.5
"107","2007-10-09",5.5
"108","2007-10-10",5.5
"109","2007-10-11",5.5
"110","2007-10-12",5.5
"111","2007-10-15",5.5
"112","2007-10-16",5.5
"113","2007-10-17",5.5
"114","2007-10-18",5.5
"115","2007-10-19",5.5
"116","2007-10-22",5.53
"117","2007-10-23",5.53
"118","2007-10-24",5.53
"119","2007-10-25",5.53
"120","2007-10-26",5.53
"121","2007-10-29",5.53
"122","2007-10-30",5.53
"123","2007-10-31",5.53
"124","2007-11-01",5.53
"125","2007-11-02",5.53
"126","2007-11-05",5.53
"127","2007-11-06",5.53
"128","2007-11-07",5.53
"129","2007-11-08",5.53
"130","2007-11-09",5.53
"131","2007-11-12",5.53
"132","2007-11-13",5.54
"133","2007-11-14",5.54
"134","2007-11-15",5.55
"135","2007-11-16",5.55
"136","2007-11-19",5.55
"137","2007-11-20",5.55
"138","2007-11-21",5.55
"139","2007-11-23",5.55
"140","2007-11-26",5.55
"141","2007-11-27",5.55
"142","2007-11-28",5.55
"143","2007-11-29",5.55
"144","2007-11-30",5.55
"145","2007-12-03",5.55
"146","2007-12-04",5.55
"147","2007-12-05",5.55
"148","2007-12-06",5.55
"149","2007-12-07",5.55
"150","2007-12-10",5.55
"151","2007-12-11",5.55
"152","2007-12-12",5.55
"153","2007-12-13",5.55
"154","2007-12-14",5.55
"155","2007-12-17",5.55
"156","2007-12-18",5.55
