"","date","MDWD"
"1","2014-03-20",17.27
"2","2014-03-21",18.16
"3","2014-03-24",17.139999
"4","2014-03-25",17.299999
"5","2014-03-26",15.55
"6","2014-03-27",14.48
"7","2014-03-28",15.1
"8","2014-03-31",14.41
"9","2014-04-01",14.13
"10","2014-04-02",14.08
"11","2014-04-03",14.09
"12","2014-04-04",12.8
"13","2014-04-07",11.52
"14","2014-04-08",11.3
"15","2014-04-09",12.16
"16","2014-04-10",11.92
"17","2014-04-11",11.71
"18","2014-04-14",12.19
"19","2014-04-15",11.76
"20","2014-04-16",12.59
"21","2014-04-17",12.84
"22","2014-04-21",12.73
"23","2014-04-22",12.24
"24","2014-04-23",11.52
"25","2014-04-24",10.72
"26","2014-04-25",10.1
"27","2014-04-28",10.14
"28","2014-04-29",10.26
"29","2014-04-30",10.25
"30","2014-05-01",10.12
"31","2014-05-02",10.53
"32","2014-05-05",11.01
"33","2014-05-06",11.09
"34","2014-05-07",11.35
"35","2014-05-08",10.94
"36","2014-05-09",10.8
"37","2014-05-12",10.85
"38","2014-05-13",10.93
"39","2014-05-14",11.03
"40","2014-05-15",10.75
"41","2014-05-16",10.94
"42","2014-05-19",11.41
"43","2014-05-20",11.73
"44","2014-05-21",12.29
"45","2014-05-22",11.99
"46","2014-05-23",12.5
"47","2014-05-27",12.35
"48","2014-05-28",12.26
"49","2014-05-29",12.24
"50","2014-05-30",11.88
"51","2014-06-02",12
"52","2014-06-03",12.21
"53","2014-06-04",12.08
"54","2014-06-05",12.07
"55","2014-06-06",12.15
"56","2014-06-09",12.37
"57","2014-06-10",12.27
"58","2014-06-11",12.39
"59","2014-06-12",12.11
"60","2014-06-13",11.76
"61","2014-06-16",11.52
"62","2014-06-17",11.22
"63","2014-06-18",11.37
"64","2014-06-19",11.04
"65","2014-06-20",10.99
"66","2014-06-23",10.86
"67","2014-06-24",10.905
"68","2014-06-25",10.52
"69","2014-06-26",10.77
"70","2014-06-27",11.01
"71","2014-06-30",11.38
"72","2014-07-01",11.64
"73","2014-07-02",11.46
"74","2014-07-03",11.32
"75","2014-07-07",11.16
"76","2014-07-08",11.36
"77","2014-07-09",11.3
"78","2014-07-10",10.97
"79","2014-07-11",10.3
"80","2014-07-14",9.77
"81","2014-07-15",10.06
"82","2014-07-16",9.88
"83","2014-07-17",9.32
"84","2014-07-18",9.5
"85","2014-07-21",9.42
"86","2014-07-22",9.58
"87","2014-07-23",9.41
"88","2014-07-24",9.47
"89","2014-07-25",9.43
"90","2014-07-28",9.04
"91","2014-07-29",9.11
"92","2014-07-30",9.15
"93","2014-07-31",8.7
"94","2014-08-01",8.1
"95","2014-08-04",8.26
"96","2014-08-05",8.54
"97","2014-08-06",8.49
"98","2014-08-07",8.3
"99","2014-08-08",8.2
"100","2014-08-11",8.24
"101","2014-08-12",8.19
"102","2014-08-13",7.81
"103","2014-08-14",7.42
"104","2014-08-15",7.3
"105","2014-08-18",7.33
"106","2014-08-19",7.32
"107","2014-08-20",7.06
"108","2014-08-21",7.1
"109","2014-08-22",7
"110","2014-08-25",6.81
"111","2014-08-26",7.64
"112","2014-08-27",7.61
"113","2014-08-28",7.3
"114","2014-08-29",7.3
"115","2014-09-02",7.15
"116","2014-09-03",7
"117","2014-09-04",7.06
"118","2014-09-05",7.1
"119","2014-09-08",6.75
"120","2014-09-09",6.78
"121","2014-09-10",6.85
"122","2014-09-11",7.33
"123","2014-09-12",7.18
"124","2014-09-15",6.96
"125","2014-09-16",7.06
"126","2014-09-17",7.06
"127","2014-09-18",6.95
"128","2014-09-19",6.92
"129","2014-09-22",6.91
"130","2014-09-23",6.64
"131","2014-09-24",6.53
"132","2014-09-25",6.29
"133","2014-09-26",6.17
"134","2014-09-29",6.01
"135","2014-09-30",6.3
"136","2014-10-01",6.3
"137","2014-10-02",6.15
"138","2014-10-03",6.12
"139","2014-10-06",6.23
"140","2014-10-07",6.13
"141","2014-10-08",6.11
"142","2014-10-09",5.51
"143","2014-10-10",5.52
"144","2014-10-13",5.51
"145","2014-10-14",5.36
"146","2014-10-15",5.17
"147","2014-10-16",5.06
"148","2014-10-17",5.27
"149","2014-10-20",5.6
"150","2014-10-21",6.23
"151","2014-10-22",6.07
"152","2014-10-23",5.95
"153","2014-10-24",6.43
"154","2014-10-27",6.26
"155","2014-10-28",5.95
"156","2014-10-29",5.91
"157","2014-10-30",5.91
"158","2014-10-31",5.9
"159","2014-11-03",5.92
"160","2014-11-04",5.56
"161","2014-11-05",5.2
"162","2014-11-06",4.95
"163","2014-11-07",5
"164","2014-11-10",4.88
"165","2014-11-11",5.04
"166","2014-11-12",5.26
"167","2014-11-13",5.74
"168","2014-11-14",5.84
"169","2014-11-17",5.79
"170","2014-11-18",5.96
"171","2014-11-19",5.78
"172","2014-11-20",5.69
"173","2014-11-21",5.33
"174","2014-11-24",5.38
"175","2014-11-25",5.49
"176","2014-11-26",5.64
"177","2014-11-28",5.92
