"","date","OMP"
"1","2017-09-21",16.75
"2","2017-09-22",16.75
"3","2017-09-25",16.9
"4","2017-09-26",16.91
"5","2017-09-27",16.940001
"6","2017-09-28",16.99
"7","2017-09-29",16.959999
"8","2017-10-02",17
"9","2017-10-03",17.07
"10","2017-10-04",17.030001
"11","2017-10-05",17.24
"12","2017-10-06",17.24
"13","2017-10-09",17.41
"14","2017-10-10",17.65
"15","2017-10-11",17.700001
"16","2017-10-12",17.705
"17","2017-10-13",17.98
"18","2017-10-16",17.77
"19","2017-10-17",17.18
"20","2017-10-18",16.67
"21","2017-10-19",16.4
"22","2017-10-20",16.700001
"23","2017-10-23",16.85
"24","2017-10-24",16.76
"25","2017-10-25",16.33
"26","2017-10-26",16.360001
"27","2017-10-27",16.559999
"28","2017-10-30",17
"29","2017-10-31",16.620001
"30","2017-11-01",16.950001
"31","2017-11-02",17.049999
"32","2017-11-03",16.77
"33","2017-11-06",17.110001
"34","2017-11-07",17.120001
"35","2017-11-08",17.77
"36","2017-11-09",17.360001
"37","2017-11-10",17.02
"38","2017-11-13",16.690001
"39","2017-11-14",16.709999
"40","2017-11-15",16.58
"41","2017-11-16",16.59
"42","2017-11-17",17.41
"43","2017-11-20",17.75
"44","2017-11-21",18.4
"45","2017-11-22",18.4
"46","2017-11-24",18.65
"47","2017-11-27",18.280001
"48","2017-11-28",17.6
"49","2017-11-29",17.870001
"50","2017-11-30",18.120001
"51","2017-12-01",17.959999
"52","2017-12-04",17.959999
"53","2017-12-05",18.49
"54","2017-12-06",18
"55","2017-12-07",18.129999
"56","2017-12-08",18.1
"57","2017-12-11",18.200001
"58","2017-12-12",18.42
"59","2017-12-13",18.389999
"60","2017-12-14",18.5
"61","2017-12-15",18.299999
"62","2017-12-18",18.35
"63","2017-12-19",18
"64","2017-12-20",17.799999
"65","2017-12-21",17.59
"66","2017-12-22",17.49
"67","2017-12-26",17.4
"68","2017-12-27",17.299999
"69","2017-12-28",17.16
"70","2017-12-29",17.440001
"71","2018-01-02",17.280001
"72","2018-01-03",17.530001
"73","2018-01-04",17.790001
"74","2018-01-05",18
"75","2018-01-08",18.35
"76","2018-01-09",18.35
"77","2018-01-10",18.35
"78","2018-01-11",18.42
"79","2018-01-12",18.469999
"80","2018-01-16",18.75
"81","2018-01-17",18.799999
"82","2018-01-18",19.15
"83","2018-01-19",19.1
"84","2018-01-22",18.790001
"85","2018-01-23",19.059999
"86","2018-01-24",19.18
"87","2018-01-25",19.040001
"88","2018-01-26",18.969999
"89","2018-01-29",19.190001
"90","2018-01-30",18.93
"91","2018-01-31",19.49
"92","2018-02-01",19.35
"93","2018-02-02",19.24
"94","2018-02-05",18.9
"95","2018-02-06",18.639999
"96","2018-02-07",17.950001
