"","date","SRRA"
"1","2015-07-16",49280
"2","2015-07-17",48000
"3","2015-07-20",48080
"4","2015-07-21",47680
"5","2015-07-22",48016
"6","2015-07-23",47424
"7","2015-07-24",47104
"8","2015-07-27",41648
"9","2015-07-28",42896
"10","2015-07-29",41728
"11","2015-07-30",40992
"12","2015-07-31",43840
"13","2015-08-03",45664
"14","2015-08-04",46800
"15","2015-08-05",46336
"16","2015-08-06",46448
"17","2015-08-07",45696
"18","2015-08-10",40016
"19","2015-08-11",40192
"20","2015-08-12",40608
"21","2015-08-13",39920
"22","2015-08-14",40608
"23","2015-08-17",43920
"24","2015-08-18",46240
"25","2015-08-19",46144
"26","2015-08-20",46320
"27","2015-08-21",44704
"28","2015-08-24",43008
"29","2015-08-25",41408
"30","2015-08-26",43856
"31","2015-08-27",45312
"32","2015-08-28",48064
"33","2015-08-31",46320
"34","2015-09-01",46112
"35","2015-09-02",48816
"36","2015-09-03",50112
"37","2015-09-04",48480
"38","2015-09-08",48880
"39","2015-09-09",48960
"40","2015-09-10",49168
"41","2015-09-11",49264
"42","2015-09-14",49472
"43","2015-09-15",49120
"44","2015-09-16",48896
"45","2015-09-17",48800
"46","2015-09-18",48128
"47","2015-09-21",48320
"48","2015-09-22",45296
"49","2015-09-23",45936
"50","2015-09-24",44448
"51","2015-09-25",40928
"52","2015-09-28",36400
"53","2015-09-29",32640
"54","2015-09-30",32832
"55","2015-10-01",28088
"56","2015-10-02",28304
"57","2015-10-05",27632
"58","2015-10-06",28000
"59","2015-10-07",30320
"60","2015-10-08",29312
"61","2015-10-09",28480
"62","2015-10-12",26832
"63","2015-10-13",28128
"64","2015-10-14",27552
"65","2015-10-15",29744
"66","2015-10-16",28672
"67","2015-10-19",28160
"68","2015-10-20",27600
"69","2015-10-21",27728
"70","2015-10-22",28240
"71","2015-10-23",27248
"72","2015-10-26",26880
"73","2015-10-27",27040
"74","2015-10-28",25888
"75","2015-10-29",26928
"76","2015-10-30",27456
"77","2015-11-02",28400
"78","2015-11-03",28928
"79","2015-11-04",31520
"80","2015-11-05",27936
"81","2015-11-06",29632
"82","2015-11-09",31152
"83","2015-11-10",30640
"84","2015-11-11",31200
"85","2015-11-12",28752
"86","2015-11-13",28400
"87","2015-11-16",27056
"88","2015-11-17",27376
"89","2015-11-18",28512
"90","2015-11-19",28032
"91","2015-11-20",28176
"92","2015-11-23",29008
"93","2015-11-24",29056
"94","2015-11-25",29984
"95","2015-11-27",29296
"96","2015-11-30",30704
"97","2015-12-01",29328
"98","2015-12-02",27840
"99","2015-12-03",27040
"100","2015-12-04",26976
"101","2015-12-07",26512
"102","2015-12-08",24576
"103","2015-12-09",23120
"104","2015-12-10",23632
"105","2015-12-11",23104
"106","2015-12-14",22640
"107","2015-12-15",22400
"108","2015-12-16",23328
"109","2015-12-17",23552
"110","2015-12-18",23328
"111","2015-12-21",23568
"112","2015-12-22",23696
"113","2015-12-23",24048
"114","2015-12-24",23584
"115","2015-12-28",23296
"116","2015-12-29",22400
"117","2015-12-30",22000
"118","2015-12-31",24064
"119","2016-01-04",21536
"120","2016-01-05",21680
"121","2016-01-06",20832
"122","2016-01-07",20080
"123","2016-01-08",19344
"124","2016-01-11",19632
"125","2016-01-12",18224
"126","2016-01-13",16976
"127","2016-01-14",17584
"128","2016-01-15",15728
"129","2016-01-19",15824
"130","2016-01-20",15632
"131","2016-01-21",15248
"132","2016-01-22",15360
"133","2016-01-25",15072
"134","2016-01-26",16112
