"","date","STLD"
"1","2007-01-03",15.755
"2","2007-01-04",15.845
"3","2007-01-05",15.87
"4","2007-01-08",16.129999
"5","2007-01-09",16.07
"6","2007-01-10",16.285
"7","2007-01-11",16.375
"8","2007-01-12",16.525
"9","2007-01-16",16.455
"10","2007-01-17",16.565001
"11","2007-01-18",16.379999
"12","2007-01-19",16.684999
"13","2007-01-22",16.695
"14","2007-01-23",17.455
"15","2007-01-24",17.879999
"16","2007-01-25",18.764999
"17","2007-01-26",18.540001
"18","2007-01-29",19.375
"19","2007-01-30",19.66
"20","2007-01-31",19.605
"21","2007-02-01",19.84
"22","2007-02-02",19.594999
"23","2007-02-05",19.15
"24","2007-02-06",19.35
"25","2007-02-07",19.219999
"26","2007-02-08",19.115
"27","2007-02-09",18.780001
"28","2007-02-12",18.965
"29","2007-02-13",19.66
"30","2007-02-14",19.5
"31","2007-02-15",19.870001
"32","2007-02-16",20.02
"33","2007-02-20",19.635
"34","2007-02-21",20.299999
"35","2007-02-22",20.07
"36","2007-02-23",20.065001
"37","2007-02-26",20.07
"38","2007-02-27",18.605
"39","2007-02-28",18.870001
"40","2007-03-01",18.805
"41","2007-03-02",18.155001
"42","2007-03-05",17.5
"43","2007-03-06",18.360001
"44","2007-03-07",18.41
"45","2007-03-08",19.120001
"46","2007-03-09",19.389999
"47","2007-03-12",19.504999
"48","2007-03-13",18.950001
"49","2007-03-14",19.674999
"50","2007-03-15",19.82
"51","2007-03-16",19.495001
"52","2007-03-19",20.059999
"53","2007-03-20",20.09
"54","2007-03-21",20.815001
"55","2007-03-22",20.525
"56","2007-03-23",20.674999
"57","2007-03-26",21.110001
"58","2007-03-27",20.77
"59","2007-03-28",20.365
"60","2007-03-29",21.35
"61","2007-03-30",21.6
"62","2007-04-02",21.615
"63","2007-04-03",21.645
"64","2007-04-04",21.625
"65","2007-04-05",21.885
"66","2007-04-09",21.855
"67","2007-04-10",21.85
"68","2007-04-11",21.655001
"69","2007-04-12",21.834999
"70","2007-04-13",22.385
"71","2007-04-16",22.985001
"72","2007-04-17",22.66
"73","2007-04-18",22.299999
"74","2007-04-19",22.41
"75","2007-04-20",22.549999
"76","2007-04-23",23
"77","2007-04-24",22.495001
"78","2007-04-25",23.32
"79","2007-04-26",22.92
"80","2007-04-27",22.575001
"81","2007-04-30",22.155001
"82","2007-05-01",22.105
"83","2007-05-02",22.445
"84","2007-05-03",22.73
"85","2007-05-04",22.450001
"86","2007-05-07",22.485001
"87","2007-05-08",24.084999
"88","2007-05-09",24.34
"89","2007-05-10",23.75
"90","2007-05-11",24.075001
"91","2007-05-14",24
"92","2007-05-15",23.99
"93","2007-05-16",24.1
"94","2007-05-17",23.780001
"95","2007-05-18",24.18
"96","2007-05-21",24.385
"97","2007-05-22",23.57
"98","2007-05-23",23.5
"99","2007-05-24",22.879999
"100","2007-05-25",23.495001
"101","2007-05-29",23.15
"102","2007-05-30",23.725
"103","2007-05-31",23.450001
"104","2007-06-01",24.245001
"105","2007-06-04",24
"106","2007-06-05",23.85
"107","2007-06-06",23.365
"108","2007-06-07",22.395
"109","2007-06-08",22.879999
"110","2007-06-11",21.725
"111","2007-06-12",20.915001
"112","2007-06-13",20.995001
"113","2007-06-14",21.665001
"114","2007-06-15",21.605
"115","2007-06-18",21.52
"116","2007-06-19",21.705
"117","2007-06-20",21.485001
"118","2007-06-21",21.209999
"119","2007-06-22",20.905001
"120","2007-06-25",20.52
"121","2007-06-26",20.17
"122","2007-06-27",20.445
