"","date","AZRX"
"1","2016-10-11",4.98
"2","2016-10-12",5.48
"3","2016-10-13",5.15
"4","2016-10-14",5.26
"5","2016-10-17",5.01
"6","2016-10-18",4.97
"7","2016-10-19",4.95
"8","2016-10-20",5
"9","2016-10-21",4.98
"10","2016-10-24",5
"11","2016-10-25",4.98
"12","2016-10-26",5
"13","2016-10-27",5
"14","2016-10-28",4.95
"15","2016-10-31",5.07
"16","2016-11-01",5.04
"17","2016-11-02",5
"18","2016-11-03",5
"19","2016-11-04",4.75
"20","2016-11-07",4.88
"21","2016-11-08",4.97
"22","2016-11-09",4.75
"23","2016-11-10",4.74
"24","2016-11-11",4.54
"25","2016-11-14",4.63
"26","2016-11-15",4.63
"27","2016-11-16",4.625
"28","2016-11-17",4.65
"29","2016-11-18",4.68
"30","2016-11-21",4.3
"31","2016-11-22",4.29
"32","2016-11-23",4.15
"33","2016-11-25",4.46
"34","2016-11-28",4.1
"35","2016-11-29",4.01
"36","2016-11-30",4.2
"37","2016-12-01",4.095
"38","2016-12-02",4.11
"39","2016-12-05",4.25
"40","2016-12-06",4.355
"41","2016-12-07",4.429
"42","2016-12-08",4.59
"43","2016-12-09",4.55
"44","2016-12-12",4.5
"45","2016-12-13",4.52
"46","2016-12-14",4.51
"47","2016-12-15",4.4
"48","2016-12-16",3.96
"49","2016-12-19",4.03
"50","2016-12-20",4
"51","2016-12-21",4.192
"52","2016-12-22",4.25
"53","2016-12-23",4.09
"54","2016-12-27",4.05
"55","2016-12-28",4.04
"56","2016-12-29",4.35
"57","2016-12-30",4.74
"58","2017-01-03",4.25
"59","2017-01-04",4.25
"60","2017-01-05",4.65
"61","2017-01-06",4.7
"62","2017-01-09",4.963
"63","2017-01-10",4.99
"64","2017-01-11",4.71
"65","2017-01-12",4.4
"66","2017-01-13",4.63
"67","2017-01-17",4.35
"68","2017-01-18",4.32
"69","2017-01-19",4.32
"70","2017-01-20",4.56
"71","2017-01-23",4.35
"72","2017-01-24",4.353
"73","2017-01-25",4.45
"74","2017-01-26",4.65
"75","2017-01-27",4.75
"76","2017-01-30",4.5
"77","2017-01-31",4.38
"78","2017-02-01",4.483
"79","2017-02-02",4.44
"80","2017-02-03",4.48
"81","2017-02-06",4.25
"82","2017-02-07",4
"83","2017-02-08",4
"84","2017-02-09",4.048
"85","2017-02-10",4.05
"86","2017-02-13",4.05
"87","2017-02-14",4.236
"88","2017-02-15",4.09
"89","2017-02-16",4.1
"90","2017-02-17",4.14
"91","2017-02-21",4.14
"92","2017-02-22",4.01
"93","2017-02-23",4.04
"94","2017-02-24",4.19
"95","2017-02-27",4.29
"96","2017-02-28",4.15
"97","2017-03-01",4.12
"98","2017-03-02",4.08
"99","2017-03-03",4.08
"100","2017-03-06",4.14
"101","2017-03-07",4.17
"102","2017-03-08",4.12
"103","2017-03-09",4.01
"104","2017-03-10",4.09
"105","2017-03-13",4.087
"106","2017-03-14",3.72
"107","2017-03-15",3.86
"108","2017-03-16",3.81
"109","2017-03-17",3.777
"110","2017-03-20",3.79
"111","2017-03-21",3.64
"112","2017-03-22",3.6
"113","2017-03-23",3.567
"114","2017-03-24",3.63
"115","2017-03-27",3.8
"116","2017-03-28",4.01
"117","2017-03-29",3.9
"118","2017-03-30",3.9
"119","2017-03-31",3.859
"120","2017-04-03",3.768
"121","2017-04-04",3.97
"122","2017-04-05",3.98
"123","2017-04-06",3.95
"124","2017-04-07",3.946
"125","2017-04-10",3.85
"126","2017-04-11",3.973
"127","2017-04-12",4.02
"128","2017-04-13",3.73
"129","2017-04-17",4.1
"130","2017-04-18",4
"131","2017-04-19",4
"132","2017-04-20",3.97
"133","2017-04-21",4
"134","2017-04-24",3.84
"135","2017-04-25",3.51
"136","2017-04-26",3.55
"137","2017-04-27",3.51
"138","2017-04-28",3.9
"139","2017-05-01",3.6
"140","2017-05-02",3.9
"141","2017-05-03",3.75
"142","2017-05-04",3.58
"143","2017-05-05",3.53
"144","2017-05-08",3.69
"145","2017-05-09",3.69
"146","2017-05-10",3.42
"147","2017-05-11",3.42
"148","2017-05-12",3.53
"149","2017-05-15",3.63
"150","2017-05-16",3.65
"151","2017-05-17",3.465
"152","2017-05-18",3.48
"153","2017-05-19",3.6
"154","2017-05-22",3.63
"155","2017-05-23",3.59
"156","2017-05-24",3.67
"157","2017-05-25",3.75
"158","2017-05-26",3.74
"159","2017-05-30",3.7
"160","2017-05-31",3.51
"161","2017-06-01",3.58
"162","2017-06-02",3.77
"163","2017-06-05",3.72
"164","2017-06-06",3.66
"165","2017-06-07",3.62
"166","2017-06-08",4.04
"167","2017-06-09",3.99
"168","2017-06-12",3.77
"169","2017-06-13",3.79
"170","2017-06-14",3.62
"171","2017-06-15",3.62
"172","2017-06-16",3.46
"173","2017-06-19",3.55
"174","2017-06-20",3.54
"175","2017-06-21",3.61
"176","2017-06-22",3.58
"177","2017-06-23",3.9
"178","2017-06-26",3.79
"179","2017-06-27",4
"180","2017-06-28",4.03
"181","2017-06-29",3.96
"182","2017-06-30",4.02
"183","2017-07-03",3.92
"184","2017-07-05",3.84
"185","2017-07-06",3.8
"186","2017-07-07",3.68
"187","2017-07-10",3.62
"188","2017-07-11",3.47
"189","2017-07-12",3.56
"190","2017-07-13",3.5
"191","2017-07-14",3.62
"192","2017-07-17",3.54
"193","2017-07-18",3.27
"194","2017-07-19",3.25
"195","2017-07-20",3.44
"196","2017-07-21",3.8
"197","2017-07-24",4.11
