"","date","RETO"
"1","2017-11-29",10.57
"2","2017-11-30",10.1
"3","2017-12-01",8.56
"4","2017-12-04",11.24
"5","2017-12-05",10
"6","2017-12-06",8.33
"7","2017-12-07",7.455
"8","2017-12-08",7.74
"9","2017-12-11",7.26
"10","2017-12-12",8
"11","2017-12-13",8.45
"12","2017-12-14",8.6
"13","2017-12-15",9.3
"14","2017-12-18",9.9
"15","2017-12-19",9.86
"16","2017-12-20",9.73
"17","2017-12-21",8.56
"18","2017-12-22",8.34
"19","2017-12-26",8.54
"20","2017-12-27",7.01
"21","2017-12-28",6.06
"22","2017-12-29",7.05
"23","2018-01-02",7.11
"24","2018-01-03",7.58
"25","2018-01-04",8.33
"26","2018-01-05",8.58
"27","2018-01-08",8.74
"28","2018-01-09",8.73
"29","2018-01-10",8.43
"30","2018-01-11",9.05
"31","2018-01-12",8
"32","2018-01-16",8.06
"33","2018-01-17",9.04
"34","2018-01-18",10.07
"35","2018-01-19",11.13
"36","2018-01-22",10.77
"37","2018-01-23",10.54
"38","2018-01-24",9.7
"39","2018-01-25",8.96
"40","2018-01-26",8.96
"41","2018-01-29",9.24
"42","2018-01-30",9.61
"43","2018-01-31",9.46
"44","2018-02-01",9.09
"45","2018-02-02",9.37
"46","2018-02-05",10.19
"47","2018-02-06",10.1
"48","2018-02-07",8.62
"49","2018-02-08",8.01
"50","2018-02-09",7.96
"51","2018-02-12",7.57
"52","2018-02-13",7.49
"53","2018-02-14",7.02
"54","2018-02-15",7.22
"55","2018-02-16",8.58
"56","2018-02-20",8.64
"57","2018-02-21",9.31
"58","2018-02-22",9.15
"59","2018-02-23",10.15
"60","2018-02-26",9.58
"61","2018-02-27",8.67
"62","2018-02-28",8.59
"63","2018-03-01",7.94
"64","2018-03-02",7.98
"65","2018-03-05",7.95
"66","2018-03-06",8.12
"67","2018-03-07",7.98
"68","2018-03-08",7.85
"69","2018-03-09",7.96
"70","2018-03-12",8.32
"71","2018-03-13",8.45
"72","2018-03-14",8.16
"73","2018-03-15",7.69
"74","2018-03-16",7.6
"75","2018-03-19",8.49
"76","2018-03-20",9.71
"77","2018-03-21",9.375
"78","2018-03-22",8.5
"79","2018-03-23",8.65
"80","2018-03-26",8.69
"81","2018-03-27",9.01
"82","2018-03-28",9.01
"83","2018-03-29",8.7
"84","2018-04-02",8.62
"85","2018-04-03",8.41
"86","2018-04-04",8.14
"87","2018-04-05",8.15
"88","2018-04-06",8.18
"89","2018-04-09",8.3
"90","2018-04-10",8.27
"91","2018-04-11",7.94
"92","2018-04-12",7.37
"93","2018-04-13",7.42
"94","2018-04-16",7.565
"95","2018-04-17",7.57
"96","2018-04-18",7.57
"97","2018-04-19",6.88
"98","2018-04-20",6.26
"99","2018-04-23",6.01
"100","2018-04-24",5.51
"101","2018-04-25",5.59
"102","2018-04-26",5.25
"103","2018-04-27",5.3
"104","2018-04-30",5.56
"105","2018-05-01",5.23
"106","2018-05-02",5.33
"107","2018-05-03",5.48
"108","2018-05-04",5.39
"109","2018-05-07",5.69
"110","2018-05-08",5.44
"111","2018-05-09",5.16
"112","2018-05-10",5.01
"113","2018-05-11",4.98
"114","2018-05-14",5
"115","2018-05-15",5
"116","2018-05-16",5.01
"117","2018-05-17",4.96
"118","2018-05-18",4.98
"119","2018-05-21",5.04
"120","2018-05-22",5.01
"121","2018-05-23",5.08
"122","2018-05-24",5.02
"123","2018-05-25",5.01
"124","2018-05-29",5.16
"125","2018-05-30",5.23
"126","2018-05-31",5.26
"127","2018-06-01",5.17
"128","2018-06-04",5.12
"129","2018-06-05",5.11
"130","2018-06-06",4.99
"131","2018-06-07",4.86
"132","2018-06-08",4.76
"133","2018-06-11",5.07
"134","2018-06-12",5
"135","2018-06-13",5
"136","2018-06-14",4.96
"137","2018-06-15",5.18
