"","date","ETN"
"1","2007-01-03",37.595001
"2","2007-01-04",37.630001
"3","2007-01-05",37.310001
"4","2007-01-08",37.290001
"5","2007-01-09",37.110001
"6","2007-01-10",37.125
"7","2007-01-11",37.139999
"8","2007-01-12",37.259998
"9","2007-01-16",37.575001
"10","2007-01-17",38.415001
"11","2007-01-18",38.169998
"12","2007-01-19",38.825001
"13","2007-01-22",36.900002
"14","2007-01-23",38.035
"15","2007-01-24",37.955002
"16","2007-01-25",37.494999
"17","2007-01-26",37.825001
"18","2007-01-29",38.125
"19","2007-01-30",38.48
"20","2007-01-31",39.174999
"21","2007-02-01",39.174999
"22","2007-02-02",39.310001
"23","2007-02-05",39.41
"24","2007-02-06",39.055
"25","2007-02-07",39.27
"26","2007-02-08",38.91
"27","2007-02-09",38.715
"28","2007-02-12",38.610001
"29","2007-02-13",39.014999
"30","2007-02-14",39.615002
"31","2007-02-15",39.955002
"32","2007-02-16",39.740002
"33","2007-02-20",39.825001
"34","2007-02-21",40.389999
"35","2007-02-22",41.674999
"36","2007-02-23",42.02
"37","2007-02-26",41.705002
"38","2007-02-27",40.005001
"39","2007-02-28",40.5
"40","2007-03-01",40.505001
"41","2007-03-02",39.865002
"42","2007-03-05",39.689999
"43","2007-03-06",40.445
"44","2007-03-07",40.435001
"45","2007-03-08",40.785
"46","2007-03-09",41.514999
"47","2007-03-12",41.285
"48","2007-03-13",40.619999
"49","2007-03-14",41.294998
"50","2007-03-15",41.075001
"51","2007-03-16",41.259998
"52","2007-03-19",41.955002
"53","2007-03-20",41.794998
"54","2007-03-21",42.174999
"55","2007-03-22",42.490002
"56","2007-03-23",42.764999
"57","2007-03-26",42.544998
"58","2007-03-27",42.02
"59","2007-03-28",41.924999
"60","2007-03-29",41.465
"61","2007-03-30",41.779999
"62","2007-04-02",41.924999
"63","2007-04-03",42.375
"64","2007-04-04",42.43
"65","2007-04-05",42.720001
"66","2007-04-09",42.755001
"67","2007-04-10",42.465
"68","2007-04-11",42.049999
"69","2007-04-12",42.424999
"70","2007-04-13",42.580002
"71","2007-04-16",43.75
"72","2007-04-17",43.400002
"73","2007-04-18",43.25
"74","2007-04-19",43.099998
"75","2007-04-20",43.535
"76","2007-04-23",43.924999
"77","2007-04-24",44.040001
"78","2007-04-25",44.200001
