"","date","UFPI"
"218","2007-11-12",10.653334
"219","2007-11-13",10.906667
"220","2007-11-14",10.936666
"221","2007-11-15",10.616667
"222","2007-11-16",10.5
"223","2007-11-19",10.03
"224","2007-11-20",9.916667
"225","2007-11-21",9.5
"226","2007-11-23",9.92
"227","2007-11-26",9.5
"228","2007-11-27",9.613334
"229","2007-11-28",9.716666
"230","2007-11-29",9.406667
"231","2007-11-30",9.536667
"232","2007-12-03",9.536667
"233","2007-12-04",9.453333
"234","2007-12-05",9.653334
"235","2007-12-06",10.353333
"236","2007-12-07",10.223333
"237","2007-12-10",10.573334
"238","2007-12-11",10.066667
"239","2007-12-12",10.386666
"240","2007-12-13",10.063334
"241","2007-12-14",9.583333
"242","2007-12-17",9.67
"243","2007-12-18",10.083333
"244","2007-12-19",10.11
"245","2007-12-20",10.416667
"246","2007-12-21",10.676666
"247","2007-12-24",10.896667
"248","2007-12-26",10.513333
"249","2007-12-27",9.99
"250","2007-12-28",10.003333
"251","2007-12-31",9.82
"252","2008-01-02",9.92
"253","2008-01-03",9.453333
"254","2008-01-04",9.243333
"255","2008-01-07",9.436666
"256","2008-01-08",9.096666
"257","2008-01-09",9.036667
"258","2008-01-10",9.083333
"259","2008-01-11",8.866667
"260","2008-01-14",9.173333
"261","2008-01-15",8.916667
"262","2008-01-16",9.42
"263","2008-01-17",9.273334
"264","2008-01-18",9.416667
"265","2008-01-22",9.776667
"266","2008-01-23",10.72
"267","2008-01-24",10.366667
"268","2008-01-25",10.256667
"269","2008-01-28",10.583333
"270","2008-01-29",11.403334
"271","2008-01-30",11.146667
"272","2008-01-31",12.066667
"273","2008-02-01",12.45
"274","2008-02-04",11.876667
"275","2008-02-05",11.25
"276","2008-02-06",10.753333
"277","2008-02-07",9.693334
"278","2008-02-08",9.293333
"279","2008-02-11",9.29
"280","2008-02-12",9.293333
"281","2008-02-13",9.443334
"282","2008-02-14",9.163333
"283","2008-02-15",9.18
"284","2008-02-19",9.366667
"285","2008-02-20",9.673333
"286","2008-02-21",9.543333
"287","2008-02-22",9.406667
"288","2008-02-25",9.716666
"289","2008-02-26",9.93
"290","2008-02-27",9.743333
"291","2008-02-28",9.586667
"292","2008-02-29",9.26
"293","2008-03-03",9.386666
"294","2008-03-04",9.393333
"295","2008-03-05",9.41
"296","2008-03-06",9.22
"297","2008-03-07",9.246667
"298","2008-03-10",8.93
"299","2008-03-11",9.423333
"300","2008-03-12",9.186666
"301","2008-03-13",9.603333
"302","2008-03-14",9.183333
"303","2008-03-17",9.256667
"304","2008-03-18",9.8
"305","2008-03-19",9.703333
"306","2008-03-20",10.22
"307","2008-03-24",10.686666
"308","2008-03-25",10.76
"309","2008-03-26",10.71
"310","2008-03-27",10.456667
"311","2008-03-28",10.383333
"312","2008-03-31",10.733334
"313","2008-04-01",11.193334
"314","2008-04-02",11.466666
"315","2008-04-03",11.3
"316","2008-04-04",11.006667
"317","2008-04-07",11.203333
"318","2008-04-08",11.206667
"319","2008-04-09",10.976666
"320","2008-04-10",10.706667
"321","2008-04-11",10.45
"322","2008-04-14",10.266666
"323","2008-04-15",10.113334
"324","2008-04-16",9.936666
"325","2008-04-17",10.643333
"326","2008-04-18",11.113334
"327","2008-04-21",11.933333
"328","2008-04-22",11.343333
"329","2008-04-23",11.183333
"330","2008-04-24",11.503333
"331","2008-04-25",11.666667
"332","2008-04-28",11.733334
"333","2008-04-29",11.863334
"334","2008-04-30",11.57
"335","2008-05-01",11.556666
"336","2008-05-02",11.46
"337","2008-05-05",11.51
"338","2008-05-06",11.486667
"339","2008-05-07",11.203333
"340","2008-05-08",11.266666
"341","2008-05-09",11.466666
"342","2008-05-12",11.533334
"343","2008-05-13",11.533334
"344","2008-05-14",11.433333
"345","2008-05-15",11.52
"346","2008-05-16",11.513333
"347","2008-05-19",11.456667
"348","2008-05-20",11.353333
"349","2008-05-21",11.17
"350","2008-05-22",11.36
"351","2008-05-23",11.166667
"352","2008-05-27",11.32
"353","2008-05-28",11.243333
"354","2008-05-29",11.35
"355","2008-05-30",11.31
"356","2008-06-02",10.916667
"357","2008-06-03",10.896667
"358","2008-06-04",11.066667
"359","2008-06-05",11.29
"360","2008-06-06",10.876667
"361","2008-06-09",10.623333
"362","2008-06-10",10.806666
"363","2008-06-11",10.48
"364","2008-06-12",10.576667
"365","2008-06-13",10.836667
"366","2008-06-16",10.936666
"367","2008-06-17",10.656667
"368","2008-06-18",10.436666
"369","2008-06-19",10.743333
"370","2008-06-20",10.633333
"371","2008-06-23",10.483334
"372","2008-06-24",10.52
"373","2008-06-25",10.636666
"374","2008-06-26",10.543333
"375","2008-06-27",10.353333
"376","2008-06-30",9.986667
"377","2008-07-01",9.763333
"378","2008-07-02",9.336667
"379","2008-07-03",9.146667
"380","2008-07-07",8.646667
"381","2008-07-08",8.586667
"382","2008-07-09",8.276667
"383","2008-07-10",8.23
"384","2008-07-11",8.346666
"385","2008-07-14",8.3
"386","2008-07-15",8.01
"387","2008-07-16",8.593333
"388","2008-07-17",8.276667
"389","2008-07-18",8.26
"390","2008-07-21",8.056666
"391","2008-07-22",8.533334
"392","2008-07-23",8.803333
"393","2008-07-24",8.46
"394","2008-07-25",8.646667
"395","2008-07-28",8.45
"396","2008-07-29",8.83
"397","2008-07-30",9.016666
"398","2008-07-31",9
"399","2008-08-01",9.15
"400","2008-08-04",8.906667
"401","2008-08-05",9.226666
"402","2008-08-06",9.363334
"403","2008-08-07",9.456667
"404","2008-08-08",10.233334
"405","2008-08-11",10.723333
"406","2008-08-12",10.883333
"407","2008-08-13",10.78
"408","2008-08-14",11.08
"409","2008-08-15",11.173333
"410","2008-08-18",11.05
"411","2008-08-19",11.006667
"412","2008-08-20",11.17
"413","2008-08-21",10.87
"414","2008-08-22",11.26
"415","2008-08-25",10.84
"416","2008-08-26",11.043333
"417","2008-08-27",11.133333
"418","2008-08-28",11.173333
"419","2008-08-29",10.95
"420","2008-09-02",11.153334
"421","2008-09-03",11.75
"422","2008-09-04",11.196667
"423","2008-09-05",10.416667
"424","2008-09-08",11.073334
"425","2008-09-09",10.77
"426","2008-09-10",11.336667
"427","2008-09-11",11.366667
"428","2008-09-12",11.933333
"429","2008-09-15",11.746667
"430","2008-09-16",11.693334
"431","2008-09-17",11.26
"432","2008-09-18",12.15
