"","date","HMN"
"1","2007-01-03",20.48
"2","2007-01-04",20.709999
"3","2007-01-05",19.82
"4","2007-01-08",19.85
"5","2007-01-09",20
"6","2007-01-10",19.92
"7","2007-01-11",20.129999
"8","2007-01-12",20.129999
"9","2007-01-16",20.02
"10","2007-01-17",20.030001
"11","2007-01-18",19.620001
"12","2007-01-19",19.92
"13","2007-01-22",19.75
"14","2007-01-23",19.74
"15","2007-01-24",20.1
"16","2007-01-25",19.360001
"17","2007-01-26",19.77
"18","2007-01-29",19.940001
"19","2007-01-30",20.08
"20","2007-01-31",19.83
"21","2007-02-01",19.99
"22","2007-02-02",20.059999
"23","2007-02-05",19.91
"24","2007-02-06",19.98
"25","2007-02-07",21.690001
"26","2007-02-08",21.16
"27","2007-02-09",20.940001
"28","2007-02-12",21.18
"29","2007-02-13",21.48
"30","2007-02-14",21.43
"31","2007-02-15",21.290001
"32","2007-02-16",21.18
"33","2007-02-20",21.530001
"34","2007-02-21",21.18
"35","2007-02-22",21.450001
"36","2007-02-23",21.190001
"37","2007-02-26",21.040001
"38","2007-02-27",20.309999
"39","2007-02-28",20.24
"40","2007-03-01",20.26
"41","2007-03-02",20.110001
"42","2007-03-05",19.58
"43","2007-03-06",20.23
"44","2007-03-07",20.049999
"45","2007-03-08",20.25
"46","2007-03-09",20.309999
"47","2007-03-12",20.49
"48","2007-03-13",19.83
"49","2007-03-14",20.110001
"50","2007-03-15",20.25
"51","2007-03-16",20.059999
"52","2007-03-19",20.290001
"53","2007-03-20",20.440001
"54","2007-03-21",20.83
"55","2007-03-22",20.709999
"56","2007-03-23",20.700001
"57","2007-03-26",20.91
"58","2007-03-27",20.67
"59","2007-03-28",20.450001
"60","2007-03-29",20.66
"61","2007-03-30",20.549999
"62","2007-04-02",20.879999
"63","2007-04-03",21.24
"64","2007-04-04",20.82
"65","2007-04-05",20.629999
"66","2007-04-09",20.57
"67","2007-04-10",20.59
"68","2007-04-11",20.870001
"69","2007-04-12",21.08
"70","2007-04-13",21.120001
"71","2007-04-16",21.459999
