"","date","AMCR"
"1","2012-05-15",7.7
"2","2012-05-16",7.7
"3","2012-05-17",7.7
"4","2012-05-18",7.7
"5","2012-05-21",7.7
"6","2012-05-22",7.7
"7","2012-05-23",7.7
"8","2012-05-24",7.7
"9","2012-05-25",7.7
"10","2012-05-29",7.7
"11","2012-05-30",7.7
"12","2012-05-31",7.7
"13","2012-06-01",7.7
"14","2012-06-04",7.7
"15","2012-06-05",7.7
"16","2012-06-06",7.7
"17","2012-06-07",7.4
"18","2012-06-08",7.4
"19","2012-06-11",7.4
"20","2012-06-12",7.4
"21","2012-06-13",7.4
"22","2012-06-14",7.4
"23","2012-06-15",7.4
"24","2012-06-18",7.4
"25","2012-06-19",7.4
"26","2012-06-20",7.4
"27","2012-06-21",7.4
"28","2012-06-22",7.4
"29","2012-06-25",7.4
"30","2012-06-26",7.4
"31","2012-06-27",7.4
"32","2012-06-28",7.4
"33","2012-06-29",7.4
"34","2012-07-02",7.4
"35","2012-07-03",7.4
"36","2012-07-05",7.4
"37","2012-07-06",7.4
"38","2012-07-09",7.4
"39","2012-07-10",7.4
"40","2012-07-11",7.4
"41","2012-07-12",7.4
"42","2012-07-13",7.4
"43","2012-07-16",7.4
"44","2012-07-17",7.4
"45","2012-07-18",7.4
"46","2012-07-19",7.4
"47","2012-07-20",7.4
"48","2012-07-23",7.4
"49","2012-07-24",7.4
"50","2012-07-25",7.4
"51","2012-07-26",7.4
"52","2012-07-27",7.4
"53","2012-07-30",7.4
"54","2012-07-31",7.4
"55","2012-08-01",7.4
"56","2012-08-02",7.4
"57","2012-08-03",7.4
"58","2012-08-06",7.4
"59","2012-08-07",7.4
"60","2012-08-08",7.4
"61","2012-08-09",7.4
"62","2012-08-10",7.4
"63","2012-08-13",7.4
"64","2012-08-14",7.4
"65","2012-08-15",7.4
"66","2012-08-16",7.4
"67","2012-08-17",7.8
"68","2012-08-20",7.8
"69","2012-08-21",7.8
"70","2012-08-22",7.8
"71","2012-08-23",7.74
"72","2012-08-24",7.74
"73","2012-08-27",7.74
"74","2012-08-28",7.55
"75","2012-08-29",7.55
"76","2012-08-30",7.55
"77","2012-08-31",7.55
"78","2012-09-04",7.55
"79","2012-09-05",7.55
"80","2012-09-06",7.55
"81","2012-09-07",7.55
"82","2012-09-10",7.55
"83","2012-09-11",7.55
"84","2012-09-12",7.55
"85","2012-09-13",7.55
"86","2012-09-14",7.55
"87","2012-09-17",7.55
"88","2012-09-18",7.55
"89","2012-09-19",7.55
"90","2012-09-20",7.55
"91","2012-09-21",7.55
"92","2012-09-24",7.55
"93","2012-09-25",7.55
"94","2012-09-26",7.55
"95","2012-09-27",7.55
"96","2012-09-28",7.55
"97","2012-10-01",7.55
"98","2012-10-02",7.55
"99","2012-10-03",7.55
"100","2012-10-04",7.55
"101","2012-10-05",7.55
"102","2012-10-08",7.55
"103","2012-10-09",7.55
"104","2012-10-10",7.55
"105","2012-10-11",7.55
"106","2012-10-12",7.55
"107","2012-10-15",7.95
"108","2012-10-16",7.95
"109","2012-10-17",7.95
"110","2012-10-18",7.95
"111","2012-10-19",7.95
"112","2012-10-22",7.95
"113","2012-10-23",7.95
"114","2012-10-24",7.95
"115","2012-10-25",7.95
"116","2012-10-26",7.95
"117","2012-10-31",7.95
"118","2012-11-01",7.9
"119","2012-11-02",7.9
"120","2012-11-05",7.9
"121","2012-11-06",7.9
"122","2012-11-07",7.9
"123","2012-11-08",7.9
"124","2012-11-09",7.9
"125","2012-11-12",7.9
"126","2012-11-13",7.9
"127","2012-11-14",7.9
"128","2012-11-15",7.9
"129","2012-11-16",7.9
"130","2012-11-19",7.9
"131","2012-11-20",7.9
"132","2012-11-21",7.9
"133","2012-11-23",7.9
"134","2012-11-26",7.9
"135","2012-11-27",8.16
"136","2012-11-28",8.16
"137","2012-11-29",8.16
"138","2012-11-30",8.2
"139","2012-12-03",8.2
"140","2012-12-04",8.2
"141","2012-12-05",8.2
"142","2012-12-06",8.2
"143","2012-12-07",8.2
"144","2012-12-10",8.2
"145","2012-12-11",8.2
"146","2012-12-12",8.2
"147","2012-12-13",8.2
"148","2012-12-14",8.2
"149","2012-12-17",8.2
"150","2012-12-18",8.37
"151","2012-12-19",8.37
"152","2012-12-20",8.37
"153","2012-12-21",8.37
"154","2012-12-24",8.37
"155","2012-12-26",8.37
"156","2012-12-27",8.37
"157","2012-12-28",8.37
"158","2012-12-31",8.37
"159","2013-01-02",8.37
"160","2013-01-03",8.37
"161","2013-01-04",8.37
"162","2013-01-07",8.66
"163","2013-01-08",8.66
"164","2013-01-09",8.66
"165","2013-01-10",8.66
"166","2013-01-11",8.66
"167","2013-01-14",8.66
"168","2013-01-15",9.07
"169","2013-01-16",9.15
"170","2013-01-17",9.15
"171","2013-01-18",9.15
"172","2013-01-22",9.15
"173","2013-01-23",8.84
"174","2013-01-24",8.84
"175","2013-01-25",8.76
"176","2013-01-28",8.73
"177","2013-01-29",8.87
"178","2013-01-30",8.87
"179","2013-01-31",8.84
"180","2013-02-01",8.84
"181","2013-02-04",8.84
"182","2013-02-05",8.9
"183","2013-02-06",9
"184","2013-02-07",9
"185","2013-02-08",9
"186","2013-02-11",9.04
"187","2013-02-12",9.04
"188","2013-02-13",9.5
"189","2013-02-14",9.5
"190","2013-02-15",9.5
"191","2013-02-19",9.4
"192","2013-02-20",10.04
"193","2013-02-21",9.59
"194","2013-02-22",9.59
"195","2013-02-25",9.61
"196","2013-02-26",9.5
"197","2013-02-27",9.56
"198","2013-02-28",9.56
"199","2013-03-01",9.06
"200","2013-03-04",8.86
"201","2013-03-05",9.04
"202","2013-03-06",9.22
"203","2013-03-07",9.22
"204","2013-03-08",9.33
"205","2013-03-11",9.66
"206","2013-03-12",9.87
"207","2013-03-13",9.5
"208","2013-03-14",9.68
"209","2013-03-15",9.68
"210","2013-03-18",9.68
"211","2013-03-19",9.15
"212","2013-03-20",9.61
"213","2013-03-21",9.51
"214","2013-03-22",9.51
"215","2013-03-25",9.61
"216","2013-03-26",9.51
"217","2013-03-27",9.66
"218","2013-03-28",9.76
"219","2013-04-01",9.56
"220","2013-04-02",9.95
"221","2013-04-03",9.95
"222","2013-04-04",9.95
"223","2013-04-05",9.95
"224","2013-04-08",9.78
"225","2013-04-09",9.75
"226","2013-04-10",10.09
"227","2013-04-11",10.35
"228","2013-04-12",10.25
"229","2013-04-15",10.25
"230","2013-04-16",9.85
"231","2013-04-17",9.85
"232","2013-04-18",9.85
"233","2013-04-19",9.65
"234","2013-04-22",9.65
"235","2013-04-23",9.57
"236","2013-04-24",10.16
"237","2013-04-25",10.2
"238","2013-04-26",10.2
"239","2013-04-29",9.99
"240","2013-04-30",10.05
"241","2013-05-01",10.2
