"","date","WSR"
"1","2010-08-26",11.5
"2","2010-08-27",11.51
"3","2010-08-30",11.61
"4","2010-08-31",11.64
"5","2010-09-01",11.68
"6","2010-09-02",11.67
"7","2010-09-03",11.67
"8","2010-09-07",11.6
"9","2010-09-08",11.63
"10","2010-09-09",11.61
"11","2010-09-10",11.32
"12","2010-09-13",11.8
"13","2010-09-14",11.75
"14","2010-09-15",11.77
"15","2010-09-16",11.7
"16","2010-09-17",11.7
"17","2010-09-20",11.73
"18","2010-09-21",11.84
"19","2010-09-22",11.9
"20","2010-09-23",11.94
"21","2010-09-24",11.9
"22","2010-09-27",11.93
"23","2010-09-28",12.03
"24","2010-09-29",12.01
"25","2010-09-30",11.98
"26","2010-10-01",12
"27","2010-10-04",12.02
"28","2010-10-05",12.02
"29","2010-10-06",12.09
"30","2010-10-07",12.13
"31","2010-10-08",12.48
"32","2010-10-11",12.86
"33","2010-10-12",12.89
"34","2010-10-13",12.89
"35","2010-10-14",12.83
"36","2010-10-15",12.85
"37","2010-10-18",12.97
"38","2010-10-19",12.95
"39","2010-10-20",13
"40","2010-10-21",13.16
"41","2010-10-22",13.21
"42","2010-10-25",13.3
"43","2010-10-26",13.05
"44","2010-10-27",13.25
"45","2010-10-28",13.22
"46","2010-10-29",13.33
"47","2010-11-01",13.34
"48","2010-11-02",13.65
"49","2010-11-03",13.72
"50","2010-11-04",13.64
"51","2010-11-05",13.6
"52","2010-11-08",13.58
"53","2010-11-09",13.7
"54","2010-11-10",13.75
"55","2010-11-11",13.64
"56","2010-11-12",13.6
"57","2010-11-15",13.75
"58","2010-11-16",13.59
"59","2010-11-17",13.75
"60","2010-11-18",13.93
"61","2010-11-19",13.94
"62","2010-11-22",14.03
"63","2010-11-23",13.99
"64","2010-11-24",13.98
"65","2010-11-26",14.14
"66","2010-11-29",13.95
"67","2010-11-30",13.85
"68","2010-12-01",13.8
"69","2010-12-02",13.98
"70","2010-12-03",13.93
"71","2010-12-06",13.85
"72","2010-12-07",14
"73","2010-12-08",13.8
"74","2010-12-09",13.71
"75","2010-12-10",13.92
"76","2010-12-13",13.86
"77","2010-12-14",14.06
"78","2010-12-15",13.99
"79","2010-12-16",13.95
"80","2010-12-17",13.77
"81","2010-12-20",13.95
"82","2010-12-21",13.91
"83","2010-12-22",14.24
"84","2010-12-23",14.48
"85","2010-12-27",14.45
"86","2010-12-28",14.81
"87","2010-12-29",14.79
"88","2010-12-30",14.9
"89","2010-12-31",14.8
"90","2011-01-03",14.7
"91","2011-01-04",14.45
"92","2011-01-05",14.63
"93","2011-01-06",14.65
"94","2011-01-07",14.81
"95","2011-01-10",14.52
"96","2011-01-11",14.3
"97","2011-01-12",14.31
"98","2011-01-13",14.4
"99","2011-01-14",14.61
"100","2011-01-18",14.54
"101","2011-01-19",14.71
"102","2011-01-20",14.5
"103","2011-01-21",14.3
"104","2011-01-24",14.63
"105","2011-01-25",14.82
"106","2011-01-26",14.82
"107","2011-01-27",14.76
"108","2011-01-28",14.72
"109","2011-01-31",14.41
"110","2011-02-01",14.55
"111","2011-02-02",14.66
"112","2011-02-03",14.7
"113","2011-02-04",14.82
"114","2011-02-07",14.59
"115","2011-02-08",14.65
"116","2011-02-09",14.85
"117","2011-02-10",14.68
"118","2011-02-11",14.45
"119","2011-02-14",14.46
