"","date","RNLX"
"1","2020-07-17",13.5
"2","2020-07-20",13.6
"3","2020-07-21",13.8
"4","2020-07-22",14.72
"5","2020-07-23",15.41
"6","2020-07-24",14.59
"7","2020-07-27",15.49
"8","2020-07-28",15.43
"9","2020-07-29",15.54
"10","2020-07-30",15.13
"11","2020-07-31",15
"12","2020-08-03",16.1
"13","2020-08-04",16.049999
"14","2020-08-05",17.299999
"15","2020-08-06",17.200001
"16","2020-08-07",17.200001
"17","2020-08-10",17.285999
"18","2020-08-11",15.68
"19","2020-08-12",15.67
"20","2020-08-13",15.22
"21","2020-08-14",14.44
"22","2020-08-17",14.31
"23","2020-08-18",14.06
"24","2020-08-19",15
"25","2020-08-20",14.99
"26","2020-08-21",14.65
"27","2020-08-24",14.72
"28","2020-08-25",14.7
"29","2020-08-26",15.08
"30","2020-08-27",14.03
"31","2020-08-28",14.78
"32","2020-08-31",15.29
"33","2020-09-01",16
"34","2020-09-02",15.9
"35","2020-09-03",15.01
"36","2020-09-04",14.295
"37","2020-09-08",14.35
"38","2020-09-09",14.214
"39","2020-09-10",14.3
"40","2020-09-11",13.98
"41","2020-09-14",13.5
"42","2020-09-15",13.52
"43","2020-09-16",13.91
"44","2020-09-17",13.5
"45","2020-09-18",13.01
"46","2020-09-21",12.47
"47","2020-09-22",12.59
"48","2020-09-23",12.05
"49","2020-09-24",11.5
"50","2020-09-25",11.65
"51","2020-09-28",11.23
"52","2020-09-29",10.18
"53","2020-09-30",12.19
"54","2020-10-01",11.49
"55","2020-10-02",12.34
"56","2020-10-05",12.02
"57","2020-10-06",11.42
"58","2020-10-07",11.21
"59","2020-10-08",11.86
"60","2020-10-09",12.038
"61","2020-10-12",11.27
"62","2020-10-13",11.01
"63","2020-10-14",11.39
"64","2020-10-15",11.3
"65","2020-10-16",11.99
"66","2020-10-19",11.3
"67","2020-10-20",11
"68","2020-10-21",11
"69","2020-10-22",11.27
"70","2020-10-23",11.3
"71","2020-10-26",12
"72","2020-10-27",12.04
"73","2020-10-28",12.09
"74","2020-10-29",12.81
"75","2020-10-30",13.4
"76","2020-11-02",13.04
"77","2020-11-03",13.25
"78","2020-11-04",12.5
"79","2020-11-05",12.5
"80","2020-11-06",12.49
"81","2020-11-09",11.97
"82","2020-11-10",11.93
"83","2020-11-11",11.41
"84","2020-11-12",10.9
"85","2020-11-13",11.25
"86","2020-11-16",11.99
"87","2020-11-17",11.69
"88","2020-11-18",11.85
"89","2020-11-19",11.9
"90","2020-11-20",11.805
"91","2020-11-23",11.99
"92","2020-11-24",10.69
"93","2020-11-25",14.08
"94","2020-11-27",14.04
