"","date","BGNE"
"222","2016-12-16",29.610001
"223","2016-12-19",29.23
"224","2016-12-20",28.120001
"225","2016-12-21",28.639999
"226","2016-12-22",28.92
"227","2016-12-23",30.01
"228","2016-12-27",29.59
"229","2016-12-28",29.719999
"230","2016-12-29",29.17
"231","2016-12-30",30.360001
"232","2017-01-03",31.049999
"233","2017-01-04",31.77
"234","2017-01-05",31.02
"235","2017-01-06",30.809999
"236","2017-01-09",31.530001
"237","2017-01-10",31.49
"238","2017-01-11",31.299999
"239","2017-01-12",31.85
"240","2017-01-13",32.689999
"241","2017-01-17",32.889999
"242","2017-01-18",32.799999
"243","2017-01-19",32.459999
"244","2017-01-20",32.009998
"245","2017-01-23",32.389999
"246","2017-01-24",33
"247","2017-01-25",35.720001
"248","2017-01-26",35.82
"249","2017-01-27",36.349998
"250","2017-01-30",34.110001
"251","2017-01-31",34.84
"252","2017-02-01",36
"253","2017-02-02",36.029999
"254","2017-02-03",35.880001
"255","2017-02-06",35.919998
"256","2017-02-07",34.73
"257","2017-02-08",36.110001
"258","2017-02-09",35.349998
"259","2017-02-10",36
"260","2017-02-13",36.060001
"261","2017-02-14",37.630001
"262","2017-02-15",40.43
"263","2017-02-16",40.779999
"264","2017-02-17",40.75
"265","2017-02-21",39.700001
"266","2017-02-22",39.75
"267","2017-02-23",37.91
"268","2017-02-24",38.57
"269","2017-02-27",38.060001
"270","2017-02-28",38.970001
"271","2017-03-01",40.419998
"272","2017-03-02",40.099998
"273","2017-03-03",40.77
"274","2017-03-06",39.82
"275","2017-03-07",39.549999
"276","2017-03-08",39.880001
"277","2017-03-09",39.639999
"278","2017-03-10",39.990002
"279","2017-03-13",39.650002
"280","2017-03-14",39.23
"281","2017-03-15",39.790001
"282","2017-03-16",39.07
"283","2017-03-17",39.549999
"284","2017-03-20",39.560001
"285","2017-03-21",37.889999
"286","2017-03-22",38
"287","2017-03-23",36.82
"288","2017-03-24",36.299999
"289","2017-03-27",36.32
"290","2017-03-28",36.209999
"291","2017-03-29",36.794998
"292","2017-03-30",36.59
"293","2017-03-31",36.610001
"294","2017-04-03",36.610001
"295","2017-04-04",37.220001
"296","2017-04-05",36.48
"297","2017-04-06",37.029999
"298","2017-04-07",37.220001
"299","2017-04-10",37.810001
"300","2017-04-11",38.330002
"301","2017-04-12",38.07
"302","2017-04-13",37.900002
"303","2017-04-17",38.299999
"304","2017-04-18",36.860001
"305","2017-04-19",36.830002
"306","2017-04-20",36.98
"307","2017-04-21",36.709999
"308","2017-04-24",37.610001
"309","2017-04-25",39.18
"310","2017-04-26",40.110001
"311","2017-04-27",40.59
"312","2017-04-28",40.880001
"313","2017-05-01",40.639999
"314","2017-05-02",40.610001
"315","2017-05-03",40.619999
"316","2017-05-04",39.75
"317","2017-05-05",39.299999
"318","2017-05-08",38.720001
"319","2017-05-09",37.439999
"320","2017-05-10",37.950001
"321","2017-05-11",36.950001
"322","2017-05-12",36.490002
