"","date","MANT"
"1","2007-01-03",37.799999
"2","2007-01-04",37.639999
"3","2007-01-05",37.5
"4","2007-01-08",37.560001
"5","2007-01-09",37.849998
"6","2007-01-10",37.34
"7","2007-01-11",37.360001
"8","2007-01-12",37.380001
"9","2007-01-16",37.32
"10","2007-01-17",37.049999
"11","2007-01-18",34
"12","2007-01-19",33.18
"13","2007-01-22",32.900002
"14","2007-01-23",34.34
"15","2007-01-24",34.509998
"16","2007-01-25",33.799999
"17","2007-01-26",33.790001
"18","2007-01-29",33.830002
"19","2007-01-30",33.990002
"20","2007-01-31",34.119999
"21","2007-02-01",34.310001
"22","2007-02-02",35.18
"23","2007-02-05",35.299999
"24","2007-02-06",35.459999
"25","2007-02-07",35.610001
"26","2007-02-08",35.779999
"27","2007-02-09",35.759998
"28","2007-02-12",35.830002
"29","2007-02-13",36
"30","2007-02-14",36.009998
"31","2007-02-15",36.02
"32","2007-02-16",36.259998
"33","2007-02-20",37.029999
"34","2007-02-21",37.07
"35","2007-02-22",36.849998
"36","2007-02-23",36.290001
"37","2007-02-26",36.720001
"38","2007-02-27",34.369999
"39","2007-02-28",34.450001
"40","2007-03-01",33.599998
"41","2007-03-02",34.27
"42","2007-03-05",32.459999
"43","2007-03-06",34.110001
"44","2007-03-07",33.849998
"45","2007-03-08",33.919998
"46","2007-03-09",34.490002
"47","2007-03-12",34.299999
"48","2007-03-13",34
"49","2007-03-14",33.77
"50","2007-03-15",34.049999
"51","2007-03-16",34.259998
"52","2007-03-19",34.619999
"53","2007-03-20",34.720001
"54","2007-03-21",34.720001
"55","2007-03-22",34.77
"56","2007-03-23",34.57
"57","2007-03-26",34.400002
"58","2007-03-27",33.959999
"59","2007-03-28",33.779999
"60","2007-03-29",33.419998
"61","2007-03-30",33.41
"62","2007-04-02",32.950001
"63","2007-04-03",32.990002
"64","2007-04-04",33
"65","2007-04-05",32.990002
"66","2007-04-09",32.889999
"67","2007-04-10",33.369999
"68","2007-04-11",32.759998
"69","2007-04-12",33.360001
"70","2007-04-13",33.330002
"71","2007-04-16",34.040001
"72","2007-04-17",33.950001
"73","2007-04-18",32.689999
"74","2007-04-19",32.360001
"75","2007-04-20",32.82
"76","2007-04-23",33.27
"77","2007-04-24",32.77
"78","2007-04-25",32.610001
"79","2007-04-26",32.060001
"80","2007-04-27",31.809999
"81","2007-04-30",30.68
"82","2007-05-01",31.049999
"83","2007-05-02",30.540001
"84","2007-05-03",34.16
"85","2007-05-04",34.34
"86","2007-05-07",33.169998
"87","2007-05-08",32.900002
"88","2007-05-09",33.740002
"89","2007-05-10",32.48
"90","2007-05-11",32.900002
"91","2007-05-14",32.709999
"92","2007-05-15",32.16
"93","2007-05-16",32.700001
"94","2007-05-17",32.119999
"95","2007-05-18",32.139999
"96","2007-05-21",32.459999
"97","2007-05-22",32.799999
"98","2007-05-23",32.59
"99","2007-05-24",31.65
"100","2007-05-25",31.93
"101","2007-05-29",32.369999
"102","2007-05-30",31.950001
"103","2007-05-31",31.98
"104","2007-06-01",32.189999
"105","2007-06-04",32.490002
"106","2007-06-05",31.950001
"107","2007-06-06",31.9
"108","2007-06-07",31.030001
"109","2007-06-08",31.23
"110","2007-06-11",30.67
"111","2007-06-12",31.23
"112","2007-06-13",31.85
"113","2007-06-14",32.02
"114","2007-06-15",32.200001
"115","2007-06-18",32.709999
"116","2007-06-19",32.150002
"117","2007-06-20",31.299999
"118","2007-06-21",31.58
"119","2007-06-22",31.32
"120","2007-06-25",31.57
"121","2007-06-26",30.969999
"122","2007-06-27",31.68
"123","2007-06-28",31.219999
"124","2007-06-29",30.83
"125","2007-07-02",31.25
"126","2007-07-03",31.92
"127","2007-07-05",31.530001
"128","2007-07-06",31.719999
"129","2007-07-09",31.5
"130","2007-07-10",30.57
"131","2007-07-11",31.74
"132","2007-07-12",32.150002
"133","2007-07-13",32.110001
"134","2007-07-16",31.280001
"135","2007-07-17",31.92
"136","2007-07-18",31.76
"137","2007-07-19",32.150002
"138","2007-07-20",32
"139","2007-07-23",31.57
"140","2007-07-24",31.120001
"141","2007-07-25",30.93
"142","2007-07-26",30.51
"143","2007-07-27",30.65
"144","2007-07-30",31.790001
"145","2007-07-31",32.66
"146","2007-08-01",31.629999
"147","2007-08-02",35.599998
"148","2007-08-03",34.68
"149","2007-08-06",35.720001
"150","2007-08-07",34.220001
