"","date","CLDT"
"1","2010-04-16",20.5
"2","2010-04-19",20.200001
"3","2010-04-20",20
"4","2010-04-21",19.84
"5","2010-04-22",19.98
"6","2010-04-23",19.73
"7","2010-04-26",19.99
"8","2010-04-27",19.940001
"9","2010-04-28",19.950001
"10","2010-04-29",20.01
"11","2010-04-30",19.85
"12","2010-05-03",19.700001
"13","2010-05-04",19.889999
"14","2010-05-05",19.98
"15","2010-05-06",19.65
"16","2010-05-07",19.68
"17","2010-05-10",20
"18","2010-05-11",19.85
"19","2010-05-12",20
"20","2010-05-13",20.059999
"21","2010-05-14",19.9
"22","2010-05-17",19.440001
"23","2010-05-18",18.93
"24","2010-05-19",18.860001
"25","2010-05-20",18.190001
"26","2010-05-21",17.65
"27","2010-05-24",17.84
"28","2010-05-25",17.610001
"29","2010-05-26",18.07
"30","2010-05-27",17.959999
"31","2010-05-28",18
"32","2010-06-01",17.950001
"33","2010-06-02",18.08
"34","2010-06-03",18.049999
"35","2010-06-04",17.950001
"36","2010-06-07",18.049999
"37","2010-06-08",17.76
"38","2010-06-09",17.719999
"39","2010-06-10",17.65
"40","2010-06-11",17.66
"41","2010-06-14",18
"42","2010-06-15",18.02
"43","2010-06-16",17.959999
"44","2010-06-17",17.959999
"45","2010-06-18",17.58
"46","2010-06-21",17.940001
"47","2010-06-22",18.219999
"48","2010-06-23",18.030001
"49","2010-06-24",17.959999
"50","2010-06-25",18.43
"51","2010-06-28",17.889999
"52","2010-06-29",17.530001
"53","2010-06-30",17.870001
"54","2010-07-01",17.35
"55","2010-07-02",17.51
"56","2010-07-06",16.620001
"57","2010-07-07",16.719999
"58","2010-07-08",16.860001
"59","2010-07-09",16.74
"60","2010-07-12",16.450001
"61","2010-07-13",16.74
"62","2010-07-14",16.41
"63","2010-07-15",16.040001
"64","2010-07-16",15.96
"65","2010-07-19",15.88
"66","2010-07-20",15.54
"67","2010-07-21",14.95
"68","2010-07-22",15.1
"69","2010-07-23",15.56
"70","2010-07-26",15.52
"71","2010-07-27",15.56
"72","2010-07-28",15.24
"73","2010-07-29",15.13
"74","2010-07-30",15.17
"75","2010-08-02",15.32
"76","2010-08-03",16.25
"77","2010-08-04",16.42
"78","2010-08-05",16.620001
"79","2010-08-06",16.1
