"","date","FAMI"
"1","2018-02-16",6.18
"2","2018-02-20",6.05
"3","2018-02-21",5.98
"4","2018-02-22",6.2
"5","2018-02-23",5.91
"6","2018-02-26",6.67
"7","2018-02-27",6.46
"8","2018-02-28",6.2
"9","2018-03-01",6.32
"10","2018-03-02",6.4
"11","2018-03-05",6.45
"12","2018-03-06",6.52
"13","2018-03-07",6.51
"14","2018-03-08",6.57
"15","2018-03-09",6.58
"16","2018-03-12",6.71
"17","2018-03-13",6.55
"18","2018-03-14",6.57
"19","2018-03-15",6.6
"20","2018-03-16",6.55
"21","2018-03-19",6.51
"22","2018-03-20",6.54
"23","2018-03-21",6.55
"24","2018-03-22",6.5
"25","2018-03-23",6.44
"26","2018-03-26",6.39
"27","2018-03-27",6.35
"28","2018-03-28",6.32
"29","2018-03-29",6.3
"30","2018-04-02",6.4
"31","2018-04-03",6.6
"32","2018-04-04",6.72
"33","2018-04-05",6.68
"34","2018-04-06",6.77
"35","2018-04-09",7
"36","2018-04-10",7.58
"37","2018-04-11",7.58
"38","2018-04-12",7.64
"39","2018-04-13",8
"40","2018-04-16",7.9
"41","2018-04-17",7.87
"42","2018-04-18",7.88
"43","2018-04-19",7.68
"44","2018-04-20",7.72
"45","2018-04-23",7.98
"46","2018-04-24",7.7
"47","2018-04-25",7.69
"48","2018-04-26",7.75
"49","2018-04-27",7.69
"50","2018-04-30",7.97
"51","2018-05-01",7.68
"52","2018-05-02",7.7
"53","2018-05-03",7.77
"54","2018-05-04",7.84
"55","2018-05-07",7.9
"56","2018-05-08",7.95
"57","2018-05-09",7.95
"58","2018-05-10",8.11
"59","2018-05-11",8.29
"60","2018-05-14",8.39
"61","2018-05-15",8.52
"62","2018-05-16",8.53
"63","2018-05-17",8.88
"64","2018-05-18",9.1
"65","2018-05-21",9.24
"66","2018-05-22",9.29
"67","2018-05-23",9.33
"68","2018-05-24",9.3
"69","2018-05-25",10.07
"70","2018-05-29",9.96
"71","2018-05-30",9.82
"72","2018-05-31",9.88
"73","2018-06-01",9.52
"74","2018-06-04",9.4
"75","2018-06-05",9.2
"76","2018-06-06",8.76
"77","2018-06-07",7.95
"78","2018-06-08",7.52
"79","2018-06-11",7.78
"80","2018-06-12",8.12
"81","2018-06-13",8.2
"82","2018-06-14",8.21
"83","2018-06-15",7.44
"84","2018-06-18",6.46
"85","2018-06-19",6.95
"86","2018-06-20",6.57
"87","2018-06-21",7.09
"88","2018-06-22",7.23
"89","2018-06-25",8.22
"90","2018-06-26",8.23
"91","2018-06-27",8.33
"92","2018-06-28",8.4
"93","2018-06-29",8.5
"94","2018-07-02",8.43
"95","2018-07-03",8.19
"96","2018-07-05",7.52
"97","2018-07-06",6.93
"98","2018-07-09",5.82
"99","2018-07-10",5.39
"100","2018-07-11",5.08
"101","2018-07-12",4.57
"102","2018-07-13",4.8
"103","2018-07-16",4.8
"104","2018-07-17",4.39
"105","2018-07-18",3.99
"106","2018-07-19",4.2
"107","2018-07-20",4.01
"108","2018-07-23",4
"109","2018-07-24",4.23
"110","2018-07-25",4.34
"111","2018-07-26",4.23
"112","2018-07-27",4.23
"113","2018-07-30",4.14
"114","2018-07-31",4.34
"115","2018-08-01",4.26
"116","2018-08-02",3.83
"117","2018-08-03",3.5
"118","2018-08-06",3.12
"119","2018-08-07",2.7
"120","2018-08-08",2.79
"121","2018-08-09",2.95
"122","2018-08-10",2.85
"123","2018-08-13",3.02
"124","2018-08-14",3.54
"125","2018-08-15",3.68
"126","2018-08-16",3.7
"127","2018-08-17",3.72
"128","2018-08-20",3.82
"129","2018-08-21",3.94
"130","2018-08-22",3.91
"131","2018-08-23",4.04
"132","2018-08-24",4.17
"133","2018-08-27",4.11
"134","2018-08-28",4.22
"135","2018-08-29",4.22
"136","2018-08-30",4.13
"137","2018-08-31",4.25
"138","2018-09-04",4.29
"139","2018-09-05",4.27
"140","2018-09-06",4.49
"141","2018-09-07",4.52
"142","2018-09-10",4.52
"143","2018-09-11",4.59
"144","2018-09-12",4.52
"145","2018-09-13",4.6
"146","2018-09-14",4.45
"147","2018-09-17",4.4
"148","2018-09-18",4.3
"149","2018-09-19",4.5
"150","2018-09-20",4.62
"151","2018-09-21",4.89
"152","2018-09-24",4.96
"153","2018-09-25",5.07
"154","2018-09-26",5.24
"155","2018-09-27",5.35
"156","2018-09-28",5.29
"157","2018-10-01",5.25
"158","2018-10-02",5.35
"159","2018-10-03",5.61
"160","2018-10-04",5.56
"161","2018-10-05",5.27
"162","2018-10-08",5.54
"163","2018-10-09",5.5
"164","2018-10-10",5.6
"165","2018-10-11",5.1
"166","2018-10-12",5.22
"167","2018-10-15",5.39
"168","2018-10-16",5.5
"169","2018-10-17",5.66
"170","2018-10-18",5.39
"171","2018-10-19",5.15
"172","2018-10-22",5.1
"173","2018-10-23",5.34
"174","2018-10-24",5.52
"175","2018-10-25",5.52
"176","2018-10-26",5.54
"177","2018-10-29",5.65
"178","2018-10-30",5.65
"179","2018-10-31",5.31
"180","2018-11-01",5.46
"181","2018-11-02",5.47
"182","2018-11-05",5.4
"183","2018-11-06",5.33
"184","2018-11-07",5.25
"185","2018-11-08",5.46
"186","2018-11-09",5.48
"187","2018-11-12",5.45
"188","2018-11-13",5.22
"189","2018-11-14",5.15
"190","2018-11-15",5.11
"191","2018-11-16",5.04
"192","2018-11-19",4.91
"193","2018-11-20",4.66
"194","2018-11-21",4.72
"195","2018-11-23",4.88
"196","2018-11-26",4.79
"197","2018-11-27",4.64
"198","2018-11-28",4.56
"199","2018-11-29",4.59
"200","2018-11-30",4.41
"201","2018-12-03",4.35
"202","2018-12-04",4.28
"203","2018-12-06",4.3
"204","2018-12-07",4.58
"205","2018-12-10",4.52
"206","2018-12-11",4.52
"207","2018-12-12",4.38
"208","2018-12-13",4.36
"209","2018-12-14",4.07
"210","2018-12-17",3.83
"211","2018-12-18",4.15
"212","2018-12-19",4.22
"213","2018-12-20",4.23
"214","2018-12-21",4.04
"215","2018-12-24",3.94
"216","2018-12-26",4.01
"217","2018-12-27",4.19
"218","2018-12-28",3.95
"219","2018-12-31",4.06
"220","2019-01-02",4.22
"221","2019-01-03",4.39
"222","2019-01-04",4.63
"223","2019-01-07",4.79
"224","2019-01-08",4.66
"225","2019-01-09",4.78
"226","2019-01-10",4.68
"227","2019-01-11",4.2
"228","2019-01-14",3.88
"229","2019-01-15",4.05
"230","2019-01-16",3.9
"231","2019-01-17",4.07
"232","2019-01-18",4.49
"233","2019-01-22",4.07
"234","2019-01-23",4.05
"235","2019-01-24",4.08
"236","2019-01-25",4.19
"237","2019-01-28",4.51
"238","2019-01-29",4.66
"239","2019-01-30",4.51
"240","2019-01-31",4.52
"241","2019-02-01",4.01
"242","2019-02-04",3.83
"243","2019-02-05",3.84
"244","2019-02-06",3.77
"245","2019-02-07",3.73
"246","2019-02-08",3.75
"247","2019-02-11",3.6
"248","2019-02-12",3.52
"249","2019-02-13",3.3
"250","2019-02-14",2.73
"251","2019-02-15",3.02
"252","2019-02-19",2.95
"253","2019-02-20",3.11
"254","2019-02-21",3.01
"255","2019-02-22",3.09
"256","2019-02-25",3.05
"257","2019-02-26",3.1
"258","2019-02-27",3.13
"259","2019-02-28",3.16
"260","2019-03-01",3.25
"261","2019-03-04",3.32
"262","2019-03-05",3.48
"263","2019-03-06",3.35
"264","2019-03-07",3.25
"265","2019-03-08",3.21
"266","2019-03-11",3.22
"267","2019-03-12",3.19
"268","2019-03-13",3.16
"269","2019-03-14",3.2
"270","2019-03-15",3.75
"271","2019-03-18",4.04
"272","2019-03-19",4.36
"273","2019-03-20",4.38
"274","2019-03-21",4.35
"275","2019-03-22",4.47
"276","2019-03-25",4.34
"277","2019-03-26",4.35
"278","2019-03-27",4.36
"279","2019-03-28",4.39
"280","2019-03-29",4.37
"281","2019-04-01",3.88
"282","2019-04-02",3.76
"283","2019-04-03",3.77
"284","2019-04-04",3.41
"285","2019-04-05",3.45
"286","2019-04-08",3.46
"287","2019-04-09",3.41
"288","2019-04-10",3.46
"289","2019-04-11",2.21
"290","2019-04-12",2.14
"291","2019-04-15",2.08
"292","2019-04-16",2.03
"293","2019-04-17",2.11
"294","2019-04-18",2.23
"295","2019-04-22",2.22
"296","2019-04-23",2.21
"297","2019-04-24",2.31
"298","2019-04-25",2.17
"299","2019-04-26",2.21
"300","2019-04-29",2.33
"301","2019-04-30",2.27
"302","2019-05-01",2.3
"303","2019-05-02",2.31
"304","2019-05-03",2.29
"305","2019-05-06",2.23
"306","2019-05-07",2.25
"307","2019-05-08",2.23
"308","2019-05-09",2.28
"309","2019-05-10",2.19
"310","2019-05-13",2.25
"311","2019-05-14",2.19
"312","2019-05-15",2.18
"313","2019-05-16",2.18
"314","2019-05-17",2.2
"315","2019-05-20",2.14
"316","2019-05-21",2.16
"317","2019-05-22",2.15
"318","2019-05-23",2.18
"319","2019-05-24",2.15
"320","2019-05-28",2.13
"321","2019-05-29",2.13
"322","2019-05-30",2.1
"323","2019-05-31",2.15
"324","2019-06-03",2.14
"325","2019-06-04",2.05
"326","2019-06-05",1.98
"327","2019-06-06",1.88
"328","2019-06-07",1.87
"329","2019-06-10",1.84
"330","2019-06-11",1.85
"331","2019-06-12",1.81
"332","2019-06-13",1.88
"333","2019-06-14",1.85
"334","2019-06-17",1.85
"335","2019-06-18",2.04
"336","2019-06-19",1.83
"337","2019-06-20",1.99
"338","2019-06-21",1.84
"339","2019-06-24",1.75
"340","2019-06-25",1.8
"341","2019-06-26",1.75
"342","2019-06-27",1.85
"343","2019-06-28",1.82
"344","2019-07-01",1.8
"345","2019-07-02",1.75
"346","2019-07-03",1.73
"347","2019-07-05",1.75
"348","2019-07-08",1.74
"349","2019-07-09",1.8
"350","2019-07-10",1.72
"351","2019-07-11",1.73
"352","2019-07-12",1.7
"353","2019-07-15",1.36
"354","2019-07-16",1.67
"355","2019-07-17",1.65
"356","2019-07-18",1.46
"357","2019-07-19",1.45
"358","2019-07-22",1.45
"359","2019-07-23",1.4
"360","2019-07-24",1.53
"361","2019-07-25",1.4
"362","2019-07-26",1.4
"363","2019-07-29",1.41
"364","2019-07-30",1.4
"365","2019-07-31",1.34
"366","2019-08-01",1.41
"367","2019-08-02",1.41
"368","2019-08-05",1.41
"369","2019-08-06",1.16
"370","2019-08-07",1.28
"371","2019-08-08",1.13
"372","2019-08-09",1.3
"373","2019-08-12",1.34
"374","2019-08-13",1.26
"375","2019-08-14",1.31
"376","2019-08-15",1.15
"377","2019-08-16",1.22
"378","2019-08-19",1.16
"379","2019-08-20",1.42
"380","2019-08-21",1.23
"381","2019-08-22",1.45
"382","2019-08-23",1.24
"383","2019-08-26",1.2
"384","2019-08-27",1.16
"385","2019-08-28",1.18
"386","2019-08-29",1.31
"387","2019-08-30",1.28
"388","2019-09-03",1.45
"389","2019-09-04",1.35
"390","2019-09-05",1.3
"391","2019-09-06",1.37
"392","2019-09-09",1.39
"393","2019-09-10",1.31
"394","2019-09-11",1.35
"395","2019-09-12",1.4
"396","2019-09-13",1.37
"397","2019-09-16",1.41
"398","2019-09-17",1.47
"399","2019-09-18",1.49
"400","2019-09-19",1.46
"401","2019-09-20",1.39
"402","2019-09-23",1.46
"403","2019-09-24",1.43
"404","2019-09-25",1.43
"405","2019-09-26",1.48
"406","2019-09-27",1.57
"407","2019-09-30",1.56
"408","2019-10-01",1.76
"409","2019-10-02",1.84
"410","2019-10-03",1.84
"411","2019-10-04",1.8
"412","2019-10-07",1.74
"413","2019-10-08",1.67
"414","2019-10-09",1.71
"415","2019-10-10",1.52
"416","2019-10-11",1.61
"417","2019-10-14",1.52
"418","2019-10-15",1.63
"419","2019-10-16",1.65
"420","2019-10-17",1.69
"421","2019-10-18",1.86
"422","2019-10-21",1.89
"423","2019-10-22",1.71
"424","2019-10-23",1.75
"425","2019-10-24",1.71
"426","2019-10-25",1.59
"427","2019-10-28",1.66
"428","2019-10-29",1.61
"429","2019-10-30",1.8
"430","2019-10-31",1.66
"431","2019-11-01",1.71
"432","2019-11-04",1.55
"433","2019-11-05",1.51
"434","2019-11-06",1.4
"435","2019-11-07",1.33
"436","2019-11-08",1.33
"437","2019-11-11",1.37
"438","2019-11-12",1.24
"439","2019-11-13",1.3
"440","2019-11-14",1.26
"441","2019-11-15",1.28
"442","2019-11-18",1.13
"443","2019-11-19",1.18
"444","2019-11-20",1.24
"445","2019-11-21",1.22
"446","2019-11-22",1.21
"447","2019-11-25",1.17
"448","2019-11-26",1.19
"449","2019-11-27",1.19
"450","2019-11-29",1.23
"451","2019-12-02",1.2
"452","2019-12-03",1.17
"453","2019-12-04",1.14
"454","2019-12-05",1.1
"455","2019-12-06",1.11
"456","2019-12-09",1.03
