"","date","LGC"
"1","2017-12-01",9.65
"2","2017-12-04",9.65
"3","2017-12-05",9.65
"4","2017-12-06",9.65
"5","2017-12-07",9.65
"6","2017-12-08",9.55
"7","2017-12-11",9.55
"8","2017-12-12",9.55
"9","2017-12-13",9.55
"10","2017-12-14",9.61
"11","2017-12-15",9.61
"12","2017-12-18",9.61
"13","2017-12-19",9.57
"14","2017-12-20",9.65
"15","2017-12-21",9.61
"16","2017-12-22",9.61
"17","2017-12-26",9.63
"18","2017-12-27",9.63
"19","2017-12-28",9.63
"20","2017-12-29",9.63
"21","2018-01-02",9.63
"22","2018-01-03",9.63
"23","2018-01-04",9.63
"24","2018-01-05",9.64
"25","2018-01-08",9.6
"26","2018-01-09",9.6
"27","2018-01-10",9.6
"28","2018-01-11",9.6
"29","2018-01-12",9.6
"30","2018-01-16",9.6
"31","2018-01-17",9.6
"32","2018-01-18",9.58
"33","2018-01-19",9.63
"34","2018-01-22",9.63
"35","2018-01-23",9.63
"36","2018-01-24",9.63
"37","2018-01-25",9.63
"38","2018-01-26",9.63
"39","2018-01-29",9.66
"40","2018-01-30",9.64
"41","2018-01-31",9.64
"42","2018-02-01",9.58
"43","2018-02-02",9.59
"44","2018-02-05",9.58
"45","2018-02-06",9.599
"46","2018-02-07",9.58
"47","2018-02-08",9.6
"48","2018-02-09",9.62
"49","2018-02-12",9.55
"50","2018-02-13",9.6
"51","2018-02-14",9.6
"52","2018-02-15",9.6
"53","2018-02-16",9.55
"54","2018-02-20",9.54
"55","2018-02-21",9.54
"56","2018-02-22",9.54
"57","2018-02-23",9.59
"58","2018-02-26",9.54
"59","2018-02-27",9.54
"60","2018-02-28",9.52
"61","2018-03-01",9.54
"62","2018-03-02",9.54
"63","2018-03-05",9.54
"64","2018-03-06",9.52
"65","2018-03-07",9.52
"66","2018-03-08",9.52
"67","2018-03-09",9.527
"68","2018-03-12",9.527
"69","2018-03-13",9.527
"70","2018-03-14",9.52
"71","2018-03-15",9.52
"72","2018-03-16",9.52
"73","2018-03-19",9.52
"74","2018-03-20",9.56
"75","2018-03-21",9.56
"76","2018-03-22",9.51
"77","2018-03-23",9.51
"78","2018-03-26",9.583
"79","2018-03-27",9.583
"80","2018-03-28",9.56
"81","2018-03-29",9.59
"82","2018-04-02",9.591
"83","2018-04-03",9.591
"84","2018-04-04",9.55
"85","2018-04-05",9.55
"86","2018-04-06",9.55
"87","2018-04-09",9.54
"88","2018-04-10",9.54
"89","2018-04-11",9.54
"90","2018-04-12",9.589
"91","2018-04-13",9.6
"92","2018-04-16",9.59
"93","2018-04-17",9.59
"94","2018-04-18",9.57
"95","2018-04-19",9.57
"96","2018-04-20",9.64
"97","2018-04-23",9.64
"98","2018-04-24",9.63
"99","2018-04-25",9.65
"100","2018-04-26",9.65
"101","2018-04-27",9.65
"102","2018-04-30",9.641
"103","2018-05-01",9.636
"104","2018-05-02",9.62
"105","2018-05-03",9.62
"106","2018-05-04",9.66
"107","2018-05-07",9.7
"108","2018-05-08",9.7
"109","2018-05-09",9.7
"110","2018-05-10",9.69
"111","2018-05-11",9.69
"112","2018-05-14",9.68
"113","2018-05-15",9.68
"114","2018-05-16",9.67
"115","2018-05-17",9.66
"116","2018-05-18",9.66
"117","2018-05-21",9.65
"118","2018-05-22",9.63
"119","2018-05-23",9.63
"120","2018-05-24",9.63
"121","2018-05-25",9.635
"122","2018-05-29",9.63
"123","2018-05-30",9.65
"124","2018-05-31",9.65
"125","2018-06-01",9.68
"126","2018-06-04",9.68
"127","2018-06-05",9.68
"128","2018-06-06",9.68
"129","2018-06-07",9.68
"130","2018-06-08",9.62
"131","2018-06-11",9.67
"132","2018-06-12",9.67
"133","2018-06-13",9.66
"134","2018-06-14",9.68
"135","2018-06-15",9.68
"136","2018-06-18",9.68
"137","2018-06-19",9.69
"138","2018-06-20",9.67
"139","2018-06-21",9.67
"140","2018-06-22",9.67
"141","2018-06-25",9.67
"142","2018-06-26",9.67
"143","2018-06-27",9.64
"144","2018-06-28",9.63
"145","2018-06-29",9.62
"146","2018-07-02",9.62
"147","2018-07-03",9.62
"148","2018-07-05",9.61
"149","2018-07-06",9.62
"150","2018-07-09",9.61
"151","2018-07-10",9.61
"152","2018-07-11",9.61
"153","2018-07-12",9.61
"154","2018-07-13",9.62
"155","2018-07-16",9.61
"156","2018-07-17",9.62
"157","2018-07-18",9.62
"158","2018-07-19",9.62
"159","2018-07-20",9.62
"160","2018-07-23",9.62
"161","2018-07-24",9.62
"162","2018-07-25",9.62
"163","2018-07-26",9.62
"164","2018-07-27",9.62
"165","2018-07-30",9.62
"166","2018-07-31",9.62
"167","2018-08-01",9.64
"168","2018-08-02",9.639
"169","2018-08-03",9.65
"170","2018-08-06",9.65
"171","2018-08-07",9.65
"172","2018-08-08",9.65
"173","2018-08-09",9.65
"174","2018-08-10",9.63
"175","2018-08-13",9.64
"176","2018-08-14",9.64
"177","2018-08-15",9.64
"178","2018-08-16",9.66
"179","2018-08-17",9.66
"180","2018-08-20",9.65
"181","2018-08-21",9.65
"182","2018-08-22",9.61
"183","2018-08-23",9.66
"184","2018-08-24",9.66
"185","2018-08-27",9.65
"186","2018-08-28",9.68
"187","2018-08-29",9.665
"188","2018-08-30",9.671
"189","2018-08-31",9.7
"190","2018-09-04",9.7
"191","2018-09-05",9.7
"192","2018-09-06",9.72
"193","2018-09-07",9.71
"194","2018-09-10",9.72
"195","2018-09-11",9.7
"196","2018-09-12",9.68
"197","2018-09-13",9.67
"198","2018-09-14",9.67
"199","2018-09-17",9.7
"200","2018-09-18",9.73
"201","2018-09-19",9.73
"202","2018-09-20",9.71
"203","2018-09-21",9.69
"204","2018-09-24",9.681
"205","2018-09-25",9.69
"206","2018-09-26",9.69
"207","2018-09-27",9.69
"208","2018-09-28",9.711
"209","2018-10-01",9.69
"210","2018-10-02",9.75
"211","2018-10-03",9.683
"212","2018-10-04",9.71
"213","2018-10-05",9.67
"214","2018-10-08",9.67
"215","2018-10-09",9.67
"216","2018-10-10",9.72
"217","2018-10-11",9.72
"218","2018-10-12",9.72
"219","2018-10-15",9.7
"220","2018-10-16",9.7
"221","2018-10-17",9.68
"222","2018-10-18",9.68
"223","2018-10-19",9.68
"224","2018-10-22",9.67
"225","2018-10-23",9.72
"226","2018-10-24",9.75
"227","2018-10-25",9.682
"228","2018-10-26",9.72
"229","2018-10-29",9.72
"230","2018-10-30",9.72
"231","2018-10-31",9.72
"232","2018-11-01",9.72
"233","2018-11-02",9.72
"234","2018-11-05",9.72
"235","2018-11-06",9.72
"236","2018-11-07",9.72
"237","2018-11-08",9.62
"238","2018-11-09",9.62
"239","2018-11-12",9.7
"240","2018-11-13",9.72
"241","2018-11-14",9.74
"242","2018-11-15",9.74
"243","2018-11-16",9.75
"244","2018-11-19",9.76
"245","2018-11-20",9.76
"246","2018-11-21",9.76
"247","2018-11-23",9.76
"248","2018-11-26",9.77
"249","2018-11-27",9.77
"250","2018-11-28",9.75
"251","2018-11-29",9.79
"252","2018-11-30",9.77
"253","2018-12-03",9.8
"254","2018-12-04",9.8
"255","2018-12-06",9.81
"256","2018-12-07",9.81
"257","2018-12-10",9.81
"258","2018-12-11",9.8
"259","2018-12-12",9.759
"260","2018-12-13",9.75
"261","2018-12-14",9.763
"262","2018-12-17",9.8
"263","2018-12-18",9.8
"264","2018-12-19",9.8
"265","2018-12-20",9.78
"266","2018-12-21",9.78
"267","2018-12-24",9.8
"268","2018-12-26",9.8
"269","2018-12-27",9.75
"270","2018-12-28",9.75
"271","2018-12-31",9.82
"272","2019-01-02",9.8
"273","2019-01-03",9.84
"274","2019-01-04",9.83
"275","2019-01-07",9.82
"276","2019-01-08",9.84
"277","2019-01-09",9.84
"278","2019-01-10",9.86
"279","2019-01-11",9.88
"280","2019-01-14",9.88
"281","2019-01-15",9.89
"282","2019-01-16",9.89
"283","2019-01-17",9.918
"284","2019-01-18",9.91
"285","2019-01-22",9.908
"286","2019-01-23",9.9
"287","2019-01-24",9.92
"288","2019-01-25",9.93
"289","2019-01-28",9.919
"290","2019-01-29",9.95
"291","2019-01-30",9.95
"292","2019-01-31",9.93
"293","2019-02-01",9.95
"294","2019-02-04",9.95
"295","2019-02-05",9.98
"296","2019-02-06",10
"297","2019-02-07",10
"298","2019-02-08",10
