"","date","ACER"
"1","2007-01-03",2000
"2","2007-01-04",2000
"3","2007-01-05",1976.666626
"4","2007-01-08",1850
"5","2007-01-09",1900
"6","2007-01-10",1800
"7","2007-01-11",1773.333374
"8","2007-01-12",1720
"9","2007-01-16",1720
"10","2007-01-17",1700
"11","2007-01-18",1666.666626
"12","2007-01-19",1666.666626
"13","2007-01-22",1636.666626
"14","2007-01-23",1550
"15","2007-01-24",1600
"16","2007-01-25",1553.333374
"17","2007-01-26",1663.333374
"18","2007-01-29",1633.333374
"19","2007-01-30",1623.333374
"20","2007-01-31",1606.666626
"21","2007-02-01",1600
"22","2007-02-02",1586.666626
"23","2007-02-05",1640
"24","2007-02-06",1683.333374
"25","2007-02-07",1586.666626
"26","2007-02-08",1513.333374
"27","2007-02-09",1473.333374
"28","2007-02-12",1436.666626
"29","2007-02-13",1423.333374
"30","2007-02-14",1483.333374
"31","2007-02-15",1513.333374
"32","2007-02-16",1460
"33","2007-02-20",1500
"34","2007-02-21",1666.666626
"35","2007-02-22",1666.666626
"36","2007-02-23",1636.666626
"37","2007-02-26",1633.333374
"38","2007-02-27",1566.666626
"39","2007-02-28",1506.666626
"40","2007-03-01",1500
"41","2007-03-02",1510
"42","2007-03-05",1426.666626
"43","2007-03-06",1500
"44","2007-03-07",1400
"45","2007-03-08",1400
"46","2007-03-09",1400
"47","2007-03-12",1380
"48","2007-03-13",1416.666626
"49","2007-03-14",1453.333374
"50","2007-03-15",1450
"51","2007-03-16",1450
"52","2007-03-19",1436.666626
"53","2007-03-20",1433.333374
"54","2007-03-21",1433.333374
"55","2007-03-22",1366.666626
"56","2007-03-23",1370
"57","2007-03-26",1370
"58","2007-03-27",1333.333374
"59","2007-03-28",1333.333374
"60","2007-03-29",1346.666626
"61","2007-03-30",1383.333374
"62","2007-04-02",1383.333374
"63","2007-04-03",1770
"64","2007-04-04",1983.333374
"65","2007-04-05",1910
"66","2007-04-09",1893.333374
"67","2007-04-10",1900
"68","2007-04-11",1866.666626
"69","2007-04-12",1786.666626
"70","2007-04-13",1820
"71","2007-04-16",2000
"72","2007-04-17",1953.333374
"73","2007-04-18",1903.333374
"74","2007-04-19",1906.666626
"75","2007-04-20",1766.666626
"76","2007-04-23",1633.333374
"77","2007-04-24",1686.666626
"78","2007-04-25",1650
"79","2007-04-26",1666.666626
"80","2007-04-27",1666.666626
"81","2007-04-30",1733.333374
"82","2007-05-01",1700
"83","2007-05-02",1733.333374
"84","2007-05-03",1680
"85","2007-05-04",1700
"86","2007-05-07",1673.333374
"87","2007-05-08",1800
"88","2007-05-09",1656.666626
"89","2007-05-10",1566.666626
"90","2007-05-11",1563.333374
"91","2007-05-14",1450
"92","2007-05-15",1450
"93","2007-05-16",1353.333374
"94","2007-05-17",1670
"95","2007-05-18",1700
"96","2007-05-21",1666.666626
"97","2007-05-22",1646.666626
"98","2007-05-23",1580
"99","2007-05-24",1570
"100","2007-05-25",1600
"101","2007-05-29",1666.666626
"102","2007-05-30",1726.666626
"103","2007-05-31",1750
"104","2007-06-01",1666.666626
"105","2007-06-04",1586.666626
"106","2007-06-05",1586.666626
"107","2007-06-06",1600
"108","2007-06-07",1666.666626
"109","2007-06-08",1616.666626
"110","2007-06-11",1620
"111","2007-06-12",1613.333374
"112","2007-06-13",1720
"113","2007-06-14",1650
"114","2007-06-15",1630
"115","2007-06-18",1823.333374
"116","2007-06-19",1833.333374
"117","2007-06-20",1793.333374
"118","2007-06-21",1833.333374
"119","2007-06-22",1783.333374
"120","2007-06-25",1813.333374
"121","2007-06-26",1846.666626
"122","2007-06-27",1786.666626
"123","2007-06-28",1666.666626
"124","2007-06-29",1680
"125","2007-07-02",1686.666626
"126","2007-07-03",1716.666626
"127","2007-07-05",1770
"128","2007-07-06",1753.333374
"129","2007-07-09",1796.666626
"130","2007-07-10",1796.666626
"131","2007-07-11",1800
"132","2007-07-12",1706.666626
"133","2007-07-13",1666.666626
"134","2007-07-16",1666.666626
"135","2007-07-17",1666.666626
"136","2007-07-18",1676.666626
"137","2007-07-19",1690
"138","2007-07-20",1683.333374
"139","2007-07-23",1653.333374
"140","2007-07-24",1623.333374
"141","2007-07-25",1633.333374
"142","2007-07-26",1700
"143","2007-07-27",1666.666626
"144","2007-07-30",1490
"145","2007-07-31",1400
"146","2007-08-01",1200
"147","2007-08-02",1490
"148","2007-08-03",1646.666626
"149","2007-08-06",1503.333374
"150","2007-08-07",1483.333374
"151","2007-08-08",1550
"152","2007-08-09",1526.666626
"153","2007-08-10",1503.333374
"154","2007-08-13",1586.666626
"155","2007-08-14",1516.666626
"156","2007-08-15",1503.333374
"157","2007-08-16",1530
"158","2007-08-17",1516.666626
"159","2007-08-20",1456.666626
"160","2007-08-21",1376.666626
"161","2007-08-22",1560
"162","2007-08-23",1560
"163","2007-08-24",1446.666626
"164","2007-08-27",1426.666626
"165","2007-08-28",1420
"166","2007-08-29",1366.666626
"167","2007-08-30",1336.666626
"168","2007-08-31",1383.333374
"169","2007-09-04",1476.666626
"170","2007-09-05",1360
"171","2007-09-06",1333.333374
"172","2007-09-07",1333.333374
"173","2007-09-10",1350
"174","2007-09-11",1346.666626
"175","2007-09-12",1373.333374
"176","2007-09-13",1320
"177","2007-09-14",1410
"178","2007-09-17",1323.333374
"179","2007-09-18",1353.333374
"180","2007-09-19",1316.666626
"181","2007-09-20",1370
"182","2007-09-21",1340
"183","2007-09-24",1350
"184","2007-09-25",1406.666626
"185","2007-09-26",1450
"186","2007-09-27",1400
"187","2007-09-28",1333.333374
"188","2007-10-01",1333.333374
"189","2007-10-02",1256.666626
"190","2007-10-03",1243.333374
"191","2007-10-04",1303.333374
"192","2007-10-05",1303.333374
"193","2007-10-08",1283.333374
"194","2007-10-09",1283.333374
"195","2007-10-10",1316.666626
"196","2007-10-11",1250
"197","2007-10-12",1223.333374
"198","2007-10-15",1226.666626
"199","2007-10-16",1300
"200","2007-10-17",1423.333374
"201","2007-10-18",1363.333374
"202","2007-10-19",1460
"203","2007-10-22",1300
"204","2007-10-23",1330
"205","2007-10-24",1370
"206","2007-10-25",1306.666626
"207","2007-10-26",1320
"208","2007-10-29",1303.333374
"209","2007-10-30",1263.333374
"210","2007-10-31",1310
"211","2007-11-01",1310
"212","2007-11-02",1260
"213","2007-11-05",1110
"214","2007-11-06",1096.666626
"215","2007-11-07",940
"216","2007-11-08",896.666687
"217","2007-11-09",933.333313
"218","2007-11-12",883.333313
"219","2007-11-13",883.333313
"220","2007-11-14",886.666687
"221","2007-11-15",866.666687
"222","2007-11-16",903.333313
"223","2007-11-19",903.333313
"224","2007-11-20",883.333313
"225","2007-11-21",866.666687
"226","2007-11-23",993.333313
"227","2007-11-26",1033.333374
"228","2007-11-27",1226.666626
"229","2007-11-28",1056.666626
"230","2007-11-29",940
"231","2007-11-30",970
"232","2007-12-03",1010
"233","2007-12-04",1000
"234","2007-12-05",986.666687
"235","2007-12-06",926.666687
"236","2007-12-07",933.333313
"237","2007-12-10",936.666687
"238","2007-12-11",863.333313
"239","2007-12-12",836.666687
"240","2007-12-13",750
"241","2007-12-14",980
"242","2007-12-17",883.333313
"243","2007-12-18",800
"244","2007-12-19",896.666687
"245","2007-12-20",776.666687
"246","2007-12-21",736.666687
"247","2007-12-24",803.333313
"248","2007-12-26",796.666687
"249","2007-12-27",716.666687
"250","2007-12-28",786.666687
"251","2007-12-31",810
"252","2008-01-02",726.666687
"253","2008-01-03",756.666687
"254","2008-01-04",780
"255","2008-01-07",723.333313
"256","2008-01-08",726.666687
"257","2008-01-09",723.333313
"258","2008-01-10",730
"259","2008-01-11",730
"260","2008-01-14",670
"261","2008-01-15",670
"262","2008-01-16",670
"263","2008-01-17",680
"264","2008-01-18",803.333313
"265","2008-01-22",703.333313
"266","2008-01-23",1146.666626
"267","2008-01-24",1000
"268","2008-01-25",920
"269","2008-01-28",766.666687
"270","2008-01-29",976.666687
"271","2008-01-30",976.666687
"272","2008-01-31",1000
"273","2008-02-01",1000
"274","2008-02-04",1000
"275","2008-02-05",1000
"276","2008-02-06",876.666687
"277","2008-02-07",876.666687
"278","2008-02-08",963.333313
"279","2008-02-11",770
"280","2008-02-12",810
"281","2008-02-13",633.333313
"282","2008-02-14",570
"283","2008-02-15",583.333313
"284","2008-02-19",556.666687
"285","2008-02-20",583.333313
"286","2008-02-21",566.666687
"287","2008-02-22",550
"288","2008-02-25",550
"289","2008-02-26",536.666687
"290","2008-02-27",530
"291","2008-02-28",520
"292","2008-02-29",513.333313
"293","2008-03-03",450
"294","2008-03-04",356.666656
"295","2008-03-05",400
"296","2008-03-06",403.333344
"297","2008-03-07",373.333344
"298","2008-03-10",356.666656
"299","2008-03-11",376.666656
"300","2008-03-12",366.666656
"301","2008-03-13",366.666656
"302","2008-03-14",393.333344
"303","2008-03-17",353.333344
"304","2008-03-18",350
"305","2008-03-19",383.333344
"306","2008-03-20",333.333344
"307","2008-03-24",500
"308","2008-03-25",513.333313
"309","2008-03-26",416.666656
"310","2008-03-27",423.333344
"311","2008-03-28",500
"312","2008-03-31",496.666656
"313","2008-04-01",496.666656
"314","2008-04-02",420
"315","2008-04-03",383.333344
"316","2008-04-04",490
"317","2008-04-07",466.666656
"318","2008-04-08",466.666656
"319","2008-04-09",430
"320","2008-04-10",416.666656
"321","2008-04-11",423.333344
"322","2008-04-14",373.333344
"323","2008-04-15",426.666656
"324","2008-04-16",353.333344
"325","2008-04-17",386.666656
"326","2008-04-18",366.666656
"327","2008-04-21",360
"328","2008-04-22",383.333344
"329","2008-04-23",373.333344
"330","2008-04-24",366.666656
"331","2008-04-25",360
"332","2008-04-28",336.666656
"333","2008-04-29",383.333344
"334","2008-04-30",423.333344
"335","2008-05-01",480
"336","2008-05-02",380
"337","2008-05-05",366.666656
"338","2008-05-06",363.333344
"339","2008-05-07",346.666656
"340","2008-05-08",353.333344
"341","2008-05-09",336.666656
"342","2008-05-12",333.333344
"343","2008-05-13",333.333344
"344","2008-05-14",336.666656
"345","2008-05-15",326.666656
"346","2008-05-16",353.333344
"347","2008-05-19",303.333344
"348","2008-05-20",286.666656
"349","2008-05-21",323.333344
"350","2008-05-22",296.666656
"351","2008-05-23",293.333344
"352","2008-05-27",296.666656
"353","2008-05-28",293.333344
"354","2008-05-29",300
"355","2008-05-30",400
"356","2008-06-02",313.333344
"357","2008-06-03",313.333344
"358","2008-06-04",300
"359","2008-06-05",260
"360","2008-06-06",266.666656
"361","2008-06-09",293.333344
"362","2008-06-10",306.666656
"363","2008-06-11",300
"364","2008-06-12",333.333344
"365","2008-06-13",350
"366","2008-06-16",336.666656
"367","2008-06-17",343.333344
"368","2008-06-18",333.333344
"369","2008-06-19",336.666656
"370","2008-06-20",340
"371","2008-06-23",350
"372","2008-06-24",346.666656
"373","2008-06-25",350
"374","2008-06-26",390
"375","2008-06-27",396.666656
"376","2008-06-30",363.333344
"377","2008-07-01",373.333344
"378","2008-07-02",396.666656
"379","2008-07-03",390
"380","2008-07-07",416.666656
"381","2008-07-08",500
"382","2008-07-09",500
"383","2008-07-10",500
"384","2008-07-11",500
"385","2008-07-14",466.666656
"386","2008-07-15",466.666656
"387","2008-07-16",450
"388","2008-07-17",470
"389","2008-07-18",460
"390","2008-07-21",483.333344
"391","2008-07-22",466.666656
