"","date","DPHCU"
"1","2019-02-28",10
"2","2019-03-01",10
"3","2019-03-04",10
"4","2019-03-05",10
"5","2019-03-06",10
"6","2019-03-07",10
"7","2019-03-08",10
"8","2019-03-11",10.01
"9","2019-03-12",10.02
"10","2019-03-13",10
"11","2019-03-14",10
"12","2019-03-15",10
"13","2019-03-18",10
"14","2019-03-19",10
"15","2019-03-20",10.01
"16","2019-03-21",10
"17","2019-03-22",9.986
"18","2019-03-25",10
"19","2019-03-26",10
"20","2019-03-27",10
"21","2019-03-28",10.02
"22","2019-03-29",10.02
"23","2019-04-01",10.02
"24","2019-04-02",10.02
"25","2019-04-03",10.05
"26","2019-04-04",10.02
"27","2019-04-05",10.01
"28","2019-04-08",10.01
"29","2019-04-09",10.04
"30","2019-04-10",10.04
"31","2019-04-11",10.04
"32","2019-04-12",10.04
"33","2019-04-15",10.04
"34","2019-04-16",10.05
"35","2019-04-17",10.05
"36","2019-04-18",10.05
"37","2019-04-22",10.05
"38","2019-04-23",10.05
"39","2019-04-24",10.05
"40","2019-04-25",10.04
"41","2019-04-26",10.04
"42","2019-04-29",10.04
"43","2019-04-30",10.05
"44","2019-05-01",10.05
"45","2019-05-02",10.045
"46","2019-05-03",10.05
"47","2019-05-06",10.04
"48","2019-05-07",10.04
"49","2019-05-08",10.04
"50","2019-05-09",10.05
"51","2019-05-10",10.05
"52","2019-05-13",10.05
"53","2019-05-14",10.08
"54","2019-05-15",10.08
"55","2019-05-16",10.08
"56","2019-05-17",10.08
"57","2019-05-20",10.08
"58","2019-05-21",10.08
"59","2019-05-22",10.08
"60","2019-05-23",10.08
"61","2019-05-24",10.08
"62","2019-05-28",10.08
"63","2019-05-29",10.05
"64","2019-05-30",10.05
"65","2019-05-31",10.05
"66","2019-06-03",10.05
"67","2019-06-04",10.05
"68","2019-06-05",10.05
"69","2019-06-06",10.05
"70","2019-06-07",10.05
"71","2019-06-10",10.05
"72","2019-06-11",10.04
"73","2019-06-12",10.04
"74","2019-06-13",10.04
"75","2019-06-14",10.04
"76","2019-06-17",10.04
"77","2019-06-18",10.04
"78","2019-06-19",10.04
"79","2019-06-20",10.04
"80","2019-06-21",10.04
"81","2019-06-24",10.04
"82","2019-06-25",10.04
"83","2019-06-26",10.04
"84","2019-06-27",10.04
"85","2019-06-28",10.04
"86","2019-07-01",10.04
"87","2019-07-02",10.07
"88","2019-07-03",10.1
"89","2019-07-05",10.12
"90","2019-07-08",10.12
"91","2019-07-09",10.12
"92","2019-07-10",10.12
"93","2019-07-11",10.12
"94","2019-07-12",10.15
"95","2019-07-15",10.15
