"","date","EQOS"
"1","2020-04-03",10.08
"2","2020-04-06",10.08
"3","2020-04-07",10.06
"4","2020-04-08",10.1
"5","2020-04-09",10.08
"6","2020-04-13",10.12
"7","2020-04-14",10.14
"8","2020-04-15",10.14
"9","2020-04-16",10.14
"10","2020-04-17",10.17
"11","2020-04-20",10.295
"12","2020-04-21",10.17
"13","2020-04-22",10.17
"14","2020-04-23",10.17
"15","2020-04-24",10.17
"16","2020-04-27",10.174
"17","2020-04-28",10.16
"18","2020-04-29",10.22
"19","2020-04-30",10.18
"20","2020-05-01",10.18
"21","2020-05-04",10.18
"22","2020-05-05",10.18
"23","2020-05-06",10.17
"24","2020-05-07",10.16
"25","2020-05-08",10.16
"26","2020-05-11",10.16
"27","2020-05-12",9.798
"28","2020-05-13",9.975
"29","2020-05-14",10.02
"30","2020-05-15",10.02
"31","2020-05-18",10.02
"32","2020-05-19",10.02
"33","2020-05-20",10.02
"34","2020-05-21",10.02
"35","2020-05-22",10.23
"36","2020-05-26",10.23
"37","2020-05-27",10.03
"38","2020-05-28",10.23
"39","2020-05-29",NA
"40","2020-06-01",NA
"41","2020-06-02",NA
"42","2020-06-03",NA
"43","2020-06-04",NA
"44","2020-06-05",NA
"45","2020-06-08",NA
"46","2020-06-09",NA
"47","2020-06-10",NA
"48","2020-06-11",NA
"49","2020-06-12",NA
"50","2020-06-15",NA
"51","2020-06-16",NA
"52","2020-06-17",NA
"53","2020-06-18",NA
"54","2020-06-19",NA
"55","2020-06-22",NA
"56","2020-06-23",NA
"57","2020-06-24",NA
"58","2020-06-25",NA
"59","2020-06-26",NA
"60","2020-06-29",NA
"61","2020-06-30",NA
"62","2020-07-01",NA
"63","2020-07-02",NA
"64","2020-07-06",NA
"65","2020-07-07",NA
"66","2020-07-08",NA
"67","2020-07-09",NA
"68","2020-07-10",NA
"69","2020-07-13",NA
"70","2020-07-14",NA
"71","2020-07-15",NA
"72","2020-07-16",NA
"73","2020-07-17",NA
"74","2020-07-20",NA
"75","2020-07-21",NA
"76","2020-07-22",NA
"77","2020-07-23",NA
"78","2020-07-24",NA
"79","2020-07-27",NA
"80","2020-07-28",NA
"81","2020-07-29",NA
"82","2020-07-30",NA
"83","2020-07-31",NA
"84","2020-08-03",NA
"85","2020-08-04",NA
"86","2020-08-05",NA
"87","2020-08-06",NA
"88","2020-08-07",NA
"89","2020-08-10",NA
"90","2020-08-11",NA
"91","2020-08-12",NA
"92","2020-08-13",NA
"93","2020-08-14",NA
"94","2020-08-17",NA
"95","2020-08-18",NA
"96","2020-08-19",NA
"97","2020-08-20",NA
"98","2020-08-21",NA
"99","2020-08-24",NA
"100","2020-08-25",NA
"101","2020-08-26",NA
"102","2020-08-27",NA
"103","2020-08-28",NA
"104","2020-08-31",NA
"105","2020-09-01",NA
"106","2020-09-02",NA
"107","2020-09-03",NA
"108","2020-09-04",NA
"109","2020-09-08",NA
"110","2020-09-09",NA
"111","2020-09-10",NA
"112","2020-09-11",NA
"113","2020-09-14",NA
"114","2020-09-15",NA
"115","2020-09-16",NA
"116","2020-09-17",NA
"117","2020-09-18",NA
"118","2020-09-21",NA
"119","2020-09-22",NA
"120","2020-09-23",NA
"121","2020-09-24",NA
"122","2020-09-25",NA
"123","2020-09-28",NA
"124","2020-09-29",NA
"125","2020-09-30",NA
"126","2020-10-01",NA
"127","2020-10-02",6.8
"128","2020-10-05",7.23
"129","2020-10-06",7
"130","2020-10-07",5.38
"131","2020-10-08",5.75
"132","2020-10-09",5.22
"133","2020-10-12",5.86
"134","2020-10-13",6.27
"135","2020-10-14",7.04
"136","2020-10-15",7.3
"137","2020-10-16",7.51
"138","2020-10-19",8.01
"139","2020-10-20",8
"140","2020-10-21",7.69
"141","2020-10-22",7.92
"142","2020-10-23",7.96
"143","2020-10-26",7.26
"144","2020-10-27",7.5
"145","2020-10-28",6.97
"146","2020-10-29",7.2
"147","2020-10-30",6.92
"148","2020-11-02",6.759
"149","2020-11-03",6.625
"150","2020-11-04",6.8
"151","2020-11-05",7.5
"152","2020-11-06",7.676
"153","2020-11-09",7.68
"154","2020-11-10",7.1
"155","2020-11-11",7.7
"156","2020-11-12",7.25
"157","2020-11-13",7.15
"158","2020-11-16",7.1
"159","2020-11-17",7.6
"160","2020-11-18",7.6
"161","2020-11-19",7.28
"162","2020-11-20",8.35
"163","2020-11-23",9.17
"164","2020-11-24",9.36
"165","2020-11-25",9.41
"166","2020-11-27",9.45
