"","date","LEG"
"1","2007-01-03",23.610001
"2","2007-01-04",23.540001
"3","2007-01-05",23.459999
"4","2007-01-08",23.459999
"5","2007-01-09",23.440001
"6","2007-01-10",23.49
"7","2007-01-11",23.85
"8","2007-01-12",23.84
"9","2007-01-16",23.709999
"10","2007-01-17",23.76
"11","2007-01-18",24.01
"12","2007-01-19",24.15
"13","2007-01-22",23.950001
"14","2007-01-23",24.139999
"15","2007-01-24",24.42
"16","2007-01-25",24.15
"17","2007-01-26",23.42
"18","2007-01-29",23.540001
"19","2007-01-30",23.83
"20","2007-01-31",24.24
"21","2007-02-01",24.35
"22","2007-02-02",24.48
"23","2007-02-05",24.120001
"24","2007-02-06",24.43
"25","2007-02-07",24.33
"26","2007-02-08",24.040001
"27","2007-02-09",24.129999
"28","2007-02-12",24.209999
"29","2007-02-13",24.32
"30","2007-02-14",24.41
"31","2007-02-15",24.469999
"32","2007-02-16",24.379999
"33","2007-02-20",24.450001
"34","2007-02-21",24.309999
"35","2007-02-22",24.18
"36","2007-02-23",24.24
"37","2007-02-26",24.07
"38","2007-02-27",23.870001
"39","2007-02-28",23.809999
"40","2007-03-01",24
"41","2007-03-02",23.870001
"42","2007-03-05",23.629999
"43","2007-03-06",23.73
"44","2007-03-07",24.02
"45","2007-03-08",24.16
"46","2007-03-09",23.809999
"47","2007-03-12",23.65
"48","2007-03-13",23.08
"49","2007-03-14",23.120001
"50","2007-03-15",23.24
"51","2007-03-16",23.040001
"52","2007-03-19",23.110001
"53","2007-03-20",23.219999
"54","2007-03-21",23.549999
"55","2007-03-22",23.379999
"56","2007-03-23",23.379999
"57","2007-03-26",22.98
"58","2007-03-27",22.610001
"59","2007-03-28",22.280001
"60","2007-03-29",22.51
"61","2007-03-30",22.67
"62","2007-04-02",22.440001
"63","2007-04-03",22.99
"64","2007-04-04",22.74
"65","2007-04-05",23
"66","2007-04-09",23.120001
"67","2007-04-10",23.25
"68","2007-04-11",23.08
"69","2007-04-12",23.43
"70","2007-04-13",23.08
"71","2007-04-16",23.360001
"72","2007-04-17",23.059999
"73","2007-04-18",23.370001
"74","2007-04-19",23.440001
"75","2007-04-20",23.5
"76","2007-04-23",23.209999
"77","2007-04-24",23.459999
"78","2007-04-25",23.85
"79","2007-04-26",23.790001
"80","2007-04-27",23.84
"81","2007-04-30",23.52
"82","2007-05-01",23.700001
"83","2007-05-02",23.860001
"84","2007-05-03",23.6
"85","2007-05-04",23.799999
