"","date","PTRS"
"1","2017-06-27",12.5
"2","2017-06-28",12.5
"3","2017-06-29",12.5
"4","2017-06-30",12.5
"5","2017-07-03",12.5
"6","2017-07-05",12.5
"7","2017-07-06",12.5
"8","2017-07-07",12.5
"9","2017-07-10",12.5
"10","2017-07-11",12.5
"11","2017-07-12",12.5
"12","2017-07-13",12.5
"13","2017-07-14",12.5
"14","2017-07-17",12.5
"15","2017-07-18",12.5
"16","2017-07-19",12.5
"17","2017-07-20",12.5
"18","2017-07-21",12.5
"19","2017-07-24",12.5
"20","2017-07-25",12.5
"21","2017-07-26",12.75
"22","2017-07-27",12.75
"23","2017-07-28",12.75
"24","2017-07-31",12.75
"25","2017-08-01",12.75
"26","2017-08-02",12.75
"27","2017-08-03",12.75
"28","2017-08-04",12.75
"29","2017-08-07",12.75
"30","2017-08-08",12.12
"31","2017-08-09",12.22
"32","2017-08-10",12.1
"33","2017-08-11",12.1
"34","2017-08-14",12.1
"35","2017-08-15",12.1
"36","2017-08-16",12.1
"37","2017-08-17",12.1
"38","2017-08-18",11.99
"39","2017-08-21",11.7
"40","2017-08-22",11.4
"41","2017-08-23",11.4
"42","2017-08-24",11.41
"43","2017-08-25",11.45
"44","2017-08-28",11.45
"45","2017-08-29",11.45
"46","2017-08-30",11.45
"47","2017-08-31",11.45
"48","2017-09-01",11.45
"49","2017-09-05",11.45
"50","2017-09-06",11.45
"51","2017-09-07",11.45
"52","2017-09-08",11.45
"53","2017-09-11",11.45
"54","2017-09-12",12.25
"55","2017-09-13",11.45
"56","2017-09-14",11.5
"57","2017-09-15",12.25
"58","2017-09-18",12.25
"59","2017-09-19",12.25
"60","2017-09-20",12.25
"61","2017-09-21",12.25
"62","2017-09-22",12.25
"63","2017-09-25",12.25
"64","2017-09-26",12.25
"65","2017-09-27",12
"66","2017-09-28",12
"67","2017-09-29",12
"68","2017-10-02",12
"69","2017-10-03",12
"70","2017-10-04",12.25
"71","2017-10-05",12.25
"72","2017-10-06",12
"73","2017-10-09",12
"74","2017-10-10",12
"75","2017-10-11",12
"76","2017-10-12",12
"77","2017-10-13",11.75
"78","2017-10-16",11.75
"79","2017-10-17",12
"80","2017-10-18",11.75
"81","2017-10-19",11.75
"82","2017-10-20",11.75
"83","2017-10-23",11.75
"84","2017-10-24",11.75
"85","2017-10-25",11.75
"86","2017-10-26",11.875
"87","2017-10-27",12
"88","2017-10-30",12
"89","2017-10-31",12
"90","2017-11-01",12.25
"91","2017-11-02",12.25
"92","2017-11-03",12.02
"93","2017-11-06",12.02
"94","2017-11-07",12.02
"95","2017-11-08",12.02
"96","2017-11-09",12.02
"97","2017-11-10",12.02
"98","2017-11-13",12.02
"99","2017-11-14",12.02
"100","2017-11-15",12.02
"101","2017-11-16",12.02
"102","2017-11-17",12.02
"103","2017-11-20",12.02
"104","2017-11-21",12.05
"105","2017-11-22",12.05
"106","2017-11-24",12.05
"107","2017-11-27",12.05
"108","2017-11-28",12.05
"109","2017-11-29",12.69
"110","2017-11-30",12.95
"111","2017-12-01",12.95
"112","2017-12-04",12.95
"113","2017-12-05",12.89
"114","2017-12-06",13.1
"115","2017-12-07",13.1
"116","2017-12-08",13.1
"117","2017-12-11",13.1
"118","2017-12-12",13.25
"119","2017-12-13",13.25
"120","2017-12-14",13.05
"121","2017-12-15",13.05
"122","2017-12-18",13.05
"123","2017-12-19",13.05
"124","2017-12-20",13.05
"125","2017-12-21",13.05
"126","2017-12-22",12.78
"127","2017-12-26",12.78
"128","2017-12-27",12.4
"129","2017-12-28",12.4
"130","2017-12-29",12.4
"131","2018-01-02",12.4
"132","2018-01-03",12.4
"133","2018-01-04",12.4
"134","2018-01-05",12.4
"135","2018-01-08",12.4
"136","2018-01-09",12.4
"137","2018-01-10",12.4
"138","2018-01-11",12.4
"139","2018-01-12",12.4
"140","2018-01-16",12.4
"141","2018-01-17",12.4
"142","2018-01-18",12.4
"143","2018-01-19",12.4
"144","2018-01-22",12.4
"145","2018-01-23",12.4
"146","2018-01-24",12.4
"147","2018-01-25",12.4
"148","2018-01-26",12.4
"149","2018-01-29",12.4
"150","2018-01-30",12.4
"151","2018-01-31",12.4
"152","2018-02-01",12.4
"153","2018-02-02",12.4
"154","2018-02-05",12.4
"155","2018-02-06",12.4
"156","2018-02-07",12.4
