"","date","DAN"
"1","2008-01-02",14
"2","2008-01-03",14
"3","2008-01-04",14
"4","2008-01-07",14
"5","2008-01-08",14
"6","2008-01-09",14
"7","2008-01-10",14
"8","2008-01-11",14
"9","2008-01-14",14
"10","2008-01-15",14
"11","2008-01-16",14
"12","2008-01-17",14
"13","2008-01-18",14
"14","2008-01-22",14
"15","2008-01-23",14
"16","2008-01-24",14
"17","2008-01-25",14
"18","2008-01-28",14
"19","2008-01-29",14
"20","2008-01-30",14
"21","2008-01-31",14
"22","2008-02-01",12.7
"23","2008-02-04",12.75
"24","2008-02-05",11.95
"25","2008-02-06",12.4
"26","2008-02-07",11.8
"27","2008-02-08",11.46
"28","2008-02-11",10.23
"29","2008-02-12",10.25
"30","2008-02-13",10.65
"31","2008-02-14",11.15
"32","2008-02-15",11.75
"33","2008-02-19",11.5
"34","2008-02-20",11.35
"35","2008-02-21",11.45
"36","2008-02-22",11.45
"37","2008-02-25",11.5
"38","2008-02-26",11.65
"39","2008-02-27",12
"40","2008-02-28",11.85
"41","2008-02-29",11.8
"42","2008-03-03",11.6
"43","2008-03-04",11.83
"44","2008-03-05",11.8
"45","2008-03-06",11.38
"46","2008-03-07",11.3
"47","2008-03-10",11
"48","2008-03-11",9.9
"49","2008-03-12",10.05
"50","2008-03-13",10
"51","2008-03-14",9.9
"52","2008-03-17",9.42
"53","2008-03-18",9.19
"54","2008-03-19",8.92
"55","2008-03-20",8.78
"56","2008-03-24",9.25
"57","2008-03-25",9.42
"58","2008-03-26",9.35
"59","2008-03-27",9.8
"60","2008-03-28",10.06
"61","2008-03-31",10
"62","2008-04-01",10.25
"63","2008-04-02",10.08
"64","2008-04-03",10.25
"65","2008-04-04",10.2
"66","2008-04-07",10.25
"67","2008-04-08",10.5
"68","2008-04-09",10.4
"69","2008-04-10",10.55
"70","2008-04-11",10.33
"71","2008-04-14",10.29
"72","2008-04-15",10.01
"73","2008-04-16",10
"74","2008-04-17",10.31
"75","2008-04-18",10.66
"76","2008-04-21",10.12
"77","2008-04-22",10.3
"78","2008-04-23",10.13
"79","2008-04-24",10.3
"80","2008-04-25",10.65
"81","2008-04-28",11.2
"82","2008-04-29",12.1
"83","2008-04-30",11.96
"84","2008-05-01",12.2
"85","2008-05-02",12.21
"86","2008-05-05",11.93
"87","2008-05-06",11.68
"88","2008-05-07",11.41
"89","2008-05-08",11.33
"90","2008-05-09",11.44
"91","2008-05-12",11.7
"92","2008-05-13",12.25
"93","2008-05-14",12.16
"94","2008-05-15",12.23
"95","2008-05-16",12.13
"96","2008-05-19",11.86
"97","2008-05-20",11.8
"98","2008-05-21",11.55
"99","2008-05-22",10.58
"100","2008-05-23",10.59
"101","2008-05-27",10.46
"102","2008-05-28",10.43
"103","2008-05-29",10.49
"104","2008-05-30",10.6
"105","2008-06-02",10.51
"106","2008-06-03",10.3
"107","2008-06-04",10.25
"108","2008-06-05",10.18
"109","2008-06-06",10.09
"110","2008-06-09",9.76
"111","2008-06-10",9.49
"112","2008-06-11",8.8
"113","2008-06-12",9
"114","2008-06-13",8.87
"115","2008-06-16",8.91
"116","2008-06-17",8.76
"117","2008-06-18",8.64
"118","2008-06-19",8.02
"119","2008-06-20",7.1
"120","2008-06-23",6.6
"121","2008-06-24",6.21
"122","2008-06-25",6.24
"123","2008-06-26",5.5
"124","2008-06-27",5.45
"125","2008-06-30",5.35
"126","2008-07-01",5.28
"127","2008-07-02",5.29
"128","2008-07-03",5
"129","2008-07-07",4.95
"130","2008-07-08",5.77
"131","2008-07-09",5.52
"132","2008-07-10",5.73
"133","2008-07-11",6.08
