"","date","CCNC"
"1","2015-12-29",4.75
"2","2015-12-30",4.75
"3","2015-12-31",4.75
"4","2016-01-04",4.75
"5","2016-01-05",4.75
"6","2016-01-06",4.75
"7","2016-01-07",4.75
"8","2016-01-08",4.75
"9","2016-01-11",4.75
"10","2016-01-12",4.75
"11","2016-01-13",4.75
"12","2016-01-14",4.75
"13","2016-01-15",4.75
"14","2016-01-19",4.75
"15","2016-01-20",4.75
"16","2016-01-21",4.75
"17","2016-01-22",4.735
"18","2016-01-25",4.735
"19","2016-01-26",4.735
"20","2016-01-27",4.735
"21","2016-01-28",4.735
"22","2016-01-29",4.735
"23","2016-02-01",4.735
"24","2016-02-02",4.735
"25","2016-02-03",4.735
"26","2016-02-04",4.735
"27","2016-02-05",4.735
"28","2016-02-08",4.735
"29","2016-02-09",4.735
"30","2016-02-10",4.735
"31","2016-02-11",4.735
"32","2016-02-12",4.735
"33","2016-02-16",4.735
"34","2016-02-17",4.735
"35","2016-02-18",4.735
"36","2016-02-19",4.735
"37","2016-02-22",4.735
"38","2016-02-23",4.735
"39","2016-02-24",4.735
"40","2016-02-25",4.735
"41","2016-02-26",4.72
"42","2016-02-29",4.72
"43","2016-03-01",4.735
"44","2016-03-02",4.735
"45","2016-03-03",4.735
"46","2016-03-04",4.735
"47","2016-03-07",4.735
"48","2016-03-08",4.735
"49","2016-03-09",4.735
"50","2016-03-10",4.735
"51","2016-03-11",4.735
"52","2016-03-14",4.735
"53","2016-03-15",4.735
"54","2016-03-16",4.735
"55","2016-03-17",4.735
"56","2016-03-18",4.735
"57","2016-03-21",4.735
"58","2016-03-22",4.735
"59","2016-03-23",4.79
"60","2016-03-24",4.79
"61","2016-03-28",4.79
"62","2016-03-29",4.79
"63","2016-03-30",4.79
"64","2016-03-31",4.79
"65","2016-04-01",4.79
"66","2016-04-04",4.79
"67","2016-04-05",4.79
"68","2016-04-06",4.79
"69","2016-04-07",4.79
"70","2016-04-08",4.79
"71","2016-04-11",4.79
"72","2016-04-12",4.79
"73","2016-04-13",4.79
"74","2016-04-14",4.775
"75","2016-04-15",4.775
"76","2016-04-18",4.775
"77","2016-04-19",4.775
"78","2016-04-20",4.775
"79","2016-04-21",4.775
"80","2016-04-22",4.775
"81","2016-04-25",4.775
"82","2016-04-26",4.775
"83","2016-04-27",4.775
"84","2016-04-28",4.775
"85","2016-04-29",4.775
"86","2016-05-02",4.775
"87","2016-05-03",4.775
"88","2016-05-04",4.775
"89","2016-05-05",4.775
"90","2016-05-06",4.775
"91","2016-05-09",4.775
"92","2016-05-10",4.775
"93","2016-05-11",4.775
"94","2016-05-12",4.775
"95","2016-05-13",4.775
"96","2016-05-16",4.775
"97","2016-05-17",4.85
"98","2016-05-18",4.85
"99","2016-05-19",4.83
"100","2016-05-20",4.83
"101","2016-05-23",4.83
"102","2016-05-24",4.85
"103","2016-05-25",4.85
"104","2016-05-26",4.85
"105","2016-05-27",4.82
"106","2016-05-31",4.82
"107","2016-06-01",4.85
"108","2016-06-02",4.85
"109","2016-06-03",4.85
"110","2016-06-06",4.85
"111","2016-06-07",4.86
"112","2016-06-08",4.86
"113","2016-06-09",4.875
"114","2016-06-10",4.875
"115","2016-06-13",4.89
"116","2016-06-14",4.89
"117","2016-06-15",4.89
"118","2016-06-16",4.89
"119","2016-06-17",4.89
"120","2016-06-20",4.89
"121","2016-06-21",4.89
"122","2016-06-22",4.89
"123","2016-06-23",4.89
"124","2016-06-24",4.89
"125","2016-06-27",4.89
"126","2016-06-28",4.89
"127","2016-06-29",4.875
"128","2016-06-30",4.875
"129","2016-07-01",4.875
"130","2016-07-05",4.875
"131","2016-07-06",4.875
"132","2016-07-07",4.875
"133","2016-07-08",4.89
"134","2016-07-11",4.89
"135","2016-07-12",4.89
"136","2016-07-13",4.89
"137","2016-07-14",4.89
"138","2016-07-15",4.89
"139","2016-07-18",4.89
"140","2016-07-19",4.895
"141","2016-07-20",4.895
"142","2016-07-21",4.895
"143","2016-07-22",4.895
"144","2016-07-25",4.9
"145","2016-07-26",4.9
"146","2016-07-27",4.9
"147","2016-07-28",4.9
"148","2016-07-29",4.9
"149","2016-08-01",4.9
"150","2016-08-02",4.9
"151","2016-08-03",4.9
"152","2016-08-04",4.9
"153","2016-08-05",4.9
"154","2016-08-08",4.9
"155","2016-08-09",4.9
"156","2016-08-10",4.9
"157","2016-08-11",4.9
"158","2016-08-12",4.9
"159","2016-08-15",4.85
"160","2016-08-16",4.91
"161","2016-08-17",4.91
"162","2016-08-18",4.91
"163","2016-08-19",4.93
"164","2016-08-22",5
"165","2016-08-23",5
"166","2016-08-24",5
"167","2016-08-25",5
"168","2016-08-26",4.95
"169","2016-08-29",4.95
"170","2016-08-30",4.95
"171","2016-08-31",4.95
"172","2016-09-01",4.95
"173","2016-09-02",4.945
"174","2016-09-06",4.945
"175","2016-09-07",4.945
"176","2016-09-08",4.945
"177","2016-09-09",4.945
"178","2016-09-12",4.945
"179","2016-09-13",4.945
"180","2016-09-14",4.945
"181","2016-09-15",4.945
"182","2016-09-16",4.945
"183","2016-09-19",4.945
"184","2016-09-20",4.945
"185","2016-09-21",4.945
