"","date","RTRX"
"1","2012-11-08",1.5
"2","2012-11-09",1.5
"3","2012-11-12",1.5
"4","2012-11-13",1.5
"5","2012-11-14",2.01
"6","2012-11-15",2.01
"7","2012-11-16",2.01
"8","2012-11-19",2.01
"9","2012-11-20",2.01
"10","2012-11-21",2.01
"11","2012-11-23",2.01
"12","2012-11-26",2.01
"13","2012-11-27",2.01
"14","2012-11-28",2.01
"15","2012-11-29",2.01
"16","2012-11-30",2.01
"17","2012-12-03",4.7
"18","2012-12-04",4.7
"19","2012-12-05",4.7
"20","2012-12-06",4.7
"21","2012-12-07",4.7
"22","2012-12-10",4.7
"23","2012-12-11",4.7
"24","2012-12-12",2.5
"25","2012-12-13",2.5
"26","2012-12-14",2.5
"27","2012-12-17",7.69
"28","2012-12-18",5.15
"29","2012-12-19",5
"30","2012-12-20",4.5
"31","2012-12-21",4.11
"32","2012-12-24",4
"33","2012-12-26",4
"34","2012-12-27",3.1
"35","2012-12-28",2.9
"36","2012-12-31",3.35
"37","2013-01-02",3.2
"38","2013-01-03",3.1
"39","2013-01-04",3.35
"40","2013-01-07",3.7
"41","2013-01-08",3.95
"42","2013-01-09",5.1
"43","2013-01-10",5.1
"44","2013-01-11",4
"45","2013-01-14",3.7
"46","2013-01-15",3.7
"47","2013-01-16",3.6
"48","2013-01-17",4.02
"49","2013-01-18",4.05
"50","2013-01-22",4
"51","2013-01-23",4.9
"52","2013-01-24",3.91
"53","2013-01-25",4
"54","2013-01-28",3.9
"55","2013-01-29",3.9
"56","2013-01-30",3.85
"57","2013-01-31",4.5
"58","2013-02-01",3.7
"59","2013-02-04",3.7
"60","2013-02-05",3.7
"61","2013-02-06",3.6
"62","2013-02-07",3.5
"63","2013-02-08",3.4
"64","2013-02-11",3.2
"65","2013-02-12",3.5
"66","2013-02-13",4.1
"67","2013-02-14",3.75
"68","2013-02-15",4.2
"69","2013-02-19",4.4
"70","2013-02-20",4.2
"71","2013-02-21",5.25
"72","2013-02-22",4.85
"73","2013-02-25",4.73
"74","2013-02-26",4.7
"75","2013-02-27",4.65
"76","2013-02-28",4.4
"77","2013-03-01",4.4
"78","2013-03-04",4.6
"79","2013-03-05",4.25
"80","2013-03-06",4.39
"81","2013-03-07",4.38
