"","date","TREC"
"1","2007-01-03",3.09
"2","2007-01-04",2.95
"3","2007-01-05",3
"4","2007-01-08",2.96
"5","2007-01-09",2.83
"6","2007-01-10",2.85
"7","2007-01-11",2.95
"8","2007-01-12",2.9
"9","2007-01-16",2.94
"10","2007-01-17",2.93
"11","2007-01-18",2.95
"12","2007-01-19",3
"13","2007-01-22",3
"14","2007-01-23",2.97
"15","2007-01-24",3
"16","2007-01-25",3.1
"17","2007-01-26",3.05
"18","2007-01-29",3.1
"19","2007-01-30",3.18
"20","2007-01-31",3.24
"21","2007-02-01",3.17
"22","2007-02-02",3.16
"23","2007-02-05",3.2
"24","2007-02-06",3.42
"25","2007-02-07",3.74
"26","2007-02-08",3.55
"27","2007-02-09",3.7
"28","2007-02-12",3.65
"29","2007-02-13",3.69
"30","2007-02-14",3.7
"31","2007-02-15",3.7
"32","2007-02-16",3.58
"33","2007-02-20",3.5
"34","2007-02-21",3.55
"35","2007-02-22",3.55
"36","2007-02-23",3.55
"37","2007-02-26",3.56
"38","2007-02-27",3.48
"39","2007-02-28",3.54
"40","2007-03-01",3.45
"41","2007-03-02",3.43
"42","2007-03-05",3.22
"43","2007-03-06",3.22
"44","2007-03-07",3.19
"45","2007-03-08",3.2
"46","2007-03-09",3.33
"47","2007-03-12",3.35
"48","2007-03-13",3.45
"49","2007-03-14",3.4
"50","2007-03-15",3.33
"51","2007-03-16",3.3
"52","2007-03-19",3.34
"53","2007-03-20",3.3
"54","2007-03-21",3.4
"55","2007-03-22",4.02
"56","2007-03-23",4.15
"57","2007-03-26",4.15
"58","2007-03-27",4.15
"59","2007-03-28",4.08
"60","2007-03-29",4.13
"61","2007-03-30",4.15
"62","2007-04-02",4.86
"63","2007-04-03",5.19
"64","2007-04-04",5.35
"65","2007-04-05",6.1
"66","2007-04-09",5.7
"67","2007-04-10",6
"68","2007-04-11",6.07
"69","2007-04-12",5.85
"70","2007-04-13",5.85
"71","2007-04-16",6.05
"72","2007-04-17",5.95
"73","2007-04-18",5.98
"74","2007-04-19",5.99
"75","2007-04-20",5.95
"76","2007-04-23",5.85
"77","2007-04-24",5.89
"78","2007-04-25",5.75
"79","2007-04-26",5.6
"80","2007-04-27",5.74
"81","2007-04-30",5.65
"82","2007-05-01",5.5
"83","2007-05-02",5.75
"84","2007-05-03",6.49
