"","date","ACEV"
"1","2020-09-21",9.78
"2","2020-09-22",9.76
"3","2020-09-23",9.75
"4","2020-09-24",9.77
"5","2020-09-25",9.78
"6","2020-09-28",9.83
"7","2020-09-29",9.76
"8","2020-09-30",9.75
"9","2020-10-01",9.79
"10","2020-10-02",9.76
"11","2020-10-05",9.76
"12","2020-10-06",9.75
"13","2020-10-07",9.76
"14","2020-10-08",9.78
"15","2020-10-09",9.75
"16","2020-10-12",9.75
"17","2020-10-13",9.72
"18","2020-10-14",9.72
"19","2020-10-15",9.72
"20","2020-10-16",9.72
"21","2020-10-19",9.72
"22","2020-10-20",9.72
"23","2020-10-21",9.68
"24","2020-10-22",9.71
"25","2020-10-23",9.71
"26","2020-10-26",9.68
"27","2020-10-27",9.67
"28","2020-10-28",9.65
"29","2020-10-29",9.65
"30","2020-10-30",9.66
"31","2020-11-02",9.65
"32","2020-11-03",9.725
"33","2020-11-04",9.7
"34","2020-11-05",9.76
"35","2020-11-06",9.71
"36","2020-11-09",9.79
"37","2020-11-10",9.8
"38","2020-11-11",9.77
"39","2020-11-12",9.77
"40","2020-11-13",9.77
"41","2020-11-16",9.74
"42","2020-11-17",9.74
"43","2020-11-18",9.74
"44","2020-11-19",9.69
"45","2020-11-20",9.69
"46","2020-11-23",9.78
"47","2020-11-24",9.78
"48","2020-11-25",9.85
"49","2020-11-27",9.85
