"","date","PSX"
"1","2012-04-12",34
"2","2012-04-13",37
"3","2012-04-16",36.549999
"4","2012-04-17",36
"5","2012-04-18",36
"6","2012-04-19",36
"7","2012-04-20",36.32
"8","2012-04-23",35.68
"9","2012-04-24",34.75
"10","2012-04-25",34.75
"11","2012-04-26",34.950001
"12","2012-04-27",34.110001
"13","2012-04-30",34.049999
"14","2012-05-01",32.759998
"15","2012-05-02",32
"16","2012-05-03",31.389999
"17","2012-05-04",30.16
"18","2012-05-07",29.35
"19","2012-05-08",30.1
"20","2012-05-09",32.490002
"21","2012-05-10",32.48
"22","2012-05-11",31.83
"23","2012-05-14",31.32
"24","2012-05-15",31.67
"25","2012-05-16",32.099998
"26","2012-05-17",31.26
"27","2012-05-18",31.379999
"28","2012-05-21",32.189999
"29","2012-05-22",31.629999
"30","2012-05-23",31.41
"31","2012-05-24",31.129999
"32","2012-05-25",31.299999
"33","2012-05-29",31.01
"34","2012-05-30",30.440001
"35","2012-05-31",30.030001
"36","2012-06-01",29.92
"37","2012-06-04",29.530001
"38","2012-06-05",29.9
"39","2012-06-06",31.530001
"40","2012-06-07",31.83
"41","2012-06-08",32.119999
"42","2012-06-11",32.599998
"43","2012-06-12",33.490002
"44","2012-06-13",32.77
"45","2012-06-14",33.529999
"46","2012-06-15",34.900002
"47","2012-06-18",33.860001
"48","2012-06-19",33.860001
"49","2012-06-20",34.66
"50","2012-06-21",33.48
"51","2012-06-22",34.16
"52","2012-06-25",32.869999
"53","2012-06-26",32.580002
"54","2012-06-27",31.889999
"55","2012-06-28",32.310001
"56","2012-06-29",33.240002
"57","2012-07-02",34
"58","2012-07-03",34.240002
"59","2012-07-05",33.799999
"60","2012-07-06",33.369999
"61","2012-07-09",33.25
"62","2012-07-10",32.68
"63","2012-07-11",33.48
"64","2012-07-12",33.009998
"65","2012-07-13",34.939999
"66","2012-07-16",36.099998
"67","2012-07-17",36.689999
"68","2012-07-18",37.099998
"69","2012-07-19",35.599998
"70","2012-07-20",35.32
"71","2012-07-23",35.02
"72","2012-07-24",35.23
"73","2012-07-25",35.400002
"74","2012-07-26",35.959999
"75","2012-07-27",36.52
"76","2012-07-30",37.650002
"77","2012-07-31",37.599998
"78","2012-08-01",38.27
"79","2012-08-02",38.299999
"80","2012-08-03",39.669998
"81","2012-08-06",40.07
"82","2012-08-07",39.77
"83","2012-08-08",40.150002
"84","2012-08-09",40.32
"85","2012-08-10",40
"86","2012-08-13",40.150002
"87","2012-08-14",39.93
"88","2012-08-15",40.360001
"89","2012-08-16",41.18
"90","2012-08-17",42.77
"91","2012-08-20",43.07
"92","2012-08-21",41.549999
"93","2012-08-22",41.48
"94","2012-08-23",41.330002
"95","2012-08-24",41.360001
"96","2012-08-27",41.07
"97","2012-08-28",41.959999
"98","2012-08-29",41.98
"99","2012-08-30",42.48
"100","2012-08-31",42
"101","2012-09-04",42.41
"102","2012-09-05",41.740002
"103","2012-09-06",43.419998
"104","2012-09-07",44.259998
"105","2012-09-10",44.540001
"106","2012-09-11",45.59
"107","2012-09-12",46.279999
"108","2012-09-13",46.639999
"109","2012-09-14",46.73
"110","2012-09-17",46.139999
"111","2012-09-18",45.52
"112","2012-09-19",45.57
"113","2012-09-20",45.779999
"114","2012-09-21",46.82
"115","2012-09-24",46.740002
"116","2012-09-25",45.98
"117","2012-09-26",45.529999
"118","2012-09-27",46.529999
"119","2012-09-28",46.369999
"120","2012-10-01",46.560001
"121","2012-10-02",46.419998
"122","2012-10-03",45.16
"123","2012-10-04",45.389999
"124","2012-10-05",46.02
"125","2012-10-08",45.93
"126","2012-10-09",46.09
"127","2012-10-10",45.150002
"128","2012-10-11",44.599998
