"","date","PUYI"
"1","2019-03-29",6.8
"2","2019-04-01",6.5
"3","2019-04-02",6.45
"4","2019-04-03",6.62
"5","2019-04-04",6.49
"6","2019-04-05",6.3
"7","2019-04-08",6.28
"8","2019-04-09",6.33
"9","2019-04-10",6.31
"10","2019-04-11",6.26
"11","2019-04-12",6.2
"12","2019-04-15",6.1
"13","2019-04-16",6.17
"14","2019-04-17",6.29
"15","2019-04-18",6.1
"16","2019-04-22",6.1
"17","2019-04-23",6.07
"18","2019-04-24",6.13
"19","2019-04-25",6.08
"20","2019-04-26",6.05
"21","2019-04-29",6.15
"22","2019-04-30",6.7
"23","2019-05-01",6.695
"24","2019-05-02",6.569
"25","2019-05-03",6.6
"26","2019-05-06",6.4
"27","2019-05-07",6.35
"28","2019-05-08",6.1
"29","2019-05-09",6.35
"30","2019-05-10",6.23
"31","2019-05-13",6.18
"32","2019-05-14",6.24
"33","2019-05-15",6.24
"34","2019-05-16",6.23
"35","2019-05-17",6.1
"36","2019-05-20",6.11
"37","2019-05-21",6.239
"38","2019-05-22",6.05
"39","2019-05-23",6.129
"40","2019-05-24",6.163
"41","2019-05-28",6.17
"42","2019-05-29",6.3
"43","2019-05-30",6.16
"44","2019-05-31",6.07
"45","2019-06-03",6.11
"46","2019-06-04",6.095
"47","2019-06-05",6.07
"48","2019-06-06",6.1
"49","2019-06-07",6.18
"50","2019-06-10",6.2
"51","2019-06-11",6.44
"52","2019-06-12",6.6
"53","2019-06-13",6.31
"54","2019-06-14",7.98
"55","2019-06-17",8.008
"56","2019-06-18",7.5
"57","2019-06-19",7.48
"58","2019-06-20",8.21
"59","2019-06-21",8.56
"60","2019-06-24",9.08
"61","2019-06-25",8.71
"62","2019-06-26",9.74
"63","2019-06-27",10.5
"64","2019-06-28",12.9
"65","2019-07-01",13.94
"66","2019-07-02",10.02
"67","2019-07-03",9.04
"68","2019-07-05",8.54
"69","2019-07-08",7.56
"70","2019-07-09",7.42
"71","2019-07-10",7.35
"72","2019-07-11",7.88
"73","2019-07-12",7.48
"74","2019-07-15",7.48
"75","2019-07-16",7.51
"76","2019-07-17",8.54
"77","2019-07-18",11.04
"78","2019-07-19",10.5
"79","2019-07-22",11.28
"80","2019-07-23",11.49
"81","2019-07-24",12.76
"82","2019-07-25",12.44
"83","2019-07-26",12.07
"84","2019-07-29",12.39
"85","2019-07-30",12.03
"86","2019-07-31",13
"87","2019-08-01",12.99
"88","2019-08-02",13.22
"89","2019-08-05",14.05
"90","2019-08-06",14.43
"91","2019-08-07",14.5
"92","2019-08-08",12.7
"93","2019-08-09",11.5
"94","2019-08-12",12.28
"95","2019-08-13",11.58
"96","2019-08-14",8.83
"97","2019-08-15",8.2
"98","2019-08-16",8.12
"99","2019-08-19",8.26
"100","2019-08-20",8.31
"101","2019-08-21",7.89
"102","2019-08-22",8.01
"103","2019-08-23",7.65
"104","2019-08-26",7.26
"105","2019-08-27",6.86
"106","2019-08-28",6.78
"107","2019-08-29",6.64
"108","2019-08-30",6.04
"109","2019-09-03",6.08
"110","2019-09-04",6.21
"111","2019-09-05",6.65
"112","2019-09-06",6.41
"113","2019-09-09",6.68
"114","2019-09-10",6.82
"115","2019-09-11",7.65
"116","2019-09-12",7.78
"117","2019-09-13",7.07
"118","2019-09-16",6.75
