"","date","WSC"
"1","2015-11-05",9.65
"2","2015-11-06",9.72
"3","2015-11-09",NA
"4","2015-11-10",9.65
"5","2015-11-11",NA
"6","2015-11-12",9.6
"7","2015-11-13",9.65
"8","2015-11-16",9.65
"9","2015-11-17",9.62
"10","2015-11-18",9.61
"11","2015-11-19",9.66
"12","2015-11-20",9.65
"13","2015-11-23",9.65
"14","2015-11-24",9.76
"15","2015-11-25",9.76
"16","2015-11-27",9.76
"17","2015-11-30",9.73
"18","2015-12-01",9.73
"19","2015-12-02",9.73
"20","2015-12-03",9.73
"21","2015-12-04",9.73
"22","2015-12-07",9.73
"23","2015-12-08",9.73
"24","2015-12-09",9.73
"25","2015-12-10",9.73
"26","2015-12-11",9.73
"27","2015-12-14",9.6
"28","2015-12-15",9.6
"29","2015-12-16",9.6
"30","2015-12-17",9.6
"31","2015-12-18",9.6
"32","2015-12-21",9.6
"33","2015-12-22",9.55
"34","2015-12-23",9.53
"35","2015-12-24",9.53
"36","2015-12-28",9.55
"37","2015-12-29",9.55
"38","2015-12-30",9.55
"39","2015-12-31",9.56
"40","2016-01-04",9.73
"41","2016-01-05",9.66
"42","2016-01-06",9.68
"43","2016-01-07",9.61
"44","2016-01-08",9.6
"45","2016-01-11",9.67
"46","2016-01-12",9.55
"47","2016-01-13",9.56
"48","2016-01-14",9.56
"49","2016-01-15",9.51
"50","2016-01-19",9.55
"51","2016-01-20",9.5
"52","2016-01-21",9.5
"53","2016-01-22",9.55
"54","2016-01-25",9.55
"55","2016-01-26",9.55
"56","2016-01-27",9.65
"57","2016-01-28",9.61
"58","2016-01-29",9.61
"59","2016-02-01",9.61
"60","2016-02-02",9.61
"61","2016-02-03",9.61
"62","2016-02-04",9.56
"63","2016-02-05",9.58
"64","2016-02-08",9.58
"65","2016-02-09",9.6
"66","2016-02-10",9.57
"67","2016-02-11",9.59
"68","2016-02-12",9.59
"69","2016-02-16",9.56
"70","2016-02-17",9.56
"71","2016-02-18",9.55
"72","2016-02-19",9.68
"73","2016-02-22",9.55
"74","2016-02-23",9.64
"75","2016-02-24",9.7
"76","2016-02-25",9.7
"77","2016-02-26",9.7
"78","2016-02-29",9.7
"79","2016-03-01",9.6
"80","2016-03-02",9.75
"81","2016-03-03",9.75
"82","2016-03-04",9.75
"83","2016-03-07",9.75
"84","2016-03-08",9.75
"85","2016-03-09",9.78
"86","2016-03-10",9.78
"87","2016-03-11",9.78
"88","2016-03-14",9.78
"89","2016-03-15",9.78
"90","2016-03-16",9.78
"91","2016-03-17",9.78
"92","2016-03-18",9.78
"93","2016-03-21",9.74
"94","2016-03-22",9.72
"95","2016-03-23",9.72
"96","2016-03-24",9.72
"97","2016-03-28",9.72
"98","2016-03-29",9.72
"99","2016-03-30",9.72
"100","2016-03-31",9.72
"101","2016-04-01",9.77
"102","2016-04-04",9.77
"103","2016-04-05",9.77
"104","2016-04-06",9.77
"105","2016-04-07",9.719
"106","2016-04-08",9.749
"107","2016-04-11",9.749
"108","2016-04-12",9.749
"109","2016-04-13",9.749
"110","2016-04-14",9.749
"111","2016-04-15",9.749
"112","2016-04-18",9.749
"113","2016-04-19",9.72
"114","2016-04-20",9.72
"115","2016-04-21",9.72
"116","2016-04-22",9.72
"117","2016-04-25",9.72
"118","2016-04-26",9.72
"119","2016-04-27",9.66
"120","2016-04-28",9.66
"121","2016-04-29",9.66
"122","2016-05-02",9.66
"123","2016-05-03",9.75
"124","2016-05-04",9.75
"125","2016-05-05",9.66
"126","2016-05-06",9.66
"127","2016-05-09",9.66
"128","2016-05-10",9.65
"129","2016-05-11",9.65
"130","2016-05-12",9.65
"131","2016-05-13",9.65
"132","2016-05-16",9.65
"133","2016-05-17",9.65
"134","2016-05-18",9.65
"135","2016-05-19",9.65
"136","2016-05-20",9.65
"137","2016-05-23",9.65
"138","2016-05-24",9.65
"139","2016-05-25",9.65
"140","2016-05-26",9.65
"141","2016-05-27",9.64
"142","2016-05-31",9.64
"143","2016-06-01",9.64
"144","2016-06-02",9.75
"145","2016-06-03",9.75
"146","2016-06-06",9.75
"147","2016-06-07",9.75
"148","2016-06-08",9.74
"149","2016-06-09",9.74
"150","2016-06-10",9.74
"151","2016-06-13",9.74
"152","2016-06-14",9.74
"153","2016-06-15",9.74
"154","2016-06-16",9.74
"155","2016-06-17",9.74
"156","2016-06-20",9.74
"157","2016-06-21",9.74
"158","2016-06-22",9.74
"159","2016-06-23",9.74
"160","2016-06-24",9.79
"161","2016-06-27",9.79
"162","2016-06-28",9.79
"163","2016-06-29",9.79
"164","2016-06-30",9.79
"165","2016-07-01",9.79
"166","2016-07-05",9.79
"167","2016-07-06",9.79
"168","2016-07-07",9.79
"169","2016-07-08",9.72
"170","2016-07-11",9.72
"171","2016-07-12",9.72
"172","2016-07-13",9.72
"173","2016-07-14",9.72
"174","2016-07-15",9.72
"175","2016-07-18",9.72
"176","2016-07-19",9.72
"177","2016-07-20",9.72
"178","2016-07-21",9.72
"179","2016-07-22",9.7
